A;219;20040316 13:29;PDANN;
B;219;2349691;1;20040316 13:29;;;410;BLAXLANDS RIDGE RD;EAST KURRAJONG;2758;6.837;H;20031110;20040217;600000;R;R;RESIDENCE;;HX;;0;AA440630;
C;219;2349691;1;20040316 13:29;1//747944;
D;219;2349691;1;20040316 13:29;P;;;;;;
D;219;2349691;1;20040316 13:29;P;;;;;;
D;219;2349691;1;20040316 13:29;V;;;;;;
B;219;2350070;2;20040316 13:29;;;1 A;BOUNTY CRES;BLIGH PARK;2756;323.9;M;20040120;20040218;280000;A;R;RESIDENCE;;BA;;0;AA458476;
C;219;2350070;2;20040316 13:29;11//808653;
D;219;2350070;2;20040316 13:29;P;;;;;;
D;219;2350070;2;20040316 13:29;V;;;;;;
B;219;2350071;3;20040316 13:29;;;7;BOUNTY CRES;BLIGH PARK;2756;417.5;M;20040128;20040227;327000;A;R;RESIDENCE;;BA;;0;AA474557;
C;219;2350071;3;20040316 13:29;1//825645;
D;219;2350071;3;20040316 13:29;P;;;;;;
D;219;2350071;3;20040316 13:29;V;;;;;;
B;219;2350989;4;20040316 13:29;;;13;CANOONA AVE;WINDSOR DOWNS;2756;8111;M;20031210;20040213;755000;R;R;RESIDENCE;;GA;;0;AA443132;
C;219;2350989;4;20040316 13:29;1204//833676;
D;219;2350989;4;20040316 13:29;P;;;;;;
D;219;2350989;4;20040316 13:29;P;;;;;;
D;219;2350989;4;20040316 13:29;V;;;;;;
B;219;2351341;5;20040316 13:29;;;359;CEDAR RIDGE RD;KURRAJONG;2758;4.019;H;20031121;20040116;712000;R;R;RESIDENCE;;HT;;0;AA464916;
C;219;2351341;5;20040316 13:29;2//842790;
D;219;2351341;5;20040316 13:29;P;;;;;;
D;219;2351341;5;20040316 13:29;P;;;;;;
D;219;2351341;5;20040316 13:29;V;;;;;;
B;219;2351485;6;20040316 13:29;;;572;CHASELING RD;LEETS VALE;2756;8612;M;20031114;20031212;240000;P;V;VACANT LAND;;PT;;0;AA433134;
C;219;2351485;6;20040316 13:29;11//216152;
D;219;2351485;6;20040316 13:29;P;;;;;;
D;219;2351485;6;20040316 13:29;V;;;;;;
D;219;2351485;6;20040316 13:29;V;;;;;;
B;219;2351552;7;20040316 13:29;;;57;CHESTNUT DR;GLOSSODIA;2756;556.4;M;20040107;20040218;337000;A;3;;;AB;;0;AA459071;
C;219;2351552;7;20040316 13:29;223//214758;
D;219;2351552;7;20040316 13:29;P;;;;;;
D;219;2351552;7;20040316 13:29;P;;;;;;
D;219;2351552;7;20040316 13:29;V;;;;;;
D;219;2351552;7;20040316 13:29;V;;;;;;
B;219;2353223;8;20040316 13:29;;;234;DAVIS LANE;PITT TOWN;2756;2.362;H;20040216;20040216;20000;P;V;VACANT LAND;;PA;;0;AA428430;
C;219;2353223;8;20040316 13:29;3//748135;
D;219;2353223;8;20040316 13:29;P;;;;;;
D;219;2353223;8;20040316 13:29;P;;;;;;
D;219;2353223;8;20040316 13:29;V;;;;;;
B;219;2354108;9;20040316 13:29;;;1;EAST MARKET ST;RICHMOND;2753;417.3;M;20031114;20040216;397000;A;R;RESIDENCE;;AQ;;0;AA447323;
C;219;2354108;9;20040316 13:29;3//164964;
D;219;2354108;9;20040316 13:29;P;;;;;;
D;219;2354108;9;20040316 13:29;P;;;;;;
D;219;2354108;9;20040316 13:29;V;;;;;;
D;219;2354108;9;20040316 13:29;V;;;;;;
B;219;2354459;10;20040316 13:29;;;1;EWING PL;BLIGH PARK;2756;618;M;20031215;20040206;380000;A;R;RESIDENCE;;BA;;0;AA444098;
C;219;2354459;10;20040316 13:29;1477//805098;
D;219;2354459;10;20040316 13:29;P;;;;;;
D;219;2354459;10;20040316 13:29;V;;;;;;
D;219;2354459;10;20040316 13:29;V;;;;;;
B;219;2354467;11;20040316 13:29;;;6;EWING PL;BLIGH PARK;2756;935.3;M;20031223;20040201;499000;A;R;RESIDENCE;;BA;;0;AA461683;
C;219;2354467;11;20040316 13:29;1472//805098;
D;219;2354467;11;20040316 13:29;P;;;;;;
D;219;2354467;11;20040316 13:29;P;;;;;;
D;219;2354467;11;20040316 13:29;V;;;;;;
D;219;2354467;11;20040316 13:29;V;;;;;;
B;219;2354614;12;20040316 13:29;;;33;FAITHFULL ST;RICHMOND;2753;809;M;20040117;20040301;369000;A;R;RESIDENCE;;AQ;;0;AA469254;
C;219;2354614;12;20040316 13:29;16/32/758881;
D;219;2354614;12;20040316 13:29;P;;;;;;
D;219;2354614;12;20040316 13:29;P;;;;;;
D;219;2354614;12;20040316 13:29;V;;;;;;
D;219;2354614;12;20040316 13:29;V;;;;;;
B;219;2354933;13;20040316 13:29;;;62;FRANCIS ST;RICHMOND;2753;575.4;M;20040107;20040227;360000;A;R;RESIDENCE;;ES;;0;AA466754;
C;219;2354933;13;20040316 13:29;1//508876;
D;219;2354933;13;20040316 13:29;P;;;;;;
D;219;2354933;13;20040316 13:29;V;;;;;;
B;219;2356219;14;20040316 13:29;;;12;GORMLEY ST;FREEMANS REACH;2756;695.6;M;20031130;20040216;299950;P;R;RESIDENCE;;PF;;0;AA479339;
C;219;2356219;14;20040316 13:29;28//217596;
D;219;2356219;14;20040316 13:29;P;;;;;;
D;219;2356219;14;20040316 13:29;P;;;;;;
D;219;2356219;14;20040316 13:29;V;;;;;;
D;219;2356219;14;20040316 13:29;V;;;;;;
B;219;2356406;15;20040316 13:29;;;4;GRAND FLANEUR AVE;RICHMOND;2753;625.1;M;20030315;20030516;288000;A;R;RESIDENCE;;AP;;0;AA440426;
C;219;2356406;15;20040316 13:29;72//255563;
D;219;2356406;15;20040316 13:29;P;;;;;;
D;219;2356406;15;20040316 13:29;P;;;;;;
D;219;2356406;15;20040316 13:29;V;;;;;;
B;219;2356603;16;20040316 13:29;;;2;GRIFFITHS RD;MCGRATHS HILL;2756;550.4;M;20040107;20040218;310000;A;R;RESIDENCE;;AG;;0;AA455115;
C;219;2356603;16;20040316 13:29;508//259377;
D;219;2356603;16;20040316 13:29;P;;;;;;
D;219;2356603;16;20040316 13:29;V;;;;;;
