A;139;20050104 11:45;MASMITH;
B;139;1447645;1;20050104 11:45;;;54;ADA ST;CONCORD;2137;;;20040906;20041217;745000;A;R;RESIDENCE;;ES;;0;AB175146;
C;139;1447645;1;20050104 11:45;32/12739;
D;139;1447645;1;20050104 11:45;P;;;;;;
D;139;1447645;1;20050104 11:45;P;;;;;;
D;139;1447645;1;20050104 11:45;V;;;;;;
B;139;1449060;2;20050104 11:45;;2;247 N;BURWOOD RD;CONCORD;2137;;;20041109;20041206;750000;;R;RESIDENCE;2;;;0;AB154000;
C;139;1449060;2;20050104 11:45;2/SP48613;
D;139;1449060;2;20050104 11:45;P;;;;;;
D;139;1449060;2;20050104 11:45;V;;;;;;
D;139;1449060;2;20050104 11:45;V;;;;;;
B;139;1452617;3;20050104 11:45;;71;23;GEORGE ST;NORTH STRATHFIELD;2137;;;20041103;20041217;402000;;R;RESIDENCE;71;;;0;AB177684;
C;139;1452617;3;20050104 11:45;71/SP60477;
D;139;1452617;3;20050104 11:45;P;;;;;;
D;139;1452617;3;20050104 11:45;V;;;;;;
D;139;1452617;3;20050104 11:45;V;;;;;;
B;139;1455098;4;20050104 11:45;;;20;MYALL ST;CONCORD WEST;2138;;;20041023;20041203;732000;A;R;RESIDENCE;;EC;;0;AB173240;
C;139;1455098;4;20050104 11:45;45/D/10188;
D;139;1455098;4;20050104 11:45;P;;;;;;
D;139;1455098;4;20050104 11:45;P;;;;;;
D;139;1455098;4;20050104 11:45;V;;;;;;
B;139;1456121;5;20050104 11:45;;;115;QUEEN ST;CONCORD;2137;;;20040927;20041203;460000;B;3;COMMERCIAL;;CN;;0;AB169315;
C;139;1456121;5;20050104 11:45;3/10034;
D;139;1456121;5;20050104 11:45;P;;;;;;
D;139;1456121;5;20050104 11:45;P;;;;;;
D;139;1456121;5;20050104 11:45;V;;;;;;
D;139;1456121;5;20050104 11:45;V;;;;;;
B;139;1456639;6;20050104 11:45;;;7;STATION ST;CONCORD;2137;;;20041016;20041129;741500;A;V;VACANT LAND;;ES;;0;AB148683;
C;139;1456639;6;20050104 11:45;22/7353;
D;139;1456639;6;20050104 11:45;P;;;;;;
D;139;1456639;6;20050104 11:45;V;;;;;;
B;139;1457032;7;20050104 11:45;;3;11;THORPE AVE;LIBERTY GROVE;2138;;;20041102;20041113;455000;;R;RESIDENCE;3;;;0;AB167459;
C;139;1457032;7;20050104 11:45;3/SP63404;
D;139;1457032;7;20050104 11:45;P;;;;;;
D;139;1457032;7;20050104 11:45;V;;;;;;
D;139;1457032;7;20050104 11:45;V;;;;;;
B;139;1457232;8;20050104 11:45;;;24;TURNER AVE;CONCORD;2137;;;20041008;20041126;740000;A;R;RESIDENCE;;EK;;0;AB174637;
C;139;1457232;8;20050104 11:45;A/388256;
D;139;1457232;8;20050104 11:45;P;;;;;;
D;139;1457232;8;20050104 11:45;P;;;;;;
D;139;1457232;8;20050104 11:45;V;;;;;;
B;139;1457358;9;20050104 11:45;;;2;VIEW ST;CONCORD;2137;;;20040611;20041001;970000;A;R;RESIDENCE;;EK;;0;AB154562;
C;139;1457358;9;20050104 11:45;20/9194;
D;139;1457358;9;20050104 11:45;P;;;;;;
D;139;1457358;9;20050104 11:45;P;;;;;;
D;139;1457358;9;20050104 11:45;V;;;;;;
B;139;1457778;10;20050104 11:45;"SCARBOROUGH APARTMENTS";2;2;WENTWORTH DR;CONCORD WEST;2138;;;20041112;20041210;385000;;R;RESIDENCE;2;;;0;AB168455;
C;139;1457778;10;20050104 11:45;2/SP61690;
D;139;1457778;10;20050104 11:45;P;;;;;;
D;139;1457778;10;20050104 11:45;P;;;;;;
D;139;1457778;10;20050104 11:45;V;;;;;;
B;139;1457778;11;20050104 11:45;"SCARBOROUGH APARTMENTS";4;2;WENTWORTH DR;CONCORD WEST;2138;;;20041103;20041215;390000;;R;RESIDENCE;4;;;0;AB177197;
C;139;1457778;11;20050104 11:45;4/SP61690;
D;139;1457778;11;20050104 11:45;P;;;;;;
D;139;1457778;11;20050104 11:45;V;;;;;;
D;139;1457778;11;20050104 11:45;V;;;;;;
B;139;1897415;12;20050104 11:45;;;21;BARNSTAPLE RD;FIVE DOCK;2046;;;20040730;20040827;775000;A;R;RESIDENCE;;RS;;0;AB164583;
C;139;1897415;12;20050104 11:45;B/316519;
D;139;1897415;12;20050104 11:45;P;;;;;;
D;139;1897415;12;20050104 11:45;P;;;;;;
D;139;1897415;12;20050104 11:45;V;;;;;;
D;139;1897415;12;20050104 11:45;V;;;;;;
B;139;1899213;13;20050104 11:45;;;19;CHATHAM PL;ABBOTSFORD;2046;236;M;20040918;20041213;960000;A;R;RESIDENCE;;RP;;0;AB156841;
C;139;1899213;13;20050104 11:45;8/285444;
D;139;1899213;13;20050104 11:45;P;;;;;;
D;139;1899213;13;20050104 11:45;P;;;;;;
D;139;1899213;13;20050104 11:45;V;;;;;;
D;139;1899213;13;20050104 11:45;V;;;;;;
D;139;1899213;13;20050104 11:45;V;;;;;;
B;139;1900030;14;20050104 11:45;;;37;DAY ST;DRUMMOYNE;2047;164.4;M;20041022;20041203;625000;A;R;RESIDENCE;;RF;;0;AB167784;
C;139;1900030;14;20050104 11:45;2/202467;
D;139;1900030;14;20050104 11:45;P;;;;;;
D;139;1900030;14;20050104 11:45;P;;;;;;
D;139;1900030;14;20050104 11:45;V;;;;;;
D;139;1900030;14;20050104 11:45;V;;;;;;
B;139;1901378;15;20050104 11:46;;;66;GARFIELD ST;FIVE DOCK;2046;;;20040920;20041206;650000;A;R;RESIDENCE;;RS;;0;AB159465;
C;139;1901378;15;20050104 11:46;10/7229;
D;139;1901378;15;20050104 11:46;P;;;;;;
D;139;1901378;15;20050104 11:46;P;;;;;;
D;139;1901378;15;20050104 11:46;V;;;;;;
B;139;1901412;16;20050104 11:46;;4;9;GARFIELD ST;FIVE DOCK;2046;;;20041124;20041207;500000;;R;RESIDENCE;4;;;0;AB154595;
C;139;1901412;16;20050104 11:46;4/SP4608;
D;139;1901412;16;20050104 11:46;P;;;;;;
D;139;1901412;16;20050104 11:46;V;;;;;;
D;139;1901412;16;20050104 11:46;V;;;;;;
B;139;1901611;17;20050104 11:46;;;10;GARTFERN AVE;FIVE DOCK;2046;;;20041031;20041213;830000;A;R;RESIDENCE;;RS;;0;AB157538;
C;139;1901611;17;20050104 11:46;17/18331;
D;139;1901611;17;20050104 11:46;P;;;;;;
D;139;1901611;17;20050104 11:46;P;;;;;;
D;139;1901611;17;20050104 11:46;V;;;;;;
D;139;1901611;17;20050104 11:46;V;;;;;;
B;139;1902679;18;20050104 11:46;;2;70;HAMPDEN RD;RUSSELL LEA;2046;;;20041118;20041203;20000;;R;RESIDENCE;2;;;50;AB159124;
C;139;1902679;18;20050104 11:46;2/SP57628;
D;139;1902679;18;20050104 11:46;P;;;;;;
D;139;1902679;18;20050104 11:46;V;;;;;;
D;139;1902679;18;20050104 11:46;V;;;;;;
D;139;1902679;18;20050104 11:46;V;;;;;;
B;139;1902892;19;20050104 11:46;;8;168;HAMPDEN RD;ABBOTSFORD;2046;;;20041110;20041213;410000;;R;RESIDENCE;8;;;0;AB179659;
C;139;1902892;19;20050104 11:46;8/SP14351;
D;139;1902892;19;20050104 11:46;P;;;;;;
D;139;1902892;19;20050104 11:46;V;;;;;;
B;139;1903388;20;20050104 11:46;;;23;HEATH ST;FIVE DOCK;2046;;;20041001;20041126;940000;A;R;RESIDENCE;;RS;;0;AB155852;
