A;001;20050104 11:34;MASMITH;
B;001;81;1;20050104 11:34;;;42;ABERDARE RD;CESSNOCK;2325;;;20041014;20041210;230000;A;R;RESIDENCE;;GB;;0;AB168468;
C;001;81;1;20050104 11:34;4/E/4269;
D;001;81;1;20050104 11:34;P;;;;;;
D;001;81;1;20050104 11:34;V;;;;;;
B;001;112;2;20050104 11:34;;;17;ABERDARE RD;CESSNOCK;2325;;;20041008;20041119;154000;A;R;RESIDENCE;;GA;;0;AB162642;
C;001;112;2;20050104 11:34;71/524886;
D;001;112;2;20050104 11:34;P;;;;;;
D;001;112;2;20050104 11:34;V;;;;;;
D;001;112;2;20050104 11:34;V;;;;;;
B;001;455;3;20050104 11:34;;;22;CONGEWAI ST;ABERDARE;2325;;;20040922;20041018;2500000;A;R;RESIDENCE;;GA;;0;AB156039;
C;001;455;3;20050104 11:34;20/15/758002;
D;001;455;3;20050104 11:34;P;;;;;;
D;001;455;3;20050104 11:34;V;;;;;;
B;001;488;4;20050104 11:34;;;45;CONGEWAI ST;ABERDARE;2325;1012;M;20041111;20041209;235000;A;R;RESIDENCE;;GA;;0;AB179110;
C;001;488;4;20050104 11:34;3/25/758002;
D;001;488;4;20050104 11:34;P;;;;;;
D;001;488;4;20050104 11:34;P;;;;;;
D;001;488;4;20050104 11:34;V;;;;;;
B;001;595;5;20050104 11:34;;;32;CUMBERLAND ST;CESSNOCK;2325;809.4;M;20040915;20041115;357000;B;R;RESIDENCE;;CB;;0;AB171141;
C;001;595;5;20050104 11:34;35/A/4528;
D;001;595;5;20050104 11:34;P;;;;;;
D;001;595;5;20050104 11:34;P;;;;;;
D;001;595;5;20050104 11:34;V;;;;;;
D;001;595;5;20050104 11:34;V;;;;;;
B;001;656;6;20050104 11:34;;;37;EDGEWORTH ST;CESSNOCK;2325;;;20041112;20041210;200000;A;R;RESIDENCE;;GB;;0;AB174156;
C;001;656;6;20050104 11:34;10/308461;
D;001;656;6;20050104 11:34;P;;;;;;
D;001;656;6;20050104 11:34;V;;;;;;
D;001;656;6;20050104 11:34;V;;;;;;
B;001;694;7;20050104 11:34;;;1;FIRST ST;CESSNOCK;2325;;;20040726;20040817;191000;A;R;RESIDENCE;;GB;;0;AB165235;
C;001;694;7;20050104 11:34;B/333587;
D;001;694;7;20050104 11:34;P;;;;;;
D;001;694;7;20050104 11:34;V;;;;;;
D;001;694;7;20050104 11:34;V;;;;;;
B;001;958;8;20050104 11:34;;;14;HIGH ST;CESSNOCK;2325;;;20040820;20040820;350000;A;R;RESIDENCE;;GB;;0;AB156258;
C;001;958;8;20050104 11:34;33/D/4528;
D;001;958;8;20050104 11:34;P;;;;;;
D;001;958;8;20050104 11:34;P;;;;;;
D;001;958;8;20050104 11:34;V;;;;;;
D;001;958;8;20050104 11:34;V;;;;;;
B;001;1361;9;20050104 11:34;;;1;NORTHCOTE ST;ABERDARE;2325;;;20041022;20041203;240000;A;R;RESIDENCE;;GA;;0;AB169302;
C;001;1361;9;20050104 11:34;1/28/758002;
D;001;1361;9;20050104 11:34;P;;;;;;
D;001;1361;9;20050104 11:34;V;;;;;;
B;001;1634;10;20050104 11:34;;;37;RAWSON ST;ABERDARE;2325;;;20041005;20041210;217000;A;R;RESIDENCE;;GA;;0;AB175750;
C;001;1634;10;20050104 11:34;9/40/758002;
D;001;1634;10;20050104 11:34;P;;;;;;
D;001;1634;10;20050104 11:34;V;;;;;;
D;001;1634;10;20050104 11:34;V;;;;;;
B;001;2104;11;20050104 11:34;;;189;CESSNOCK RD;ABERMAIN;2326;929.5;M;20041028;20041209;175000;B;R;RESIDENCE;;CG;;0;AB164044;
C;001;2104;11;20050104 11:34;11/32/758004;
D;001;2104;11;20050104 11:34;P;;;;;;
D;001;2104;11;20050104 11:34;V;;;;;;
B;001;2142;12;20050104 11:34;;;2;CHARLES ST;ABERMAIN;2326;2172;M;20041207;20041209;1000;A;V;VACANT LAND;;HA;;0;AB168220;
C;001;2142;12;20050104 11:34;1/742696 1/1048971 LEASE OVER PROPERTY  lot 1/1048971 is covered by li;
C;001;2142;12;20050104 11:34;cence Licence 320305;
D;001;2142;12;20050104 11:34;P;;;;;;
D;001;2142;12;20050104 11:34;P;;;;;;
D;001;2142;12;20050104 11:34;V;;;;;;
D;001;2142;12;20050104 11:34;V;;;;;;
B;001;2643;13;20050104 11:34;;;76;MELBOURNE ST;ABERMAIN;2326;809.4;M;20041119;20041119;44000;A;R;RESIDENCE;;HA;;0;AB171025;
C;001;2643;13;20050104 11:34;4/1/758004;
D;001;2643;13;20050104 11:34;P;;;;;;
D;001;2643;13;20050104 11:34;P;;;;;;
D;001;2643;13;20050104 11:34;V;;;;;;
B;001;2724;14;20050104 11:34;;;20;TAMWORTH ST;ABERMAIN;2326;;;20041005;20041203;280000;A;R;RESIDENCE;;HA;;0;AB164955;
C;001;2724;14;20050104 11:34;1/27/758004;
D;001;2724;14;20050104 11:34;P;;;;;;
D;001;2724;14;20050104 11:34;V;;;;;;
B;001;3485;15;20050104 11:34;;;96;KEELENDI RD;BELLBIRD HEIGHTS;2325;749;M;20041021;20041203;245000;A;R;RESIDENCE;;GN;;0;AB166477;
C;001;3485;15;20050104 11:34;3/558960;
D;001;3485;15;20050104 11:34;P;;;;;;
D;001;3485;15;20050104 11:34;P;;;;;;
D;001;3485;15;20050104 11:34;V;;;;;;
D;001;3485;15;20050104 11:34;V;;;;;;
B;001;3685;16;20050104 11:34;;;104;MATHIESON ST;BELLBIRD HEIGHTS;2325;;;20041122;20041122;115000;A;R;RESIDENCE;;GN;;50;AB157123;
C;001;3685;16;20050104 11:34;48/12366;
D;001;3685;16;20050104 11:34;P;;;;;;
D;001;3685;16;20050104 11:34;V;;;;;;
B;001;4481;17;20050104 11:34;;;62;FLEET ST;BRANXTON;2335;1012;M;20041112;20041213;282000;A;R;RESIDENCE;;FA;;0;AB169850;
C;001;4481;17;20050104 11:34;4/8/8027;
D;001;4481;17;20050104 11:34;P;;;;;;
D;001;4481;17;20050104 11:34;P;;;;;;
D;001;4481;17;20050104 11:34;V;;;;;;
B;001;4658;18;20050104 11:34;;;96;MAITLAND ST;BRANXTON;2335;1062;M;20040908;20041015;180000;A;R;RESIDENCE;;FA;;0;4442889;
C;001;4658;18;20050104 11:34;16/1076933;
D;001;4658;18;20050104 11:34;P;;;;;;
D;001;4658;18;20050104 11:34;P;;;;;;
D;001;4658;18;20050104 11:34;V;;;;;;
D;001;4658;18;20050104 11:34;V;;;;;;
D;001;4658;18;20050104 11:34;V;;;;;;
B;001;5280;19;20050104 11:34;;;18;ANN ST;CESSNOCK;2325;;;20041109;20041207;289000;A;R;RESIDENCE;;GH;;0;AB160384;
C;001;5280;19;20050104 11:34;19/9/5442;
D;001;5280;19;20050104 11:34;P;;;;;;
D;001;5280;19;20050104 11:34;P;;;;;;
D;001;5280;19;20050104 11:34;V;;;;;;
D;001;5280;19;20050104 11:34;V;;;;;;
B;001;6320;20;20050104 11:34;;;14;DAVID ST;CESSNOCK;2325;;;20041104;20041202;67500;A;3;;;GE;;0;AB154779;
C;001;6320;20;20050104 11:34;28/B/5000;
D;001;6320;20;20050104 11:34;P;;;;;;
D;001;6320;20;20050104 11:34;P;;;;;;
D;001;6320;20;20050104 11:34;V;;;;;;
D;001;6320;20;20050104 11:34;V;;;;;;
B;001;6925;21;20050104 11:34;;;10;HILDA ST;CESSNOCK;2325;;;20041020;20041201;165000;A;R;RESIDENCE;;GK;;0;AB153436;
C;001;6925;21;20050104 11:34;15/J/4927;
D;001;6925;21;20050104 11:34;P;;;;;;
D;001;6925;21;20050104 11:34;V;;;;;;
B;001;7386;22;20050104 11:34;;;4;MCGRANE ST;CESSNOCK;2325;809.4;M;20041105;20041216;220000;A;R;RESIDENCE;;GH;;0;AB170500;
