A;137;20040202 11:49;PTHIRLWELL;
B;137;1388276;1;20040202 11:49;;5;57 A;ALBERT CRES;BURWOOD;2134;;;20030428;20030602;220000;;R;RESIDENCE;5;;;0;AA324706;
C;137;1388276;1;20040202 11:49;5//SP 20445;
D;137;1388276;1;20040202 11:49;P;;;;;;
D;137;1388276;1;20040202 11:49;P;;;;;;
D;137;1388276;1;20040202 11:49;V;;;;;;
B;137;1388342;2;20040202 11:49;;;71;ALBERT CRES;BURWOOD;2134;558.1;M;20031109;20031219;745000;A;R;RESIDENCE;;ER;;0;AA321006;
C;137;1388342;2;20040202 11:49;7//249137;
D;137;1388342;2;20040202 11:49;P;;;;;;
D;137;1388342;2;20040202 11:49;V;;;;;;
B;137;1388853;3;20040202 11:49;;;6;BEAUFORT ST;CROYDON PARK;2133;;;20031018;20040112;1210000;A;R;RESIDENCE;;ES;;0;AA343120;
C;137;1388853;3;20040202 11:49;36/1/5412;
D;137;1388853;3;20040202 11:49;P;;;;;;
D;137;1388853;3;20040202 11:49;P;;;;;;
D;137;1388853;3;20040202 11:49;V;;;;;;
D;137;1388853;3;20040202 11:49;V;;;;;;
B;137;1389198;4;20040202 11:49;;8 D;26;BELMORE ST;BURWOOD;2134;;;20031031;20031212;445000;;R;RESIDENCE;56;;;0;AA337000;
C;137;1389198;4;20040202 11:49;56//SP 5148;
D;137;1389198;4;20040202 11:49;P;;;;;;
D;137;1389198;4;20040202 11:49;P;;;;;;
D;137;1389198;4;20040202 11:49;V;;;;;;
B;137;1389258;5;20040202 11:49;;19;28 A;BELMORE ST;BURWOOD;2134;;;20030928;20031112;452000;;R;RESIDENCE;19;;;0;AA339472;
C;137;1389258;5;20040202 11:49;19//SP 62559;
D;137;1389258;5;20040202 11:49;P;;;;;;
D;137;1389258;5;20040202 11:49;V;;;;;;
D;137;1389258;5;20040202 11:49;V;;;;;;
B;137;1389378;6;20040202 11:49;;6;38;BELMORE ST;BURWOOD;2134;;;20031115;20031223;352000;;R;RESIDENCE;6;;;0;AA347087;
C;137;1389378;6;20040202 11:49;6//SP 64414;
D;137;1389378;6;20040202 11:49;P;;;;;;
D;137;1389378;6;20040202 11:49;V;;;;;;
B;137;1389591;7;20040202 11:49;;;20;BOUNDARY ST;CROYDON;2132;271.9;M;20031111;20031222;527500;A;R;RESIDENCE;;ER;;0;AA342986;
C;137;1389591;7;20040202 11:49;X//412927;
D;137;1389591;7;20040202 11:49;P;;;;;;
D;137;1389591;7;20040202 11:49;P;;;;;;
D;137;1389591;7;20040202 11:49;V;;;;;;
B;137;1389989;8;20040202 11:49;;4;28;BURWOOD RD;BURWOOD;2134;;;20031124;20031219;560000;;3;SHOP;4;;;0;AA316354;
C;137;1389989;8;20040202 11:49;4//SP 62734;
D;137;1389989;8;20040202 11:49;P;;;;;;
D;137;1389989;8;20040202 11:49;V;;;;;;
B;137;1390530;9;20040202 11:49;;32;2;BYER ST;ENFIELD;2136;;;20030926;20031107;493800;;R;RESIDENCE;32;;;0;AA345632;
C;137;1390530;9;20040202 11:49;32//SP 56273;
D;137;1390530;9;20040202 11:49;P;;;;;;
D;137;1390530;9;20040202 11:49;P;;;;;;
D;137;1390530;9;20040202 11:49;V;;;;;;
B;137;1393236;10;20040202 11:49;;;115;KEMBLA ST;CROYDON PARK;2133;328.2;M;20031031;20031215;565000;A;R;RESIDENCE;;ES;;0;AA322921;
C;137;1393236;10;20040202 11:49;86//713987;
D;137;1393236;10;20040202 11:49;P;;;;;;
D;137;1393236;10;20040202 11:49;P;;;;;;
D;137;1393236;10;20040202 11:49;V;;;;;;
D;137;1393236;10;20040202 11:49;V;;;;;;
B;137;1393613;11;20040202 11:49;;;16;LINDSAY ST;BURWOOD;2134;;;20031024;20031205;1015000;A;R;RESIDENCE;;EU;;0;AA344308;
C;137;1393613;11;20040202 11:49;44//7582;
D;137;1393613;11;20040202 11:49;P;;;;;;
D;137;1393613;11;20040202 11:49;V;;;;;;
B;137;1393797;12;20040202 11:49;;5;200;LIVERPOOL RD;ENFIELD;2136;;;20031122;20040109;462000;;R;RESIDENCE;5;;;0;AA330365;
C;137;1393797;12;20040202 11:49;5//SP 61950;
D;137;1393797;12;20040202 11:49;P;;;;;;
D;137;1393797;12;20040202 11:49;P;;;;;;
D;137;1393797;12;20040202 11:49;V;;;;;;
B;137;1393950;13;20040202 11:49;;6;189;LIVERPOOL RD;ENFIELD;2136;;;20031017;20031201;260000;;R;RESIDENCE;6;;;0;AA317742;
C;137;1393950;13;20040202 11:49;6//SP 1;
D;137;1393950;13;20040202 11:49;P;;;;;;
D;137;1393950;13;20040202 11:49;P;;;;;;
D;137;1393950;13;20040202 11:49;V;;;;;;
D;137;1393950;13;20040202 11:49;V;;;;;;
B;137;1393970;14;20040202 11:49;;22;191;LIVERPOOL RD;ENFIELD;2136;;;20031017;20031201;260000;;R;RESIDENCE;22;;;0;AA317742;
C;137;1393970;14;20040202 11:49;22//SP 177;
D;137;1393970;14;20040202 11:49;P;;;;;;
D;137;1393970;14;20040202 11:49;P;;;;;;
D;137;1393970;14;20040202 11:49;V;;;;;;
D;137;1393970;14;20040202 11:49;V;;;;;;
B;137;1393995;15;20040202 11:49;;7;199;LIVERPOOL RD;ENFIELD;2136;;;20031111;20031212;282500;;R;RESIDENCE;7;;;0;AA322223;
C;137;1393995;15;20040202 11:49;7//SP 4526;
D;137;1393995;15;20040202 11:49;P;;;;;;
D;137;1393995;15;20040202 11:49;P;;;;;;
D;137;1393995;15;20040202 11:49;V;;;;;;
B;137;1394065;16;20040202 11:49;;;1;LLANGOLLAN AVE;ENFIELD;2136;;;20040113;20040113;800000;A;R;RESIDENCE;;ES;;0;AA355893;
C;137;1394065;16;20040202 11:49;13//15504;
D;137;1394065;16;20040202 11:49;P;;;;;;
D;137;1394065;16;20040202 11:49;V;;;;;;
D;137;1394065;16;20040202 11:49;V;;;;;;
B;137;1394521;17;20040202 11:49;;;19;MILTON ST;BURWOOD;2134;398.3;M;20031101;20040116;732000;A;R;RESIDENCE;;EC;;0;AA349079;
C;137;1394521;17;20040202 11:49;1//855904;
D;137;1394521;17;20040202 11:49;P;;;;;;
D;137;1394521;17;20040202 11:49;P;;;;;;
D;137;1394521;17;20040202 11:49;V;;;;;;
B;137;1394640;18;20040202 11:49;;;116;MITCHELL ST;CROYDON PARK;2133;;;20031108;20031219;740000;A;R;RESIDENCE;;ES;;0;AA319338;
C;137;1394640;18;20040202 11:49;12//11775;
D;137;1394640;18;20040202 11:49;P;;;;;;
D;137;1394640;18;20040202 11:49;P;;;;;;
D;137;1394640;18;20040202 11:49;V;;;;;;
D;137;1394640;18;20040202 11:49;V;;;;;;
B;137;1394689;19;20040202 11:49;;;63;MITCHELL ST;ENFIELD;2136;;;20040122;20040122;182500;A;R;RESIDENCE;;ES;;0;AA358004;
C;137;1394689;19;20040202 11:49;1//519996;
D;137;1394689;19;20040202 11:49;P;;;;;;
D;137;1394689;19;20040202 11:49;V;;;;;;
B;137;1394899;20;20040202 11:49;;12 A;30;MORWICK ST;STRATHFIELD;2135;;;20031105;20031217;295000;;R;RESIDENCE;13;;;0;AA352196;
C;137;1394899;20;20040202 11:49;13//SP 81;
D;137;1394899;20;20040202 11:49;P;;;;;;
D;137;1394899;20;20040202 11:49;V;;;;;;
D;137;1394899;20;20040202 11:49;V;;;;;;
B;137;1394899;21;20040202 11:49;;12 A;30;MORWICK ST;STRATHFIELD;2135;;;20031105;20031217;295000;;R;RESIDENCE;19;;;0;AA352196;
C;137;1394899;21;20040202 11:49;19//SP 81;
D;137;1394899;21;20040202 11:49;P;;;;;;
