A;187;20050104 11:48;MASMITH;
B;187;1848848;1;20050104 11:48;;;152;BARBER ST;GUNNEDAH;2380;1069;M;20041021;20041203;140000;A;R;RESIDENCE;;AF;;0;AB167951;
C;187;1848848;1;20050104 11:48;A/393572;
D;187;1848848;1;20050104 11:48;P;;;;;;
D;187;1848848;1;20050104 11:48;P;;;;;;
D;187;1848848;1;20050104 11:48;V;;;;;;
D;187;1848848;1;20050104 11:48;V;;;;;;
B;187;1848937;2;20050104 11:48;;;109;BARBER ST;GUNNEDAH;2380;2023;M;20041129;20041216;295000;A;R;RESIDENCE;;AF;;0;AB173964;
C;187;1848937;2;20050104 11:48;1/518644;
D;187;1848937;2;20050104 11:48;P;;;;;;
D;187;1848937;2;20050104 11:48;V;;;;;;
B;187;1849335;3;20050104 11:48;;;33;BRIDGE ST;GUNNEDAH;2380;853.7;M;20041026;20041207;195000;A;R;RESIDENCE;;AS;;0;AB162596;
C;187;1849335;3;20050104 11:48;124/238018;
D;187;1849335;3;20050104 11:48;P;;;;;;
D;187;1849335;3;20050104 11:48;P;;;;;;
D;187;1849335;3;20050104 11:48;V;;;;;;
B;187;1849506;4;20050104 11:48;;;340 A;CONADILLY ST;GUNNEDAH;2380;1378;M;20040825;20041001;250000;B;3;SHOPS;;BB;BS;0;AB156260;
C;187;1849506;4;20050104 11:48;7/258791;
D;187;1849506;4;20050104 11:48;P;;;;;;
D;187;1849506;4;20050104 11:48;P;;;;;;
D;187;1849506;4;20050104 11:48;V;;;;;;
B;187;1850068;5;20050104 11:48;;;72;GEORGE ST;GUNNEDAH;2380;2314;M;20041207;20041207;280000;A;R;RESIDENCE;;AA;;0;AB157805;
C;187;1850068;5;20050104 11:48;1/504630;
D;187;1850068;5;20050104 11:48;P;;;;;;
D;187;1850068;5;20050104 11:48;P;;;;;;
D;187;1850068;5;20050104 11:48;V;;;;;;
B;187;1850366;6;20050104 11:48;;;69;HIGH ST;GUNNEDAH;2380;720.8;M;20041021;20041119;110000;A;R;RESIDENCE;;AA;AC;0;AB155994;
C;187;1850366;6;20050104 11:48;35/236719;
D;187;1850366;6;20050104 11:48;P;;;;;;
D;187;1850366;6;20050104 11:48;P;;;;;;
D;187;1850366;6;20050104 11:48;V;;;;;;
B;187;1850396;7;20050104 11:48;;;18;HINTON DR;GUNNEDAH;2380;691;M;20040512;20040623;35500;A;V;VACANT LAND;;AR;AV;0;AB154635;
C;187;1850396;7;20050104 11:48;128/816406;
D;187;1850396;7;20050104 11:48;P;;;;;;
D;187;1850396;7;20050104 11:48;P;;;;;;
D;187;1850396;7;20050104 11:48;V;;;;;;
B;187;1850487;8;20050104 11:48;;;94;HUNTER ST;GUNNEDAH;2380;;;20041028;20041209;152000;A;R;RESIDENCE;;AS;;0;AB160016;
C;187;1850487;8;20050104 11:48;561/755503;
D;187;1850487;8;20050104 11:48;P;;;;;;
D;187;1850487;8;20050104 11:48;P;;;;;;
D;187;1850487;8;20050104 11:48;V;;;;;;
B;187;1850600;9;20050104 11:48;;;42;JAEGER AVE;GUNNEDAH;2380;714.5;M;20041029;20041203;105000;A;R;RESIDENCE;;AA;;0;AB169977;
C;187;1850600;9;20050104 11:48;115/236719;
D;187;1850600;9;20050104 11:48;P;;;;;;
