A;226;20050104 11:52;MASMITH;
B;226;2590577;1;20050104 11:52;;6;72;ARGYLE ST;PICTON;2571;;;20041103;20041209;265000;;3;SHOP;6;;;0;AB173929;
C;226;2590577;1;20050104 11:52;6/SP36266;
D;226;2590577;1;20050104 11:52;P;;;;;;
D;226;2590577;1;20050104 11:52;V;;;;;;
B;226;2591304;2;20050104 11:52;;;7;BARROW PL;SILVERDALE;2752;1012;M;20041202;20041210;200000;A;R;RESIDENCE;;AP;;0;AB179389;
C;226;2591304;2;20050104 11:52;9/261451;
D;226;2591304;2;20050104 11:52;P;;;;;;
D;226;2591304;2;20050104 11:52;V;;;;;;
B;226;2592048;3;20050104 11:52;;;115;BURRAGORANG RD;MOUNT HUNTER;2570;809.4;M;20041112;20041217;370000;A;R;RESIDENCE;;AJ;;0;AB175312;
C;226;2592048;3;20050104 11:52;10/39197;
D;226;2592048;3;20050104 11:52;P;;;;;;
D;226;2592048;3;20050104 11:52;P;;;;;;
D;226;2592048;3;20050104 11:52;V;;;;;;
D;226;2592048;3;20050104 11:52;V;;;;;;
B;226;2593269;4;20050104 11:52;;;20;COEVON RD;BUXTON;2571;1366;M;20041017;20041126;400000;A;R;RESIDENCE;;AE;;0;AB155581;
C;226;2593269;4;20050104 11:52;17, 18/1/2444;
D;226;2593269;4;20050104 11:52;P;;;;;;
D;226;2593269;4;20050104 11:52;P;;;;;;
D;226;2593269;4;20050104 11:52;V;;;;;;
D;226;2593269;4;20050104 11:52;V;;;;;;
B;226;2593352;5;20050104 11:52;;;119;COLO ST;COURIDJAH;2571;2024;M;20040828;20041207;475000;R;R;RESIDENCE;;RN;;0;AB151000;
C;226;2593352;5;20050104 11:52;W/417838 D/417839;
D;226;2593352;5;20050104 11:52;P;;;;;;
D;226;2593352;5;20050104 11:52;P;;;;;;
D;226;2593352;5;20050104 11:52;V;;;;;;
D;226;2593352;5;20050104 11:52;V;;;;;;
B;226;2595095;6;20050104 11:52;;17;280;GREAT SOUTHERN RD;BARGO;2574;;;20040806;20041208;142500;;R;RESIDENCE;17;;;0;AB155536;
C;226;2595095;6;20050104 11:52;17/SP53775;
D;226;2595095;6;20050104 11:52;P;;;;;;
D;226;2595095;6;20050104 11:52;V;;;;;;
B;226;2595095;7;20050104 11:52;;18;280;GREAT SOUTHERN RD;BARGO;2574;;;20040806;20041208;142500;;R;RESIDENCE;18;;;0;AB155537;
C;226;2595095;7;20050104 11:52;18/SP53775;
D;226;2595095;7;20050104 11:52;P;;;;;;
D;226;2595095;7;20050104 11:52;V;;;;;;
B;226;2596194;8;20050104 11:52;;;43;KADER ST;BARGO;2574;1720;M;20041110;20041201;380000;A;R;RESIDENCE;;AD;;0;AB153005;
C;226;2596194;8;20050104 11:52;164/13127;
D;226;2596194;8;20050104 11:52;P;;;;;;
D;226;2596194;8;20050104 11:52;P;;;;;;
D;226;2596194;8;20050104 11:52;V;;;;;;
B;226;2598434;9;20050104 11:52;;;610;MORETON PARK RD;MENANGLE;2568;103;H;20040701;20041213;8123880;R;3;RURAL;;FP;;0;AB162278;
C;226;2598434;9;20050104 11:52;1, 2/248225 105, 106/249189 1/550689;
D;226;2598434;9;20050104 11:52;P;;;;;;
D;226;2598434;9;20050104 11:52;V;;;;;;
B;226;2598437;10;20050104 11:52;;;565;MORETON PARK RD;MENANGLE;2568;32.38;H;20040701;20041213;8123880;R;3;RURAL;;RJ;;0;AB162278;
C;226;2598437;10;20050104 11:52;8, 9, 10/248225 104/249189;
D;226;2598437;10;20050104 11:52;P;;;;;;
D;226;2598437;10;20050104 11:52;V;;;;;;
B;226;2598781;11;20050104 11:52;;;40;NEPEAN ST;DOUGLAS PARK;2569;1.032;H;20041210;20041210;200000;R;R;RESIDENCE;;RK;;0;AB151616;
C;226;2598781;11;20050104 11:52;26/1321;
D;226;2598781;11;20050104 11:52;P;;;;;;
D;226;2598781;11;20050104 11:52;P;;;;;;
D;226;2598781;11;20050104 11:52;P;;;;;;
D;226;2598781;11;20050104 11:52;V;;;;;;
