A;206;20050104 11:49;MASMITH;
B;206;1942268;1;20050104 11:49;;16;146;ALICE ST;NEWTOWN;2042;;;20041018;20041203;579000;;R;RESIDENCE;16;;;0;AB155283;
C;206;1942268;1;20050104 11:49;16/SP44534;
D;206;1942268;1;20050104 11:49;P;;;;;;
D;206;1942268;1;20050104 11:49;V;;;;;;
D;206;1942268;1;20050104 11:49;V;;;;;;
B;206;1943215;2;20050104 11:49;;;20;BAILEY ST;NEWTOWN;2042;75.9;M;20041029;20041203;490000;B;R;RESIDENCE;;CZ;;0;AB155301;
C;206;1943215;2;20050104 11:49;2/223350;
D;206;1943215;2;20050104 11:49;P;;;;;;
D;206;1943215;2;20050104 11:49;V;;;;;;
D;206;1943215;2;20050104 11:49;V;;;;;;
B;206;1944711;3;20050104 11:49;;3;40;CAMBRIDGE ST;STANMORE;2048;;;20041029;20041210;384000;;R;RESIDENCE;3;;;0;AB158407;
C;206;1944711;3;20050104 11:49;3/SP45820;
D;206;1944711;3;20050104 11:49;P;;;;;;
D;206;1944711;3;20050104 11:49;V;;;;;;
B;206;1944780;4;20050104 11:49;;1;82;CAMBRIDGE ST;STANMORE;2048;;;20041116;20041210;532000;;R;RESIDENCE;1;;;0;AB171347;
C;206;1944780;4;20050104 11:49;1/SP32205;
D;206;1944780;4;20050104 11:49;P;;;;;;
D;206;1944780;4;20050104 11:49;V;;;;;;
D;206;1944780;4;20050104 11:49;V;;;;;;
B;206;1945979;5;20050104 11:49;;;12;CHANNELL ST;DULWICH HILL;2203;89.13;M;20041109;20041210;545000;A;R;RESIDENCE;;EG;;0;AB168347;
C;206;1945979;5;20050104 11:49;1/779097;
D;206;1945979;5;20050104 11:49;P;;;;;;
D;206;1945979;5;20050104 11:49;P;;;;;;
D;206;1945979;5;20050104 11:49;V;;;;;;
B;206;1946003;6;20050104 11:49;;;124;CHAPEL ST;MARRICKVILLE;2204;173;M;20040617;20041216;520000;I;3;COMMERCIAL;;DS;;0;AB178167;
C;206;1946003;6;20050104 11:49;4/260136;
D;206;1946003;6;20050104 11:49;P;;;;;;
D;206;1946003;6;20050104 11:49;P;;;;;;
D;206;1946003;6;20050104 11:49;V;;;;;;
D;206;1946003;6;20050104 11:49;V;;;;;;
D;206;1946003;6;20050104 11:49;V;;;;;;
D;206;1946003;6;20050104 11:49;V;;;;;;
D;206;1946003;6;20050104 11:49;V;;;;;;
D;206;1946003;6;20050104 11:49;V;;;;;;
D;206;1946003;6;20050104 11:49;V;;;;;;
D;206;1946003;6;20050104 11:49;V;;;;;;
B;206;1946297;7;20050104 11:49;;;71;CHELMSFORD ST;NEWTOWN;2042;126.5;M;20041104;20041202;590000;A;R;RESIDENCE;;EP;;0;AB174933;
C;206;1946297;7;20050104 11:49;3/203822;
D;206;1946297;7;20050104 11:49;P;;;;;;
D;206;1946297;7;20050104 11:49;V;;;;;;
D;206;1946297;7;20050104 11:49;V;;;;;;
B;206;1947435;8;20050104 11:49;;;24;CROYDON ST;PETERSHAM;2049;638.6;M;20040903;20041112;1226000;A;R;RESIDENCE;;ET;;0;AB151580;
C;206;1947435;8;20050104 11:49;1/975753;
D;206;1947435;8;20050104 11:49;P;;;;;;
D;206;1947435;8;20050104 11:49;V;;;;;;
B;206;1948358;9;20050104 11:49;;;185;DENISON ST;NEWTOWN;2042;126.5;M;20040923;20041208;620000;A;R;RESIDENCE;;EP;;0;AB166332;
C;206;1948358;9;20050104 11:49;4/200425;
D;206;1948358;9;20050104 11:49;P;;;;;;
D;206;1948358;9;20050104 11:49;V;;;;;;
B;206;1949189;10;20050104 11:49;;2;344;EDGEWARE RD;ENMORE;2042;;;20041021;20041202;337000;;R;RESIDENCE;2;;;0;AB153707;
C;206;1949189;10;20050104 11:49;2/SP9146;
D;206;1949189;10;20050104 11:49;P;;;;;;
D;206;1949189;10;20050104 11:49;V;;;;;;
B;206;1949905;11;20050104 11:49;;1;2;ESK ST;MARRICKVILLE;2204;;;20041104;20041208;1425000;;R;RESIDENCE;1;;;0;AB157192;
C;206;1949905;11;20050104 11:49;1/SP12180;
D;206;1949905;11;20050104 11:49;P;;;;;;
D;206;1949905;11;20050104 11:49;V;;;;;;
B;206;1949905;12;20050104 11:49;;1;2;ESK ST;MARRICKVILLE;2204;;;20041104;20041208;1425000;;R;RESIDENCE;2;;;0;AB157192;
C;206;1949905;12;20050104 11:49;2/SP12180;
D;206;1949905;12;20050104 11:49;P;;;;;;
D;206;1949905;12;20050104 11:49;V;;;;;;
B;206;1949905;13;20050104 11:49;;1;2;ESK ST;MARRICKVILLE;2204;;;20041104;20041208;1425000;;R;RESIDENCE;3;;;0;AB157192;
C;206;1949905;13;20050104 11:49;3/SP12180;
D;206;1949905;13;20050104 11:49;P;;;;;;
D;206;1949905;13;20050104 11:49;V;;;;;;
B;206;1949905;14;20050104 11:49;;1;2;ESK ST;MARRICKVILLE;2204;;;20041104;20041208;1425000;;R;RESIDENCE;4;;;0;AB157192;
C;206;1949905;14;20050104 11:49;4/SP12180;
D;206;1949905;14;20050104 11:49;P;;;;;;
D;206;1949905;14;20050104 11:49;V;;;;;;
B;206;1949905;15;20050104 11:49;;1;2;ESK ST;MARRICKVILLE;2204;;;20041104;20041208;1425000;;R;RESIDENCE;5;;;0;AB157192;
C;206;1949905;15;20050104 11:49;5/SP12180;
D;206;1949905;15;20050104 11:49;P;;;;;;
D;206;1949905;15;20050104 11:49;V;;;;;;
B;206;1949905;16;20050104 11:49;;1;2;ESK ST;MARRICKVILLE;2204;;;20041104;20041208;1425000;;R;RESIDENCE;6;;;0;AB157192;
C;206;1949905;16;20050104 11:49;6/SP12180;
D;206;1949905;16;20050104 11:49;P;;;;;;
D;206;1949905;16;20050104 11:49;V;;;;;;
B;206;1950180;17;20050104 11:49;;31;44;EWART ST;DULWICH HILL;2203;;;20041109;20041210;280000;;R;RESIDENCE;31;;;0;AB162963;
C;206;1950180;17;20050104 11:49;31/SP2354;
D;206;1950180;17;20050104 11:49;P;;;;;;
D;206;1950180;17;20050104 11:49;V;;;;;;
D;206;1950180;17;20050104 11:49;V;;;;;;
B;206;1950180;18;20050104 11:49;;31;44;EWART ST;DULWICH HILL;2203;;;20041109;20041210;280000;;R;RESIDENCE;59;;;0;AB162963;
C;206;1950180;18;20050104 11:49;59/SP2354;
D;206;1950180;18;20050104 11:49;P;;;;;;
D;206;1950180;18;20050104 11:49;V;;;;;;
D;206;1950180;18;20050104 11:49;V;;;;;;
B;206;1950286;19;20050104 11:49;;9;38 B;MAGNOLIA GDNS EWART ST;DULWICH HILL;2203;;;20041022;20041203;242000;;R;RESIDENCE;9;;;0;AB155186;
C;206;1950286;19;20050104 11:49;9/SP3050;
D;206;1950286;19;20050104 11:49;P;;;;;;
D;206;1950286;19;20050104 11:49;P;;;;;;
D;206;1950286;19;20050104 11:49;V;;;;;;
B;206;1950402;20;20050104 11:49;;5;18 A;EWART ST;MARRICKVILLE;2204;;;20041018;20041029;252000;;R;RESIDENCE;5;;;0;AB177342;
C;206;1950402;20;20050104 11:49;5/SP274;
D;206;1950402;20;20050104 11:49;P;;;;;;
D;206;1950402;20;20050104 11:49;P;;;;;;
D;206;1950402;20;20050104 11:49;V;;;;;;
B;206;1950705;21;20050104 11:49;;;43;FERNDALE ST;NEWTOWN;2042;107.5;M;20041020;20041201;550000;A;R;RESIDENCE;;EE;;0;AB165696;
