A;092;20040202 11:45;PTHIRLWELL;
B;092;950086;1;20040202 11:45;;;45;ARCHER ST;CHATSWOOD;2067;;;20031029;20031210;1200000;A;R;RESIDENCE;;GM;;0;AA329259;
C;092;950086;1;20040202 11:45;6//22569;
D;092;950086;1;20040202 11:45;P;;;;;;
D;092;950086;1;20040202 11:45;P;;;;;;
D;092;950086;1;20040202 11:45;V;;;;;;
B;092;950211;2;20040202 11:45;;;100;ARCHER ST;CHATSWOOD;2067;;;20031115;20031219;1350000;A;R;RESIDENCE;;GM;;0;AA310681;
C;092;950211;2;20040202 11:45;1//724873;
D;092;950211;2;20040202 11:45;P;;;;;;
D;092;950211;2;20040202 11:45;V;;;;;;
D;092;950211;2;20040202 11:45;V;;;;;;
D;092;950211;2;20040202 11:45;V;;;;;;
D;092;950211;2;20040202 11:45;V;;;;;;
D;092;950211;2;20040202 11:45;V;;;;;;
B;092;950465;3;20040202 11:45;;44;2;ARTARMON RD;WILLOUGHBY;2068;;;20031112;20031223;505000;;R;RESIDENCE;39;;;0;AA314272;
C;092;950465;3;20040202 11:45;39//SP 12397;
D;092;950465;3;20040202 11:45;P;;;;;;
D;092;950465;3;20040202 11:45;V;;;;;;
B;092;950465;4;20040202 11:45;;156;2;ARTARMON RD;WILLOUGHBY;2068;;;20030725;20030905;495000;;R;RESIDENCE;161;;;0;AA335854;
C;092;950465;4;20040202 11:45;161//SP 14189;
D;092;950465;4;20040202 11:45;P;;;;;;
D;092;950465;4;20040202 11:45;V;;;;;;
B;092;950836;5;20040202 11:45;;;4;AUBREY RD;NORTHBRIDGE;2063;;;20030228;20031217;1635000;A;R;RESIDENCE;;EL;;0;AA321045;
C;092;950836;5;20040202 11:45;10//13503;
D;092;950836;5;20040202 11:45;P;;;;;;
D;092;950836;5;20040202 11:45;V;;;;;;
B;092;950873;6;20040202 11:45;;;34;AVIAN CRES;LANE COVE NORTH;2066;701.9;M;20031107;20031219;830000;A;R;RESIDENCE;;GA;;0;AA324608;
C;092;950873;6;20040202 11:45;82//18166;
D;092;950873;6;20040202 11:45;P;;;;;;
D;092;950873;6;20040202 11:45;P;;;;;;
D;092;950873;6;20040202 11:45;V;;;;;;
B;092;952377;7;20040202 11:45;;15;41;BROUGHTON RD;ARTARMON;2064;;;20031127;20040116;420000;;R;RESIDENCE;15;;;0;AA341453;
C;092;952377;7;20040202 11:45;15//SP 36589;
D;092;952377;7;20040202 11:45;P;;;;;;
D;092;952377;7;20040202 11:45;V;;;;;;
D;092;952377;7;20040202 11:45;V;;;;;;
B;092;953309;8;20040202 11:45;;;3;CARR ST;CHATSWOOD WEST;2067;;;20031029;20031210;985000;A;R;RESIDENCE;;EY;;0;AA332740;
C;092;953309;8;20040202 11:45;7//105985;
D;092;953309;8;20040202 11:45;P;;;;;;
D;092;953309;8;20040202 11:45;P;;;;;;
D;092;953309;8;20040202 11:45;V;;;;;;
D;092;953309;8;20040202 11:45;V;;;;;;
B;092;953760;9;20040202 11:45;;;5;CHEYNE WALK;CASTLECRAG;2068;645;M;20031125;20040106;2300000;A;R;RESIDENCE;;EJ;;0;AA303000;
C;092;953760;9;20040202 11:45;2//522151;
D;092;953760;9;20040202 11:45;P;;;;;;
D;092;953760;9;20040202 11:45;V;;;;;;
B;092;953948;10;20040202 11:45;;6;29;CHURCH ST;CHATSWOOD;2067;;;20031031;20031212;420000;;3;UNIT;6;;;0;AA326001;
C;092;953948;10;20040202 11:45;6//SP 6856;
D;092;953948;10;20040202 11:45;P;;;;;;
D;092;953948;10;20040202 11:45;V;;;;;;
B;092;955270;11;20040202 11:45;;;44;DARVALL ST;ST LEONARDS;2065;215;M;20031223;20040116;805000;A;R;RESIDENCE;;EQ;;0;AA339422;
C;092;955270;11;20040202 11:45;32/25/4241;
D;092;955270;11;20040202 11:45;P;;;;;;
