A;528;20040601 12:07;PDANN;
B;528;439287;1;20040601 12:07;;;;CORK ST;GUNDAROO;2620;2023;M;20040428;20040428;520000;Z;R;RESIDENCE;;VB;;0;AA640744;
C;528;439287;1;20040601 12:07;20/27/758488;
D;528;439287;1;20040601 12:07;P;;;;;;
D;528;439287;1;20040601 12:07;P;;;;;;
D;528;439287;1;20040601 12:07;V;;;;;;
B;528;440179;2;20040601 12:07;;;;PH NELANGLO;GUNDAROO;2620;41.75;H;20040421;20040421;155000;R;R;RESIDENCE;;XH;;50;AA637181;
C;528;440179;2;20040601 12:07;1//1024315;
D;528;440179;2;20040601 12:07;P;;;;;;
D;528;440179;2;20040601 12:07;P;;;;;;
D;528;440179;2;20040601 12:07;V;;;;;;
D;528;440179;2;20040601 12:07;V;;;;;;
D;528;440179;2;20040601 12:07;V;;;;;;
D;528;440179;2;20040601 12:07;V;;;;;;
B;528;482153;3;20040601 12:07;;;1633;FEDERAL HWY;SUTTON;2620;14.05;H;20040402;20040428;735000;R;R;RESIDENCE;;QJ;;0;AA614207;
C;528;482153;3;20040601 12:07;207//878379;
D;528;482153;3;20040601 12:07;P;;;;;;
D;528;482153;3;20040601 12:07;P;;;;;;
D;528;482153;3;20040601 12:07;V;;;;;;
B;528;483280;4;20040601 12:07;;;81;MCCARTHY RD;WALLAROO;2618;16.01;H;20011101;20011207;630000;P;R;RESIDENCE;;QF;RR;0;8229214;
C;528;483280;4;20040601 12:07;2//253616;
D;528;483280;4;20040601 12:07;P;;;;;;
D;528;483280;4;20040601 12:07;P;;;;;;
D;528;483280;4;20040601 12:07;V;;;;;;
D;528;483280;4;20040601 12:07;V;;;;;;
B;528;2917860;5;20040601 12:07;;;;ROSAMEL ST;GUNDAROO;2620;1909.6;M;20010423;20011218;45000;Z;V;VACANT LAND;;VB;RV;0;8260913;
C;528;2917860;5;20040601 12:07;6/11/758488;
D;528;2917860;5;20040601 12:07;P;;;;;;
D;528;2917860;5;20040601 12:07;P;;;;;;
D;528;2917860;5;20040601 12:07;V;;;;;;
Z;31;5;5;19;
