A;252;20050104 11:53;MASMITH;
B;252;2676091;1;20050104 11:53;;;;PH BOULTON DPS;WALCHA;2354;130.2;H;20040910;20041213;98604;R;3;GRASING LAND;;SB;;0;AB168174;
C;252;2676091;1;20050104 11:53;2/771259 40/1010091;
D;252;2676091;1;20050104 11:53;P;;;;;;
D;252;2676091;1;20050104 11:53;P;;;;;;
D;252;2676091;1;20050104 11:53;V;;;;;;
D;252;2676091;1;20050104 11:53;V;;;;;;
D;252;2676091;1;20050104 11:53;V;;;;;;
D;252;2676091;1;20050104 11:53;V;;;;;;
B;252;2676921;2;20050104 11:53;;;;PH WALCHA DPS CO VERNON;WALCHA;2354;4047;M;20041119;20041130;222330;R;3;TIMBER MILL;;WS;;0;AB131560;
C;252;2676921;2;20050104 11:53;B/380715;
D;252;2676921;2;20050104 11:53;P;;;;;;
D;252;2676921;2;20050104 11:53;V;;;;;;
B;252;2677433;3;20050104 11:53;;;111 E;JAMIESON ST;WALCHA;2354;3.608;H;20041119;20041130;222330;Z;3;TIMBER MILL;;AC;;0;AB131560;
C;252;2677433;3;20050104 11:53;17, 18, 19, 20, 21, 22, 23, 24/239701 B/381821 C1, C2/391942 2/516475 ;
C;252;2677433;3;20050104 11:53;1/528000 1, 2, 3/563029 41, 42/615430 555/756502;
D;252;2677433;3;20050104 11:53;P;;;;;;
D;252;2677433;3;20050104 11:53;V;;;;;;
B;252;3144619;4;20050104 11:53;;;11;THUNDERBOLTS WAY;NOWENDOC;2354;43.71;H;20040319;20040726;70000;;V;VACANT LAND;;;;0;AB155672;
C;252;3144619;4;20050104 11:53;11/1017185;
D;252;3144619;4;20050104 11:53;P;;;;;;
D;252;3144619;4;20050104 11:53;V;;;;;;
D;252;3144619;4;20050104 11:53;V;;;;;;
D;252;3144619;4;20050104 11:53;V;;;;;;
B;252;3144621;5;20050104 11:53;"DAISY GULLY";;;OAKLANDS RD;WALCHA;2354;987.43;H;20041008;20041126;180000;;3;GRAZING LAND;;;;0;AB138671;
C;252;3144621;5;20050104 11:53;18/756489;
D;252;3144621;5;20050104 11:53;P;;;;;;
D;252;3144621;5;20050104 11:53;P;;;;;;
D;252;3144621;5;20050104 11:53;V;;;;;;
D;252;3144621;5;20050104 11:53;V;;;;;;
B;252;3144649;6;20050104 11:53;;;;INGLEBA RD;WALCHA;2354;29.55;H;20040910;20041115;300000;;R;RESIDENCE;;;;0;AB121983;
C;252;3144649;6;20050104 11:53;1/1074876;
D;252;3144649;6;20050104 11:53;P;;;;;;
D;252;3144649;6;20050104 11:53;P;;;;;;
D;252;3144649;6;20050104 11:53;V;;;;;;
Z;36;6;7;21;
