A;172;20040116 12:38;PDANN;
B;172;1802326;1;20040116 12:38;;;99;ELDON RD;WATERVIEW HEIGHTS;2460;69.53;H;20031117;20031219;210000;R;R;RESIDENCE;;HC;;0;AA301832;
C;172;1802326;1;20040116 12:38;1692//845646;
D;172;1802326;1;20040116 12:38;P;;;;;;
D;172;1802326;1;20040116 12:38;V;;;;;;
B;172;1802920;2;20040116 12:38;;;17;RIVERSTONE RD;SEELANDS;2460;4.5;H;20030905;20031208;570000;R;R;RESIDENCE;;WV;;0;AA262155;
C;172;1802920;2;20040116 12:38;1//730874;
D;172;1802920;2;20040116 12:38;P;;;;;;
D;172;1802920;2;20040116 12:38;P;;;;;;
D;172;1802920;2;20040116 12:38;V;;;;;;
B;172;1803052;3;20040116 12:38;;;6584;OLD GLEN INNES RD;DALMORTON;2460;685.8;H;20031010;20031010;55000;R;V;VACANT LAND;;HT;;50;AA248617;
C;172;1803052;3;20040116 12:38;3//753533 Crown Lease 19/14;
D;172;1803052;3;20040116 12:38;P;;;;;;
D;172;1803052;3;20040116 12:38;P;;;;;;
D;172;1803052;3;20040116 12:38;V;;;;;;
D;172;1803052;3;20040116 12:38;V;;;;;;
D;172;1803052;3;20040116 12:38;V;;;;;;
D;172;1803052;3;20040116 12:38;V;;;;;;
D;172;1803052;3;20040116 12:38;V;;;;;;
D;172;1803052;3;20040116 12:38;V;;;;;;
D;172;1803052;3;20040116 12:38;V;;;;;;
B;172;1837743;4;20040116 12:38;;;14;MOOKIM ST;TUCABIA;2462;612;M;20031128;20031218;145000;Z;R;RESIDENCE;;TU;;0;AA279561;
C;172;1837743;4;20040116 12:38;12//733481;
D;172;1837743;4;20040116 12:38;P;;;;;;
D;172;1837743;4;20040116 12:38;V;;;;;;
D;172;1837743;4;20040116 12:38;V;;;;;;
B;172;1837818;5;20040116 12:38;;;563;SHERWOOD CREEK RD;UPPER CORINDI;2456;26.1;H;20031030;20031202;380000;R;R;RESIDENCE;;RK;;0;AA249548;
C;172;1837818;5;20040116 12:38;55//631563;
D;172;1837818;5;20040116 12:38;P;;;;;;
D;172;1837818;5;20040116 12:38;P;;;;;;
D;172;1837818;5;20040116 12:38;V;;;;;;
B;172;1838081;6;20040116 12:38;;;;CORAL ST;CORINDI BEACH;2456;1.25;H;20030801;20031205;370000;R;R;RESIDENCE;;RJ;;0;AA257984;
C;172;1838081;6;20040116 12:38;42//839755;
D;172;1838081;6;20040116 12:38;P;;;;;;
D;172;1838081;6;20040116 12:38;P;;;;;;
D;172;1838081;6;20040116 12:38;V;;;;;;
D;172;1838081;6;20040116 12:38;V;;;;;;
B;172;1838141;7;20040116 12:38;;;10;KELLY ST;CORINDI BEACH;2456;657;M;20031111;20031219;250000;Z;R;RESIDENCE;;CB;;0;AA289640;
C;172;1838141;7;20040116 12:38;29//264304;
D;172;1838141;7;20040116 12:38;P;;;;;;
D;172;1838141;7;20040116 12:38;P;;;;;;
D;172;1838141;7;20040116 12:38;V;;;;;;
B;172;1838194;8;20040116 12:38;;;46;MATTHEWS PDE;CORINDI BEACH;2456;632.7;M;20031107;20031219;115000;Z;V;VACANT LAND;;CB;;0;AA286577;
C;172;1838194;8;20040116 12:38;66//700840;
D;172;1838194;8;20040116 12:38;P;;;;;;
D;172;1838194;8;20040116 12:38;V;;;;;;
D;172;1838194;8;20040116 12:38;V;;;;;;
B;172;1839099;9;20040116 12:38;;;509;AVENUE RD;ULMARRA;2462;6;H;20030910;20030910;67500;R;V;VACANT LAND;;MA;;0;AA275002;
C;172;1839099;9;20040116 12:38;1172//739102;
D;172;1839099;9;20040116 12:38;P;;;;;;
D;172;1839099;9;20040116 12:38;P;;;;;;
D;172;1839099;9;20040116 12:38;V;;;;;;
B;172;1839100;10;20040116 12:38;;;493;AVENUE RD;ULMARRA;2462;6;H;20030911;20031211;67500;R;V;VACANT LAND;;MA;;0;AA274986;
C;172;1839100;10;20040116 12:38;1173//739102;
D;172;1839100;10;20040116 12:38;P;;;;;;
D;172;1839100;10;20040116 12:38;P;;;;;;
D;172;1839100;10;20040116 12:38;V;;;;;;
B;172;1840025;11;20040116 12:38;;;88;CORAMBA ST;GLENREAGH;2450;1012;M;20031024;20031128;150000;Z;R;RESIDENCE;;GR;;0;AA282421;
C;172;1840025;11;20040116 12:38;7/5/758452;
D;172;1840025;11;20040116 12:38;P;;;;;;
D;172;1840025;11;20040116 12:38;V;;;;;;
B;172;1840625;12;20040116 12:38;;;45;PACIFIC HWY;ULMARRA;2462;500.8;M;20031119;20031219;107000;Z;R;RESIDENCE;;UL;;0;AA304613;
C;172;1840625;12;20040116 12:38;1//194374;
D;172;1840625;12;20040116 12:38;P;;;;;;
D;172;1840625;12;20040116 12:38;V;;;;;;
D;172;1840625;12;20040116 12:38;V;;;;;;
B;172;1840931;13;20040116 12:38;;;136;MAIN ST;WOOLI;2462;430;M;20031122;20031222;400000;Z;R;RESIDENCE;;WS;;0;AA295938;
C;172;1840931;13;20040116 12:38;5/6/759114;
D;172;1840931;13;20040116 12:38;P;;;;;;
D;172;1840931;13;20040116 12:38;P;;;;;;
D;172;1840931;13;20040116 12:38;P;;;;;;
D;172;1840931;13;20040116 12:38;P;;;;;;
D;172;1840931;13;20040116 12:38;V;;;;;;
