A;255;20050104 11:53;MASMITH;
B;255;2686356;1;20050104 11:53;;;15;ADELAIDE ST;GOL GOL;2738;493.2;M;20041101;20041112;127500;A;R;RESIDENCE;;AV;;0;AB166071;
C;255;2686356;1;20050104 11:53;1/432781 2/542777;
D;255;2686356;1;20050104 11:53;P;;;;;;
D;255;2686356;1;20050104 11:53;V;;;;;;
D;255;2686356;1;20050104 11:53;V;;;;;;
B;255;2686920;2;20050104 11:53;;;77;CADELL ST;WENTWORTH;2648;1012;M;20041026;20041210;200000;A;R;RESIDENCE;;AL;;0;AB172988;
C;255;2686920;2;20050104 11:53;3/7/759074;
D;255;2686920;2;20050104 11:53;P;;;;;;
D;255;2686920;2;20050104 11:53;V;;;;;;
D;255;2686920;2;20050104 11:53;V;;;;;;
B;255;2687073;3;20050104 11:53;;;33;DARLING ST;WENTWORTH;2648;973.7;M;20040519;20040909;208000;A;3;SHOPS;;AM;;0;AB167818;
C;255;2687073;3;20050104 11:53;1/658860;
D;255;2687073;3;20050104 11:53;P;;;;;;
D;255;2687073;3;20050104 11:53;V;;;;;;
D;255;2687073;3;20050104 11:53;V;;;;;;
B;255;2687226;4;20050104 11:53;;10;64;ADAMS ST;WENTWORTH;2648;;;20040531;20040727;120000;;3;SHOPS;10;;;0;AA860370;
C;255;2687226;4;20050104 11:53;10/SP50703;
D;255;2687226;4;20050104 11:53;P;;;;;;
D;255;2687226;4;20050104 11:53;V;;;;;;
B;255;2687226;5;20050104 11:53;;11;64;ADAMS ST;WENTWORTH;2648;;;20040531;20040727;120000;;3;SHOPS;11;;;0;AA860370;
C;255;2687226;5;20050104 11:53;11/SP50703;
D;255;2687226;5;20050104 11:53;P;;;;;;
D;255;2687226;5;20050104 11:53;V;;;;;;
B;255;2687596;6;20050104 11:53;;;;GUNYA RD;COOMEALLA;2717;13.11;H;20040824;20041006;106000;R;3;FARM;;AH;;0;AB152104;
C;255;2687596;6;20050104 11:53;242, 243/756961 Incomplete Purchase 198967;
D;255;2687596;6;20050104 11:53;P;;;;;;
D;255;2687596;6;20050104 11:53;P;;;;;;
D;255;2687596;6;20050104 11:53;V;;;;;;
D;255;2687596;6;20050104 11:53;V;;;;;;
B;255;2884784;7;20050104 11:53;;;30;ARMSTRONG AVE;WENTWORTH;2648;812;M;20041116;20041130;33000;A;V;VACANT LAND;;AL;;0;AB172717;
C;255;2884784;7;20050104 11:53;2/805661;
D;255;2884784;7;20050104 11:53;P;;;;;;
D;255;2884784;7;20050104 11:53;P;;;;;;
D;255;2884784;7;20050104 11:53;V;;;;;;
B;255;2953819;8;20050104 11:53;;;;DARLING RD;POMONA;2648;5.668;H;20040528;20040827;90000;R;R;RESIDENCE;;AS;;0;AB97933;
C;255;2953819;8;20050104 11:53;27/432703;
D;255;2953819;8;20050104 11:53;P;;;;;;
D;255;2953819;8;20050104 11:53;P;;;;;;
D;255;2953819;8;20050104 11:53;V;;;;;;
B;255;3103159;9;20050104 11:53;;;;DRINGS WAY;GOL GOL;2738;1430;M;20041012;20041125;67000;A;V;VACANT LAND;;AV;;0;AB157407;
C;255;3103159;9;20050104 11:53;39/1069595;
D;255;3103159;9;20050104 11:53;P;;;;;;
D;255;3103159;9;20050104 11:53;V;;;;;;
B;255;3120805;10;20050104 11:53;;;;THE COBB CO WAY;GOL GOL;2738;9.985;H;20041021;20041119;320000;;V;VACANT LAND;;;;0;AB175943;
C;255;3120805;10;20050104 11:53;62/1071972;
D;255;3120805;10;20050104 11:53;P;;;;;;
D;255;3120805;10;20050104 11:53;P;;;;;;
D;255;3120805;10;20050104 11:53;V;;;;;;
B;255;3128160;11;20050104 11:53;;;LOT1;DARLING VIEW;WENTWORTH;2648;;;20041108;20041108;9000;;3;FARM;;;;0;AB156152;
C;255;3128160;11;20050104 11:53;1/1073050;
D;255;3128160;11;20050104 11:53;P;;;;;;
D;255;3128160;11;20050104 11:53;P;;;;;;
D;255;3128160;11;20050104 11:53;V;;;;;;
D;255;3128160;11;20050104 11:53;V;;;;;;
B;255;3138878;12;20050104 11:53;;;LOT1;CNR HUME & BURKE RD;POMONA;2648;;;20040719;20041206;15000;;R;RESIDENCE;;;;0;AB173132;
C;255;3138878;12;20050104 11:53;1/1076094;
D;255;3138878;12;20050104 11:53;P;;;;;;
D;255;3138878;12;20050104 11:53;P;;;;;;
D;255;3138878;12;20050104 11:53;V;;;;;;
Z;61;12;12;35;
