A;135;20050104 11:45;MASMITH;
B;135;1308106;1;20050104 11:45;;;16;ALBERT RD;AUBURN;2144;;;20030814;20041109;1500000;A;R;RESIDENCE;;HD;AC;0;AB86949;
C;135;1308106;1;20050104 11:45;31/2/979296;
D;135;1308106;1;20050104 11:45;P;;;;;;
D;135;1308106;1;20050104 11:45;V;;;;;;
D;135;1308106;1;20050104 11:45;V;;;;;;
D;135;1308106;1;20050104 11:45;V;;;;;;
B;135;1309611;2;20050104 11:45;;96;27;BENNELONG RD;HOMEBUSH BAY;2127;;;20041103;20041208;360000;;R;RESIDENCE;96;;;0;AB176259;
C;135;1309611;2;20050104 11:45;96/SP60794;
D;135;1309611;2;20050104 11:45;P;;;;;;
D;135;1309611;2;20050104 11:45;P;;;;;;
D;135;1309611;2;20050104 11:45;V;;;;;;
D;135;1309611;2;20050104 11:45;V;;;;;;
B;135;1312700;3;20050104 11:45;;3;202;CUMBERLAND RD;AUBURN;2144;;;20041027;20041129;365000;;R;RESIDENCE;2;;;0;AB151087;
C;135;1312700;3;20050104 11:45;2/SP45236;
D;135;1312700;3;20050104 11:45;P;;;;;;
D;135;1312700;3;20050104 11:45;P;;;;;;
D;135;1312700;3;20050104 11:45;V;;;;;;
D;135;1312700;3;20050104 11:45;V;;;;;;
B;135;1315638;4;20050104 11:45;;1;11;GIBBONS ST;AUBURN;2144;;;20041009;20041206;210000;;R;RESIDENCE;1;;;0;AB153651;
C;135;1315638;4;20050104 11:45;1/SP10089;
D;135;1315638;4;20050104 11:45;P;;;;;;
D;135;1315638;4;20050104 11:45;V;;;;;;
B;135;1316336;5;20050104 11:45;;1;25;HARGRAVE RD;AUBURN;2144;;;20041006;20041203;208500;;R;RESIDENCE;1;;;0;AB163688;
C;135;1316336;5;20050104 11:45;1/SP56960;
D;135;1316336;5;20050104 11:45;P;;;;;;
D;135;1316336;5;20050104 11:45;V;;;;;;
D;135;1316336;5;20050104 11:45;V;;;;;;
B;135;1316588;6;20050104 11:45;;;194;HARROW RD;BERALA;2141;;;20041007;20041216;490000;A;R;RESIDENCE;;HE;;0;AB178077;
C;135;1316588;6;20050104 11:45;7/2/6776;
D;135;1316588;6;20050104 11:45;P;;;;;;
D;135;1316588;6;20050104 11:45;V;;;;;;
D;135;1316588;6;20050104 11:45;V;;;;;;
B;135;1317028;7;20050104 11:45;;2;26;HELENA ST;AUBURN;2144;;;20041028;20041209;315000;;R;RESIDENCE;2;;;0;AB154612;
C;135;1317028;7;20050104 11:45;2/SP50124;
D;135;1317028;7;20050104 11:45;P;;;;;;
D;135;1317028;7;20050104 11:45;P;;;;;;
D;135;1317028;7;20050104 11:45;V;;;;;;
B;135;1317062;8;20050104 11:45;;;11;HENRY ST;LIDCOMBE;2141;;;20041009;20041215;555000;A;R;RESIDENCE;;HC;;0;AB170464;
C;135;1317062;8;20050104 11:45;29/A/8225;
D;135;1317062;8;20050104 11:45;P;;;;;;
D;135;1317062;8;20050104 11:45;P;;;;;;
D;135;1317062;8;20050104 11:45;V;;;;;;
D;135;1317062;8;20050104 11:45;V;;;;;;
B;135;1317330;9;20050104 11:45;;;70;JELLICOE ST;AUBURN;2144;1821;M;20041012;20041123;1365000;I;3;INDUSTRIAL;;IQ;;0;AB151973;
C;135;1317330;9;20050104 11:45;276, 277, 278/8683;
D;135;1317330;9;20050104 11:45;P;;;;;;
D;135;1317330;9;20050104 11:45;P;;;;;;
D;135;1317330;9;20050104 11:45;V;;;;;;
B;135;1320844;10;20050104 11:45;COTTESLOE;26;1;MOCKRIDGE AVE;NEWINGTON;2127;;;20041124;20041213;367000;;R;RESIDENCE;26;;;0;AB172961;
C;135;1320844;10;20050104 11:45;26/SP62605;
D;135;1320844;10;20050104 11:45;P;;;;;;
D;135;1320844;10;20050104 11:45;V;;;;;;
D;135;1320844;10;20050104 11:45;V;;;;;;
B;135;1321670;11;20050104 11:45;;5;42;NORVAL ST;AUBURN;2144;;;20041122;20041215;290000;;R;RESIDENCE;5;;;0;AB177201;
