A;069;20040416 11:21;PDANN;
B;069;547309;1;20040416 11:21;;;;BENCUBBIN AVE;COLEAMBALLY;2707;3851;M;20040114;20040130;3500;Z;3;;;CA;;0;AA492677;
C;069;547309;1;20040416 11:21;202//239424;
D;069;547309;1;20040416 11:21;P;;;;;;
D;069;547309;1;20040416 11:21;P;;;;;;
D;069;547309;1;20040416 11:21;V;;;;;;
D;069;547309;1;20040416 11:21;V;;;;;;
D;069;547309;1;20040416 11:21;V;;;;;;
D;069;547309;1;20040416 11:21;V;;;;;;
D;069;547309;1;20040416 11:21;V;;;;;;
D;069;547309;1;20040416 11:21;V;;;;;;
B;069;547309;2;20040416 11:21;;;;BENCUBBIN AVE;COLEAMBALLY;2707;3851;M;20040114;20040130;210000;Z;R;RESIDENCE;;CA;;0;AA492681;
C;069;547309;2;20040416 11:21;202//239424;
D;069;547309;2;20040416 11:21;P;;;;;;
D;069;547309;2;20040416 11:21;P;;;;;;
D;069;547309;2;20040416 11:21;V;;;;;;
D;069;547309;2;20040416 11:21;V;;;;;;
D;069;547309;2;20040416 11:21;V;;;;;;
D;069;547309;2;20040416 11:21;V;;;;;;
D;069;547309;2;20040416 11:21;V;;;;;;
D;069;547309;2;20040416 11:21;V;;;;;;
B;069;547319;3;20040416 11:21;;;10;BLUEBONNET CRES;COLEAMBALLY;2707;961.1;M;20040214;20040322;50000;Z;R;RESIDENCE;;AA;;0;AA531377;
C;069;547319;3;20040416 11:21;14//234758;
D;069;547319;3;20040416 11:21;P;;;;;;
D;069;547319;3;20040416 11:21;V;;;;;;
B;069;547386;4;20040416 11:21;;;;CALROSE AVE;COLEAMBALLY;2707;4844;M;19970128;20040317;3400;Z;R;RESIDENCE;;CA;;0;AA517155;
C;069;547386;4;20040416 11:21;48//236144;
D;069;547386;4;20040416 11:21;P;;;;;;
D;069;547386;4;20040416 11:21;P;;;;;;
D;069;547386;4;20040416 11:21;V;;;;;;
D;069;547386;4;20040416 11:21;V;;;;;;
D;069;547386;4;20040416 11:21;V;;;;;;
B;069;547439;5;20040416 11:21;;;12 B;CURRAWONG CRES;COLEAMBALLY;2707;2764;M;19980731;20040326;9800;Z;R;RESIDENCE;;AA;;0;AA538501;
C;069;547439;5;20040416 11:21;385, 386//259779;
D;069;547439;5;20040416 11:21;P;;;;;;
D;069;547439;5;20040416 11:21;P;;;;;;
D;069;547439;5;20040416 11:21;V;;;;;;
D;069;547439;5;20040416 11:21;V;;;;;;
D;069;547439;5;20040416 11:21;V;;;;;;
B;069;547566;6;20040416 11:21;;;;PINACLE ST;COLEAMBALLY;2707;3692.8;M;20040114;20040130;210000;Z;R;RESIDENCE;;CA;;0;AA492681;
C;069;547566;6;20040416 11:21;203//239424;
D;069;547566;6;20040416 11:21;P;;;;;;
D;069;547566;6;20040416 11:21;P;;;;;;
D;069;547566;6;20040416 11:21;V;;;;;;
D;069;547566;6;20040416 11:21;V;;;;;;
D;069;547566;6;20040416 11:21;V;;;;;;
D;069;547566;6;20040416 11:21;V;;;;;;
D;069;547566;6;20040416 11:21;V;;;;;;
D;069;547566;6;20040416 11:21;V;;;;;;
B;069;547566;7;20040416 11:21;;;;PINACLE ST;COLEAMBALLY;2707;3692.8;M;20040114;20040130;3500;Z;3;;;CA;;0;AA492679;
C;069;547566;7;20040416 11:21;203//239424;
D;069;547566;7;20040416 11:21;P;;;;;;
D;069;547566;7;20040416 11:21;P;;;;;;
D;069;547566;7;20040416 11:21;V;;;;;;
D;069;547566;7;20040416 11:21;V;;;;;;
D;069;547566;7;20040416 11:21;V;;;;;;
D;069;547566;7;20040416 11:21;V;;;;;;
D;069;547566;7;20040416 11:21;V;;;;;;
B;069;548293;8;20040416 11:21;;;;W C I C FARMS;COLEAMBALLY;2707;245.5;H;20030226;20030422;600000;R;3;FARM;;RC;RS;0;9573451;
C;069;548293;8;20040416 11:21;159//750879 . CIA Farm Number 165;
D;069;548293;8;20040416 11:21;P;;;;;;
D;069;548293;8;20040416 11:21;P;;;;;;
D;069;548293;8;20040416 11:21;V;;;;;;
D;069;548293;8;20040416 11:21;V;;;;;;
B;069;548301;9;20040416 11:21;;;;W C I C FARMS;COLEAMBALLY;2707;215.2;H;20020415;20020530;640000;R;3;FARM;;RC;RS;0;8719892;
C;069;548301;9;20040416 11:21;113, 114//750903 CIA Farm Number 3;
D;069;548301;9;20040416 11:21;P;;;;;;
D;069;548301;9;20040416 11:21;P;;;;;;
D;069;548301;9;20040416 11:21;V;;;;;;
D;069;548301;9;20040416 11:21;V;;;;;;
D;069;548301;9;20040416 11:21;V;;;;;;
D;069;548301;9;20040416 11:21;V;;;;;;
D;069;548301;9;20040416 11:21;V;;;;;;
D;069;548301;9;20040416 11:21;V;;;;;;
B;069;548302;10;20040416 11:21;;;;W C I C FARMS;COLEAMBALLY;2707;280;H;20021204;20021204;600000;R;3;FARM;;RC;RSI;0;9319076;
C;069;548302;10;20040416 11:21;PT 115//750903 338//750908 . CIA Farm Number 4;
D;069;548302;10;20040416 11:21;P;;;;;;
D;069;548302;10;20040416 11:21;P;;;;;;
D;069;548302;10;20040416 11:21;V;;;;;;
D;069;548302;10;20040416 11:21;V;;;;;;
B;069;548359;11;20040416 11:21;;;;W C I C FARMS;COLEAMBALLY;2707;210.3;H;20020718;20020816;525000;R;3;FARM;;RC;RS;0;8893520;
C;069;548359;11;20040416 11:21;96//750885 CIA Incomplete Purchase 206987;
D;069;548359;11;20040416 11:21;P;;;;;;
D;069;548359;11;20040416 11:21;V;;;;;;
B;069;548369;12;20040416 11:21;;;;W C I C FARMS;COLEAMBALLY;2707;214.6;H;20011009;20011219;700000;R;R;RESIDENCE;;RC;RS;0;8262438;
C;069;548369;12;20040416 11:21;57//750899 CIA;
D;069;548369;12;20040416 11:21;P;;;;;;
D;069;548369;12;20040416 11:21;P;;;;;;
D;069;548369;12;20040416 11:21;V;;;;;;
B;069;548401;13;20040416 11:21;;;;W C I C FARMS;COLEAMBALLY;2707;216.3;H;20021209;20021220;600320;R;3;FARM;;RC;RSI;0;9327217;
C;069;548401;13;20040416 11:21;144//750885 CIA Irrigation Farm Purchase 98;
D;069;548401;13;20040416 11:21;P;;;;;;
D;069;548401;13;20040416 11:21;P;;;;;;
D;069;548401;13;20040416 11:21;V;;;;;;
D;069;548401;13;20040416 11:21;V;;;;;;
B;069;548417;14;20040416 11:21;;;;W C I C FARMS;COLEAMBALLY;2707;214.9;H;20011019;20011116;577500;R;3;FARM;;RC;RS;0;8156485;
C;069;548417;14;20040416 11:21;149//750885 CIA Farm Number 114;
D;069;548417;14;20040416 11:21;P;;;;;;
D;069;548417;14;20040416 11:21;P;;;;;;
D;069;548417;14;20040416 11:21;V;;;;;;
D;069;548417;14;20040416 11:21;V;;;;;;
D;069;548417;14;20040416 11:21;V;;;;;;
D;069;548417;14;20040416 11:21;V;;;;;;
B;069;548455;15;20040416 11:21;;;;W C I C FARMS;COLEAMBALLY;2707;25.94;H;20030130;20030311;236000;R;R;RESIDENCE;;RH;RH;0;9451657;
C;069;548455;15;20040416 11:21;131//750903 CIA Farm Number 1004;
D;069;548455;15;20040416 11:21;P;;;;;;
D;069;548455;15;20040416 11:21;V;;;;;;
D;069;548455;15;20040416 11:21;V;;;;;;
B;069;548465;16;20040416 11:21;;;;W C I C FARMS;COLEAMBALLY;2707;30.75;H;20030214;20030424;80000;R;R;RESIDENCE;;RH;AC;0;9588350;
C;069;548465;16;20040416 11:21;130//750903 CIA Irrigation Farm Purchase 1013;
D;069;548465;16;20040416 11:21;P;;;;;;
D;069;548465;16;20040416 11:21;V;;;;;;
B;069;548468;17;20040416 11:21;;;;W C I C FARMS;COLEAMBALLY;2707;36.7;H;20021128;20030214;485000;R;3;FARM;;RH;RH;0;9441952;
C;069;548468;17;20040416 11:21;133//750903 CIA Terms Purchase FN 1015;
D;069;548468;17;20040416 11:21;P;;;;;;
D;069;548468;17;20040416 11:21;P;;;;;;
D;069;548468;17;20040416 11:21;V;;;;;;
D;069;548468;17;20040416 11:21;V;;;;;;
B;069;548479;18;20040416 11:21;;;;W C I C FARMS;COLEAMBALLY;2707;48.56;H;20020829;20021203;190000;R;3;FARM RURAL;;RH;RW;0;9346308;
C;069;548479;18;20040416 11:21;96//750872 CIA Farm Number 1020;
D;069;548479;18;20040416 11:21;P;;;;;;
D;069;548479;18;20040416 11:21;P;;;;;;
D;069;548479;18;20040416 11:21;V;;;;;;
D;069;548479;18;20040416 11:21;V;;;;;;
B;069;2876914;19;20040416 11:21;;;;WCIC FARMS;COLEAMBALLY;2707;215.2;H;20011109;20011109;166666;R;3;FARM;;RC;RS;33;8262586;
C;069;2876914;19;20040416 11:21;55//750899 CIA Farm Number Part 78;
D;069;2876914;19;20040416 11:21;P;;;;;;
D;069;2876914;19;20040416 11:21;P;;;;;;
D;069;2876914;19;20040416 11:21;V;;;;;;
D;069;2876914;19;20040416 11:21;V;;;;;;
D;069;2876914;19;20040416 11:21;V;;;;;;
D;069;2876914;19;20040416 11:21;V;;;;;;
D;069;2876914;19;20040416 11:21;V;;;;;;
D;069;2876914;19;20040416 11:21;V;;;;;;
B;069;2898614;20;20040416 11:21;;;;WCIC FARMS;COLEAMBALLY;2707;215.2;H;20011109;20011109;585000;R;3;FARM;;RC;RS;0;8262691;
C;069;2898614;20;20040416 11:21;61//750899 CIA Irrigation Farm Purchase 62;
D;069;2898614;20;20040416 11:21;P;;;;;;
D;069;2898614;20;20040416 11:21;P;;;;;;
D;069;2898614;20;20040416 11:21;V;;;;;;
D;069;2898614;20;20040416 11:21;V;;;;;;
B;069;2973688;21;20040416 11:21;;;;ROSEWOOD RD;COLEAMBALLY;2707;215.3;H;20020312;20020510;800000;R;3;FARM;;RC;RS;0;8623358;
C;069;2973688;21;20040416 11:21;51//750899 CIA . Farm Number 68 WB 186554;
D;069;2973688;21;20040416 11:21;P;;;;;;
D;069;2973688;21;20040416 11:21;V;;;;;;
D;069;2973688;21;20040416 11:21;V;;;;;;
D;069;2973688;21;20040416 11:21;V;;;;;;
Z;147;21;21;103;
