A;055;20040202 11:41;PTHIRLWELL;
B;055;514268;1;20040202 11:41;;;234;ADAMS ST S;COROWA;2646;1012;M;20031119;20031212;175000;A;R;RESIDENCE;;AS;;0;AA337167;
C;055;514268;1;20040202 11:41;22//248816;
D;055;514268;1;20040202 11:41;P;;;;;;
D;055;514268;1;20040202 11:41;V;;;;;;
B;055;514288;2;20040202 11:41;;;9;AIRLIE ST;COROWA;2646;738.5;M;20031121;20031220;84000;A;R;RESIDENCE;;AA;;0;AA347250;
C;055;514288;2;20040202 11:41;30//710095;
D;055;514288;2;20040202 11:41;P;;;;;;
D;055;514288;2;20040202 11:41;P;;;;;;
D;055;514288;2;20040202 11:41;V;;;;;;
B;055;514950;3;20040202 11:41;;;24;EDWARD;COROWA;2646;2957.9;M;20031014;20031205;212000;A;V;VACANT LAND;;AP;;0;AA335089;
C;055;514950;3;20040202 11:41;27, 28, 29, 30//259199;
D;055;514950;3;20040202 11:41;P;;;;;;
D;055;514950;3;20040202 11:41;V;;;;;;
B;055;515302;4;20040202 11:41;;;43;HAY ST S;COROWA;2646;1020;M;20031031;20031219;230000;A;R;RESIDENCE;;AS;;0;AA332506;
C;055;515302;4;20040202 11:41;12/19/758296;
D;055;515302;4;20040202 11:41;P;;;;;;
D;055;515302;4;20040202 11:41;P;;;;;;
D;055;515302;4;20040202 11:41;V;;;;;;
B;055;515312;5;20040202 11:41;;;29;HEADERWORLD AVE;COROWA;2646;3961;M;20031015;20031215;43500;I;V;VACANT LAND;;DA;;0;AA343049;
C;055;515312;5;20040202 11:41;13//789406;
D;055;515312;5;20040202 11:41;P;;;;;;
D;055;515312;5;20040202 11:41;V;;;;;;
B;055;515440;6;20040202 11:41;;;368;HONOUR AVE;COROWA;2646;1336;M;20031029;20031128;81000;A;R;RESIDENCE;;AN;;0;AA326500;
C;055;515440;6;20040202 11:41;3//514154;
D;055;515440;6;20040202 11:41;P;;;;;;
D;055;515440;6;20040202 11:41;V;;;;;;
B;055;515566;7;20040202 11:41;;4;93;HUME ST;COROWA;2646;;;20031118;20031219;109000;;R;RESIDENCE;6;;;0;AA336495;
C;055;515566;7;20040202 11:41;6//SP 48701;
D;055;515566;7;20040202 11:41;P;;;;;;
D;055;515566;7;20040202 11:41;P;;;;;;
D;055;515566;7;20040202 11:41;V;;;;;;
B;055;515665;8;20040202 11:41;;;250;HUME ST;COROWA;2646;993.6;M;20030728;20030815;47000;A;R;RESIDENCE;;AS;;0;AA322267;
C;055;515665;8;20040202 11:41;61//748171;
D;055;515665;8;20040202 11:41;P;;;;;;
D;055;515665;8;20040202 11:41;V;;;;;;
B;055;516233;9;20040202 11:41;;;68;REDLANDS RD;COROWA;2646;;;20031010;20031205;85000;A;R;RESIDENCE;;AJ;;0;AA319281;
C;055;516233;9;20040202 11:41;7//35431;
D;055;516233;9;20040202 11:41;P;;;;;;
D;055;516233;9;20040202 11:41;P;;;;;;
D;055;516233;9;20040202 11:41;V;;;;;;
B;055;516566;10;20040202 11:41;;;20;SHIRAZ CRES;COROWA;2646;738.6;M;20031201;20031219;179000;A;R;RESIDENCE;;AT;;0;AA319897;
C;055;516566;10;20040202 11:41;101//714238;
D;055;516566;10;20040202 11:41;P;;;;;;
D;055;516566;10;20040202 11:41;P;;;;;;
D;055;516566;10;20040202 11:41;V;;;;;;
B;055;517217;11;20040202 11:41;;;12;CHARLES ST;BALLDALE;2646;2023;M;20031126;20031208;76000;A;R;RESIDENCE;;AB;;0;AA332096;
C;055;517217;11;20040202 11:41;12//5017;
D;055;517217;11;20040202 11:41;P;;;;;;
D;055;517217;11;20040202 11:41;P;;;;;;
D;055;517217;11;20040202 11:41;V;;;;;;
B;055;517905;12;20040202 11:41;;;1;JASMINE CT;MULWALA;2647;665;M;20031022;20031124;215000;A;R;RESIDENCE;;AY;;0;AA303574;
C;055;517905;12;20040202 11:41;27//801604;
D;055;517905;12;20040202 11:41;P;;;;;;
D;055;517905;12;20040202 11:41;P;;;;;;
D;055;517905;12;20040202 11:41;V;;;;;;
B;055;518056;13;20040202 11:41;;1;140;MANNERS ST;MULWALA;2647;;;20031030;20031128;114000;;R;RESIDENCE;1;;;0;AA327536;
C;055;518056;13;20040202 11:41;1//SP 35015;
D;055;518056;13;20040202 11:41;P;;;;;;
D;055;518056;13;20040202 11:41;P;;;;;;
D;055;518056;13;20040202 11:41;V;;;;;;
B;055;518338;14;20040202 11:41;;;;NORTH ST;MULWALA;2647;1979;M;20030423;20030926;975000;A;R;RESIDENCE;;AW;;0;AA353666;
C;055;518338;14;20040202 11:41;2//526577;
D;055;518338;14;20040202 11:41;P;;;;;;
D;055;518338;14;20040202 11:41;P;;;;;;
D;055;518338;14;20040202 11:41;V;;;;;;
B;055;518519;15;20040202 11:41;;;;SANDY RIDGES;COROWA;2646;4047;M;20030718;20030728;28600;R;V;VACANT LAND;;HB;;0;9848581;
C;055;518519;15;20040202 11:41;1//316977;
D;055;518519;15;20040202 11:41;P;;;;;;
D;055;518519;15;20040202 11:41;P;;;;;;
D;055;518519;15;20040202 11:41;V;;;;;;
B;055;2861980;16;20040202 11:41;;;282;CHURCH ST;COROWA;2646;2023;M;20031114;20031219;30000;A;V;VACANT LAND;;AQ;;0;AA344652;
C;055;2861980;16;20040202 11:41;8/77/758296;
D;055;2861980;16;20040202 11:41;P;;;;;;
D;055;2861980;16;20040202 11:41;P;;;;;;
D;055;2861980;16;20040202 11:41;V;;;;;;
D;055;2861980;16;20040202 11:41;V;;;;;;
B;055;2997182;17;20040202 11:41;;;;WANSTEAD ST;COROWA;2646;800.6;M;20031013;20031212;42000;A;V;VACANT LAND;;AG;;0;AA308103;
C;055;2997182;17;20040202 11:41;19//1054178;
D;055;2997182;17;20040202 11:41;P;;;;;;
D;055;2997182;17;20040202 11:41;P;;;;;;
D;055;2997182;17;20040202 11:41;V;;;;;;
B;055;2999387;18;20040202 11:41;;;;ERNE ST;MULWALA;2647;5463;M;20031203;20040109;48800;;V;VACANT LAND;;;;0;AA345023;
C;055;2999387;18;20040202 11:41;394//820577;
D;055;2999387;18;20040202 11:41;P;;;;;;
D;055;2999387;18;20040202 11:41;V;;;;;;
B;055;2999388;19;20040202 11:41;;;;ERNE ST;MULWALA;2647;980.9;M;20031203;20040109;48800;;V;VACANT LAND;;;;0;AA345023;
