A;072;20040202 11:42;PTHIRLWELL;
B;072;554541;1;20040202 11:42;;;102;LOCKHART ST;ADELONG;2729;1011;M;20031209;20031223;178000;A;R;RESIDENCE;;DZ;;0;AA313967;
C;072;554541;1;20040202 11:42;14/22/758009;
D;072;554541;1;20040202 11:42;P;;;;;;
D;072;554541;1;20040202 11:42;P;;;;;;
D;072;554541;1;20040202 11:42;V;;;;;;
D;072;554541;1;20040202 11:42;V;;;;;;
B;072;555404;2;20040202 11:42;;;73;MILL RD;BATLOW;2730;632.3;M;20031113;20031217;57500;A;R;RESIDENCE;;BT;;0;AA335671;
C;072;555404;2;20040202 11:42;4//23039;
D;072;555404;2;20040202 11:42;P;;;;;;
D;072;555404;2;20040202 11:42;V;;;;;;
B;072;555641;3;20040202 11:42;;;7;VISTA AVE;BATLOW;2730;795.7;M;20031017;20031205;81000;A;R;RESIDENCE;;BT;;0;AA309327;
C;072;555641;3;20040202 11:42;4//253748;
D;072;555641;3;20040202 11:42;P;;;;;;
D;072;555641;3;20040202 11:42;P;;;;;;
D;072;555641;3;20040202 11:42;V;;;;;;
B;072;555653;4;20040202 11:42;;;66;WAKEHURST AVE;BATLOW;2730;600.8;M;20031007;20031127;58000;A;R;RESIDENCE;;BT;;0;AA323361;
C;072;555653;4;20040202 11:42;27//818326;
D;072;555653;4;20040202 11:42;P;;;;;;
D;072;555653;4;20040202 11:42;V;;;;;;
D;072;555653;4;20040202 11:42;V;;;;;;
B;072;556072;5;20040202 11:42;;;;PH ELLERSLIE;TUMUT;2720;32.73;H;20031128;20040106;100000;R;R;RESIDENCE;;TL;;0;AA324307;
C;072;556072;5;20040202 11:42;315//757226;
D;072;556072;5;20040202 11:42;P;;;;;;
D;072;556072;5;20040202 11:42;V;;;;;;
D;072;556072;5;20040202 11:42;V;;;;;;
B;072;556542;6;20040202 11:42;;;11;ARGALONG RD;LACMALAC;2720;8094;M;20031022;20031223;198000;R;R;RESIDENCE;;GR;;0;AA356691;
C;072;556542;6;20040202 11:42;1//783765;
D;072;556542;6;20040202 11:42;P;;;;;;
D;072;556542;6;20040202 11:42;P;;;;;;
D;072;556542;6;20040202 11:42;V;;;;;;
D;072;556542;6;20040202 11:42;V;;;;;;
B;072;556883;7;20040202 11:42;;;7;BOWMAN ST;TALBINGO;2720;720.8;M;20031113;20031212;110000;A;R;RESIDENCE;;DU;;0;AA318628;
C;072;556883;7;20040202 11:42;24//238758;
D;072;556883;7;20040202 11:42;P;;;;;;
D;072;556883;7;20040202 11:42;P;;;;;;
D;072;556883;7;20040202 11:42;V;;;;;;
D;072;556883;7;20040202 11:42;V;;;;;;
B;072;557030;8;20040202 11:42;;;45;LAMPE ST;TALBINGO;2720;1846;M;20031029;20040113;240000;A;3;LODGE;;DS;;0;AA347100;
C;072;557030;8;20040202 11:42;1//238761;
D;072;557030;8;20040202 11:42;P;;;;;;
D;072;557030;8;20040202 11:42;V;;;;;;
B;072;557191;9;20040202 11:42;;;;PH TUMORRAMA DP'S;TUMUT;2720;106.9;H;20031103;20031114;525000;R;V;VACANT LAND;;RU;;0;AA294865;
C;072;557191;9;20040202 11:42;2//548426  & RDS;
D;072;557191;9;20040202 11:42;P;;;;;;
D;072;557191;9;20040202 11:42;V;;;;;;
B;072;557467;10;20040202 11:42;;;;BOUNDARY ST;TUMUT;2720;2746;M;20031203;20031217;71500;I;3;OLD SERVICE S;;BC;;0;AA351049;
C;072;557467;10;20040202 11:42;2//258216;
D;072;557467;10;20040202 11:42;P;;;;;;
D;072;557467;10;20040202 11:42;P;;;;;;
D;072;557467;10;20040202 11:42;V;;;;;;
B;072;557599;11;20040202 11:42;;;34;BUNDARA CRES;TUMUT;2720;3265;M;20031128;20040109;740000;A;3;RESIDENTIAL;;CF;;0;AA349650;
C;072;557599;11;20040202 11:42;1//627180;
D;072;557599;11;20040202 11:42;P;;;;;;
D;072;557599;11;20040202 11:42;P;;;;;;
D;072;557599;11;20040202 11:42;V;;;;;;
D;072;557599;11;20040202 11:42;V;;;;;;
D;072;557599;11;20040202 11:42;V;;;;;;
D;072;557599;11;20040202 11:42;V;;;;;;
B;072;557707;12;20040202 11:42;;;185;CAPPER ST;TUMUT;2720;973.5;M;20031219;20040113;108000;A;R;RESIDENCE;;CE;;0;AA353798;
C;072;557707;12;20040202 11:42;24//883728;
D;072;557707;12;20040202 11:42;P;;;;;;
D;072;557707;12;20040202 11:42;V;;;;;;
B;072;558076;13;20040202 11:42;;;118;DALHUNTY ST;TUMUT;2720;837;M;20031027;20031212;160000;A;R;RESIDENCE;;CD;;0;AA323323;
C;072;558076;13;20040202 11:42;1//232879;
D;072;558076;13;20040202 11:42;P;;;;;;
D;072;558076;13;20040202 11:42;V;;;;;;
B;072;558595;14;20040202 11:42;;;6;HOWICK ST;TUMUT;2720;1214;M;20031209;20040115;136000;A;R;RESIDENCE;;CA;;0;AA354200;
C;072;558595;14;20040202 11:42;1//187438;
D;072;558595;14;20040202 11:42;P;;;;;;
D;072;558595;14;20040202 11:42;V;;;;;;
B;072;558760;15;20040202 11:42;;;18;LAMBIE ST;TUMUT;2720;804.7;M;20021223;20030225;135500;A;R;RESIDENCE;;CB;;0;AA339053;
C;072;558760;15;20040202 11:42;1//572832;
D;072;558760;15;20040202 11:42;P;;;;;;
D;072;558760;15;20040202 11:42;V;;;;;;
D;072;558760;15;20040202 11:42;V;;;;;;
B;072;558783;16;20040202 11:42;;;78;LAMBIE ST;TUMUT;2720;923.2;M;20031128;20040109;252500;A;3;FLATS;;CB;;0;AA338069;
C;072;558783;16;20040202 11:42;1//100769;
D;072;558783;16;20040202 11:42;P;;;;;;
D;072;558783;16;20040202 11:42;P;;;;;;
D;072;558783;16;20040202 11:42;V;;;;;;
D;072;558783;16;20040202 11:42;V;;;;;;
D;072;558783;16;20040202 11:42;V;;;;;;
D;072;558783;16;20040202 11:42;V;;;;;;
B;072;558992;17;20040202 11:42;;;5;MARTIN PL;TUMUT;2720;790.7;M;20040113;20040116;290000;A;R;RESIDENCE;;CE;;0;AA351000;
C;072;558992;17;20040202 11:42;18//831449;
D;072;558992;17;20040202 11:42;P;;;;;;
D;072;558992;17;20040202 11:42;P;;;;;;
D;072;558992;17;20040202 11:42;V;;;;;;
D;072;558992;17;20040202 11:42;V;;;;;;
B;072;559533;18;20040202 11:42;;;7;SIMPSON ST;TUMUT;2720;746.1;M;20031124;20040105;130000;A;R;RESIDENCE;;CJ;;0;AA354287;
C;072;559533;18;20040202 11:42;1//530139;
D;072;559533;18;20040202 11:42;P;;;;;;
D;072;559533;18;20040202 11:42;V;;;;;;
B;072;559680;19;20040202 11:42;;;5;THE PAVILION;TUMUT;2720;834.2;M;20031126;20040105;238000;A;R;RESIDENCE;;CK;;0;AA320786;
C;072;559680;19;20040202 11:42;3//735737;
D;072;559680;19;20040202 11:42;P;;;;;;
D;072;559680;19;20040202 11:42;P;;;;;;
D;072;559680;19;20040202 11:42;V;;;;;;
D;072;559680;19;20040202 11:42;V;;;;;;
B;072;2928290;20;20040202 11:42;;;21;HARRIS ST;TUMUT;2720;721.6;M;20031211;20031219;265000;A;R;RESIDENCE;;CF;;0;AA310885;
C;072;2928290;20;20040202 11:42;18//1043776;
D;072;2928290;20;20040202 11:42;P;;;;;;
D;072;2928290;20;20040202 11:42;P;;;;;;
D;072;2928290;20;20040202 11:42;V;;;;;;
B;072;3050602;21;20040202 11:42;;;348;LACMALAC RD;TUMUT;2720;30.84;H;20030704;20040107;370000;;V;VACANT LAND;;;;0;AA326018;
C;072;3050602;21;20040202 11:42;15//1061738;
D;072;3050602;21;20040202 11:42;P;;;;;;
D;072;3050602;21;20040202 11:42;P;;;;;;
D;072;3050602;21;20040202 11:42;V;;;;;;
Z;111;21;21;67;
