A;028;20040202 11:40;PTHIRLWELL;
B;028;425237;1;20040202 11:40;;;;PH BOWNING;BOWNING;2582;354.2;H;20030909;20031117;1488140;R;3;FARM;;GD;;0;AA296934;
C;028;425237;1;20040202 11:40;20, 21, 22, 23, 24, 25//251362 230, 273//753596 Enclosure Permit 60523;
D;028;425237;1;20040202 11:40;P;;;;;;
D;028;425237;1;20040202 11:40;V;;;;;;
B;028;425531;2;20040202 11:40;BENFIELD;;;FAIRY HOLE RD;YASS;2582;15.88;H;20031009;20031107;355000;R;3;FARM/RURAL;;HA;;0;AA339929;
C;028;425531;2;20040202 11:40;8//285272;
D;028;425531;2;20040202 11:40;P;;;;;;
D;028;425531;2;20040202 11:40;P;;;;;;
D;028;425531;2;20040202 11:40;V;;;;;;
B;028;426224;3;20040202 11:40;;;9;THE WOODS CL;MURRUMBATEMAN;2582;3.78;H;20031117;20031215;685000;R;R;RESIDENCE;;RM;;0;AA346859;
C;028;426224;3;20040202 11:40;12//832243;
D;028;426224;3;20040202 11:40;P;;;;;;
D;028;426224;3;20040202 11:40;V;;;;;;
D;028;426224;3;20040202 11:40;V;;;;;;
B;028;426395;4;20040202 11:40;;;3;BORDER LEICESTER AVE;MURRUMBATEMAN;2582;9652;M;20030619;20030814;4590000;R;R;RESIDENCE;;RM;;0;AA303843;
C;028;426395;4;20040202 11:40;14//285319;
D;028;426395;4;20040202 11:40;P;;;;;;
D;028;426395;4;20040202 11:40;V;;;;;;
B;028;427342;5;20040202 11:40;;;;NOTTINGHAM RD;WEE JASPER;2582;5.38;H;20040105;20040116;52500;R;3;;;RE;;0;AA349715;
C;028;427342;5;20040202 11:40;5//864195;
D;028;427342;5;20040202 11:40;P;;;;;;
D;028;427342;5;20040202 11:40;V;;;;;;
B;028;427386;6;20040202 11:40;;;;NOTHINGHAM RD;WEE JASPER;2582;246.6;M;20031122;20040106;21500;R;R;RESIDENCE;;RY;;0;AA328309;
C;028;427386;6;20040202 11:40;57//239674;
D;028;427386;6;20040202 11:40;P;;;;;;
D;028;427386;6;20040202 11:40;V;;;;;;
B;028;427930;7;20040202 11:40;;;260;COMUR ST;YASS;2582;1233;M;20031218;20031218;325000;B;3;SHOP;;BC;;0;AA359816;
C;028;427930;7;20040202 11:40;N//161499;
D;028;427930;7;20040202 11:40;P;;;;;;
D;028;427930;7;20040202 11:40;P;;;;;;
D;028;427930;7;20040202 11:40;V;;;;;;
D;028;427930;7;20040202 11:40;V;;;;;;
D;028;427930;7;20040202 11:40;V;;;;;;
B;028;428079;8;20040202 11:40;;;25;DE MESTRE ST;YASS;2582;784.1;M;20031205;20040114;260000;A;R;RESIDENCE;;AE;;0;AA338913;
C;028;428079;8;20040202 11:40;1//205497;
D;028;428079;8;20040202 11:40;P;;;;;;
D;028;428079;8;20040202 11:40;P;;;;;;
D;028;428079;8;20040202 11:40;V;;;;;;
B;028;428998;9;20040202 11:40;;;7;O'BRIEN ST;YASS;2582;2023;M;20030429;20030701;270000;A;R;RESIDENCE;;AN;;0;AA350906;
C;028;428998;9;20040202 11:40;16/10/759136;
D;028;428998;9;20040202 11:40;P;;;;;;
D;028;428998;9;20040202 11:40;V;;;;;;
B;028;429277;10;20040202 11:40;;;2;PRITCHETT ST;YASS;2582;7537;M;20031204;20040109;220000;A;R;RESIDENCE;;AE;;0;AA351139;
C;028;429277;10;20040202 11:40;18/4/759136;
D;028;429277;10;20040202 11:40;P;;;;;;
D;028;429277;10;20040202 11:40;P;;;;;;
D;028;429277;10;20040202 11:40;V;;;;;;
B;028;429531;11;20040202 11:40;;;2;SHAW ST;YASS;2582;910.1;M;20031205;20040112;253000;A;R;RESIDENCE;;AS;;0;AA342556;
C;028;429531;11;20040202 11:40;1//597491;
D;028;429531;11;20040202 11:40;P;;;;;;
D;028;429531;11;20040202 11:40;P;;;;;;
D;028;429531;11;20040202 11:40;V;;;;;;
D;028;429531;11;20040202 11:40;V;;;;;;
B;028;429542;12;20040202 11:40;;;26;SHAW ST;YASS;2582;676.6;M;20031124;20031219;195000;A;R;RESIDENCE;;AS;;0;AA346966;
C;028;429542;12;20040202 11:40;1//200752;
D;028;429542;12;20040202 11:40;P;;;;;;
D;028;429542;12;20040202 11:40;P;;;;;;
D;028;429542;12;20040202 11:40;V;;;;;;
B;028;429701;13;20040202 11:40;;3;13;WALKER PL;YASS;2582;325;M;20031114;20031219;165000;A;R;RESIDENCE;;AP;;0;AA359587;
C;028;429701;13;20040202 11:40;3//285208;
D;028;429701;13;20040202 11:40;P;;;;;;
D;028;429701;13;20040202 11:40;V;;;;;;
B;028;2859253;14;20040202 11:40;;;12;GLOVER DR;YASS;2582;2.671;H;20031118;20031219;185000;R;3;;;RE;;0;AA321669;
C;028;2859253;14;20040202 11:40;46//1034027;
D;028;2859253;14;20040202 11:40;P;;;;;;
D;028;2859253;14;20040202 11:40;P;;;;;;
D;028;2859253;14;20040202 11:40;V;;;;;;
B;028;2947220;15;20040202 11:40;;;52;MACDONALD ST;YASS;2582;2023;M;20031212;20031219;226000;A;R;RESIDENCE;;AS;;0;AA317477;
C;028;2947220;15;20040202 11:40;21//540940;
D;028;2947220;15;20040202 11:40;P;;;;;;
D;028;2947220;15;20040202 11:40;V;;;;;;
D;028;2947220;15;20040202 11:40;V;;;;;;
B;028;3034440;16;20040202 11:40;;;;HARDEN RD;BINALONG;2584;1.558;H;20031216;20040105;37500;R;V;VACANT LAND;;SC;;0;AA337664;
C;028;3034440;16;20040202 11:40;5, 6//877686;
D;028;3034440;16;20040202 11:40;P;;;;;;
D;028;3034440;16;20040202 11:40;V;;;;;;
Z;78;16;16;44;
