A;217;20040217 11:49;PDANN;
B;217;2279275;1;20040217 11:49;;;14;ALPHA RD;CAMDEN;2570;916.9;M;20031119;20040112;400000;A;R;RESIDENCE;;AJ;;0;AA405119;
C;217;2279275;1;20040217 11:49;1//554355;
D;217;2279275;1;20040217 11:49;P;;;;;;
D;217;2279275;1;20040217 11:49;P;;;;;;
D;217;2279275;1;20040217 11:49;V;;;;;;
D;217;2279275;1;20040217 11:49;V;;;;;;
B;217;2279463;2;20040217 11:49;;;18;ANTOINETTE AVE;NARELLAN VALE;2567;879.6;M;20031211;20040122;470000;A;R;RESIDENCE;;AT;;0;AA379447;
C;217;2279463;2;20040217 11:49;8//801089;
D;217;2279463;2;20040217 11:49;P;;;;;;
D;217;2279463;2;20040217 11:49;P;;;;;;
D;217;2279463;2;20040217 11:49;V;;;;;;
D;217;2279463;2;20040217 11:49;V;;;;;;
B;217;2279491;3;20040217 11:49;;;10;ARALUEN PL;CAMDEN SOUTH;2570;1650;M;20031107;20040116;480000;A;R;RESIDENCE;;AF;;0;AA364741;
C;217;2279491;3;20040217 11:49;3//533542;
D;217;2279491;3;20040217 11:49;P;;;;;;
D;217;2279491;3;20040217 11:49;P;;;;;;
D;217;2279491;3;20040217 11:49;V;;;;;;
D;217;2279491;3;20040217 11:49;V;;;;;;
B;217;2279937;4;20040217 11:49;;;3;BARKER CL;CAMDEN SOUTH;2570;569.1;M;20031202;20040119;379000;A;R;RESIDENCE;;AB;;0;AA368735;
C;217;2279937;4;20040217 11:49;139//234814;
D;217;2279937;4;20040217 11:49;P;;;;;;
D;217;2279937;4;20040217 11:49;P;;;;;;
D;217;2279937;4;20040217 11:49;V;;;;;;
B;217;2280093;5;20040217 11:49;;;3;BATES CL;ELDERSLIE;2570;645.6;M;20031212;20040123;354000;A;R;RESIDENCE;;AU;;0;AA363804;
C;217;2280093;5;20040217 11:49;2013//789752;
D;217;2280093;5;20040217 11:49;P;;;;;;
D;217;2280093;5;20040217 11:49;P;;;;;;
D;217;2280093;5;20040217 11:49;V;;;;;;
D;217;2280093;5;20040217 11:49;V;;;;;;
B;217;2280752;6;20040217 11:49;;;3;BRIDLE RD;CURRANS HILL;2567;507.5;M;20030910;20031015;415000;A;R;RESIDENCE;;AN;;0;AA376653;
C;217;2280752;6;20040217 11:49;414//1008940;
D;217;2280752;6;20040217 11:49;P;;;;;;
D;217;2280752;6;20040217 11:49;P;;;;;;
D;217;2280752;6;20040217 11:49;V;;;;;;
D;217;2280752;6;20040217 11:49;V;;;;;;
B;217;2280899;7;20040217 11:49;;;20;BROOKVIEW ST;CURRANS HILL;2567;238.3;M;20031202;20040123;338000;A;R;RESIDENCE;;AN;;0;AA373764;
C;217;2280899;7;20040217 11:49;1346//1005715;
D;217;2280899;7;20040217 11:49;P;;;;;;
D;217;2280899;7;20040217 11:49;V;;;;;;
D;217;2280899;7;20040217 11:49;V;;;;;;
B;217;2281032;8;20040217 11:49;;;2;BROUGHTON ST;CAMDEN;2570;1511;M;20000927;20001103;325000;B;R;RESIDENCE;;BD;;0;8325983;
C;217;2281032;8;20040217 11:49;1//939116;
D;217;2281032;8;20040217 11:49;P;;;;;;
D;217;2281032;8;20040217 11:49;P;;;;;;
D;217;2281032;8;20040217 11:49;V;;;;;;
D;217;2281032;8;20040217 11:49;V;;;;;;
B;217;2281198;9;20040217 11:49;;;16;BURSARIA RD;MOUNT ANNAN;2567;560.4;M;20030502;20030613;393500;A;R;RESIDENCE;;AQ;;0;AA355816;
C;217;2281198;9;20040217 11:49;77//1000440;
D;217;2281198;9;20040217 11:49;P;;;;;;
D;217;2281198;9;20040217 11:49;V;;;;;;
D;217;2281198;9;20040217 11:49;V;;;;;;
B;217;2281686;10;20040217 11:49;;;9;CASHMERE DR;ELDERSLIE;2570;767.2;M;20031101;20031101;290000;A;R;RESIDENCE;;AU;;0;AA384575;
C;217;2281686;10;20040217 11:49;512//262363;
D;217;2281686;10;20040217 11:49;P;;;;;;
D;217;2281686;10;20040217 11:49;V;;;;;;
B;217;2281953;11;20040217 11:49;;;25;CEDAR WATTLE PL;NARELLAN VALE;2567;896.7;M;20031216;20040123;405000;A;R;RESIDENCE;;AR;;0;AA381751;
C;217;2281953;11;20040217 11:49;274//830116;
D;217;2281953;11;20040217 11:49;P;;;;;;
D;217;2281953;11;20040217 11:49;P;;;;;;
D;217;2281953;11;20040217 11:49;V;;;;;;
D;217;2281953;11;20040217 11:49;V;;;;;;
B;217;2282030;12;20040217 11:49;;;68;CHAIN-O-PONDS CCT;MOUNT ANNAN;2567;516.4;M;20031119;20031222;530000;A;R;RESIDENCE;;AQ;;0;AA368440;
C;217;2282030;12;20040217 11:49;1116//883203;
D;217;2282030;12;20040217 11:49;P;;;;;;
D;217;2282030;12;20040217 11:49;P;;;;;;
D;217;2282030;12;20040217 11:49;V;;;;;;
D;217;2282030;12;20040217 11:49;V;;;;;;
B;217;2282074;13;20040217 11:49;;;13;CHANNELL PL;MOUNT ANNAN;2567;932.3;M;20031125;20040123;550000;A;R;RESIDENCE;;AQ;;0;AA385391;
C;217;2282074;13;20040217 11:49;6034//802174;
D;217;2282074;13;20040217 11:49;P;;;;;;
D;217;2282074;13;20040217 11:49;P;;;;;;
D;217;2282074;13;20040217 11:49;V;;;;;;
D;217;2282074;13;20040217 11:49;V;;;;;;
B;217;2282313;14;20040217 11:49;;;6;CHURCH ST;ELDERSLIE;2570;556.4;M;20031219;20040123;535000;A;R;RESIDENCE;;AG;;0;AA394031;
C;217;2282313;14;20040217 11:49;7//18963;
D;217;2282313;14;20040217 11:49;P;;;;;;
D;217;2282313;14;20040217 11:49;P;;;;;;
D;217;2282313;14;20040217 11:49;V;;;;;;
D;217;2282313;14;20040217 11:49;V;;;;;;
B;217;2282607;15;20040217 11:49;;;214;COBBITTY RD;COBBITTY;2570;1.426;H;20031003;20031114;1005000;R;R;RESIDENCE;;RF;;0;AA251604;
C;217;2282607;15;20040217 11:49;1//1063713;
D;217;2282607;15;20040217 11:49;P;;;;;;
D;217;2282607;15;20040217 11:49;P;;;;;;
D;217;2282607;15;20040217 11:49;V;;;;;;
B;217;2282668;16;20040217 11:49;;;4;COLEBEE PL;NARELLAN;2567;801.2;M;20031017;20031219;436000;A;R;RESIDENCE;;AS;;0;AA400754;
C;217;2282668;16;20040217 11:49;106//800066;
D;217;2282668;16;20040217 11:49;P;;;;;;
D;217;2282668;16;20040217 11:49;P;;;;;;
D;217;2282668;16;20040217 11:49;V;;;;;;
D;217;2282668;16;20040217 11:49;V;;;;;;
B;217;2282922;17;20040217 11:49;;;5;CRANFIELD PL;CAMDEN SOUTH;2570;735;M;20031024;20040127;433000;A;R;RESIDENCE;;AA;;0;AA400759;
C;217;2282922;17;20040217 11:49;147//260493;
D;217;2282922;17;20040217 11:49;P;;;;;;
D;217;2282922;17;20040217 11:49;P;;;;;;
D;217;2282922;17;20040217 11:49;V;;;;;;
B;217;2283331;18;20040217 11:49;;;23;DAWSON AVE;CAMDEN SOUTH;2570;735;M;20031222;20040123;410000;A;R;RESIDENCE;;AA;;0;AA374045;
C;217;2283331;18;20040217 11:49;101//260493;
D;217;2283331;18;20040217 11:49;P;;;;;;
D;217;2283331;18;20040217 11:49;P;;;;;;
D;217;2283331;18;20040217 11:49;V;;;;;;
B;217;2283702;19;20040217 11:49;;;1;DONCASTER AVE;NARELLAN;2567;727.2;M;20031222;20040202;390000;A;R;RESIDENCE;;AH;;0;AA388812;
C;217;2283702;19;20040217 11:49;90//25582;
D;217;2283702;19;20040217 11:49;P;;;;;;
D;217;2283702;19;20040217 11:49;V;;;;;;
D;217;2283702;19;20040217 11:49;V;;;;;;
B;217;2283926;20;20040217 11:49;;;2;DUNBAR PL;MOUNT ANNAN;2567;688.7;M;20031205;20040128;280000;A;R;RESIDENCE;;AQ;;0;AA400845;
C;217;2283926;20;20040217 11:49;4033//802800;
D;217;2283926;20;20040217 11:49;P;;;;;;
D;217;2283926;20;20040217 11:49;V;;;;;;
D;217;2283926;20;20040217 11:49;V;;;;;;
B;217;2284123;21;20040217 11:49;;;18;EDWARD HOWE PL;NARELLAN VALE;2567;709.7;M;20031125;20040116;510000;A;R;RESIDENCE;;AR;;0;AA376178;
C;217;2284123;21;20040217 11:49;931//873697;
D;217;2284123;21;20040217 11:49;P;;;;;;
D;217;2284123;21;20040217 11:49;P;;;;;;
D;217;2284123;21;20040217 11:49;V;;;;;;
D;217;2284123;21;20040217 11:49;V;;;;;;
B;217;2284533;22;20040217 11:49;;16;38;EXCHANGE PDE;SMEATON GRANGE;2567;;;20031204;20031222;250000;;R;RESIDENCE;16;;;0;AA380085;
C;217;2284533;22;20040217 11:49;16//SP 61969;
D;217;2284533;22;20040217 11:49;P;;;;;;
D;217;2284533;22;20040217 11:49;V;;;;;;
D;217;2284533;22;20040217 11:49;V;;;;;;
D;217;2284533;22;20040217 11:49;V;;;;;;
B;217;2284551;23;20040217 11:49;;;13;EXCHANGE PDE;SMEATON GRANGE;2567;2000;M;19970714;19970818;160000;B;V;VACANT LAND;;BC;;;3417901;
C;217;2284551;23;20040217 11:49;1, 2, 3, CP//SP 56505;
D;217;2284551;23;20040217 11:49;P;;;;;;
D;217;2284551;23;20040217 11:49;P;;;;;;
D;217;2284551;23;20040217 11:49;P;;;;;;
B;217;2284758;24;20040217 11:49;;;57;FLINDERS AVE;CAMDEN SOUTH;2570;739.8;M;20031130;20040116;307000;A;R;RESIDENCE;;AB;;0;AA396229;
C;217;2284758;24;20040217 11:49;303//236692;
D;217;2284758;24;20040217 11:49;P;;;;;;
D;217;2284758;24;20040217 11:49;V;;;;;;
D;217;2284758;24;20040217 11:49;V;;;;;;
B;217;2285235;25;20040217 11:49;;;37;GLENROWAN DR;HARRINGTON PARK;2567;528;M;20031118;20040116;482000;A;R;RESIDENCE;;AW;;0;AA365502;
C;217;2285235;25;20040217 11:49;1218//1006035;
D;217;2285235;25;20040217 11:49;P;;;;;;
D;217;2285235;25;20040217 11:49;P;;;;;;
D;217;2285235;25;20040217 11:49;V;;;;;;
D;217;2285235;25;20040217 11:49;V;;;;;;
B;217;2285546;26;20040217 11:49;;;13;HACKING DR;NARELLAN VALE;2567;708.3;M;20031201;20040116;395000;A;R;RESIDENCE;;AT;;0;AA369698;
C;217;2285546;26;20040217 11:49;214//773716;
D;217;2285546;26;20040217 11:49;P;;;;;;
D;217;2285546;26;20040217 11:49;V;;;;;;
D;217;2285546;26;20040217 11:49;V;;;;;;
B;217;2285657;27;20040217 11:49;;;15;HARRINGTON ST;ELDERSLIE;2570;3680;M;20010913;20011018;285000;R;R;RESIDENCE;;RK;;0;4336706;
C;217;2285657;27;20040217 11:49;27, 28//1041923;
D;217;2285657;27;20040217 11:49;P;;;;;;
D;217;2285657;27;20040217 11:49;P;;;;;;
D;217;2285657;27;20040217 11:49;V;;;;;;
D;217;2285657;27;20040217 11:49;V;;;;;;
D;217;2285657;27;20040217 11:49;V;;;;;;
D;217;2285657;27;20040217 11:49;V;;;;;;
B;217;;28;20040217 11:49;;4;16;HILL ST;CAMDEN;2570;;;20020219;20020326;35000;;R;RESIDENCE;;;;33;8480550;
C;217;;28;20040217 11:49;;
D;217;;28;20040217 11:49;P;;;;;;
D;217;;28;20040217 11:49;P;;;;;;
D;217;;28;20040217 11:49;V;;;;;;
B;217;2286011;29;20040217 11:49;;7;16;HILL ST;CAMDEN;2570;;;20021129;20030109;174900;;3;STRATA UNIT;7;;;0;AA385777;
C;217;2286011;29;20040217 11:49;7//SP 31541;
D;217;2286011;29;20040217 11:49;P;;;;;;
D;217;2286011;29;20040217 11:49;V;;;;;;
D;217;2286011;29;20040217 11:49;V;;;;;;
B;217;2286074;30;20040217 11:49;;;11;HILLVIEW ST;NARELLAN;2567;680.9;M;20030819;20030819;130000;A;3;;;AH;;0;9971211;
C;217;2286074;30;20040217 11:49;15//793337;
D;217;2286074;30;20040217 11:49;P;;;;;;
D;217;2286074;30;20040217 11:49;P;;;;;;
D;217;2286074;30;20040217 11:49;V;;;;;;
D;217;2286074;30;20040217 11:49;V;;;;;;
B;217;2286447;31;20040217 11:49;;;5;HYNES PL;ELDERSLIE;2570;700.8;M;20031129;20040119;450000;A;R;RESIDENCE;;AG;;0;AA368313;
C;217;2286447;31;20040217 11:49;29//260634;
D;217;2286447;31;20040217 11:49;P;;;;;;
D;217;2286447;31;20040217 11:49;P;;;;;;
D;217;2286447;31;20040217 11:49;V;;;;;;
B;217;2286814;32;20040217 11:49;;;10;JOSEPH BANKS CT;MOUNT ANNAN;2567;596.5;M;20031203;20040123;450000;A;R;RESIDENCE;;AZ;;0;AA388383;
C;217;2286814;32;20040217 11:49;1665//818047;
D;217;2286814;32;20040217 11:49;P;;;;;;
D;217;2286814;32;20040217 11:49;P;;;;;;
D;217;2286814;32;20040217 11:49;V;;;;;;
D;217;2286814;32;20040217 11:49;V;;;;;;
B;217;2287109;33;20040217 11:49;;;12;KITCHING WAY;CURRANS HILL;2567;514;M;20031116;20040120;345000;A;R;RESIDENCE;;AN;;0;AA354716;
C;217;2287109;33;20040217 11:49;3068//815018;
D;217;2287109;33;20040217 11:49;P;;;;;;
D;217;2287109;33;20040217 11:49;V;;;;;;
D;217;2287109;33;20040217 11:49;V;;;;;;
B;217;2287113;34;20040217 11:49;;;20;KITCHING WAY;CURRANS HILL;2567;573.4;M;20031130;20040116;320500;A;R;RESIDENCE;;AN;;0;AA400958;
C;217;2287113;34;20040217 11:49;3072//815018;
D;217;2287113;34;20040217 11:49;P;;;;;;
D;217;2287113;34;20040217 11:49;V;;;;;;
D;217;2287113;34;20040217 11:49;V;;;;;;
