A;092;20050104 11:42;MASMITH;
B;092;950041;1;20050104 11:42;;;7;ANTHONY ST;CHATSWOOD;2067;;;20041030;20041209;1120000;A;R;RESIDENCE;;EV;;0;AB159781;
C;092;950041;1;20050104 11:42;B/332987;
D;092;950041;1;20050104 11:42;P;;;;;;
D;092;950041;1;20050104 11:42;V;;;;;;
B;092;950949;2;20050104 11:42;;;1;BAMPI PL;CASTLE COVE;2069;765;M;20040925;20041217;1880000;A;R;RESIDENCE;;EF;;0;AB175415;
C;092;950949;2;20050104 11:42;493/31070;
D;092;950949;2;20050104 11:42;P;;;;;;
D;092;950949;2;20050104 11:42;P;;;;;;
D;092;950949;2;20050104 11:42;V;;;;;;
B;092;951006;3;20050104 11:42;;;20;BARCOO ST;ROSEVILLE;2069;3246;M;20041111;20041215;6250000;I;R;RESIDENCE;;DC;;0;AB174781;
C;092;951006;3;20050104 11:42;40/556803;
D;092;951006;3;20050104 11:42;P;;;;;;
D;092;951006;3;20050104 11:42;V;;;;;;
B;092;951641;4;20050104 11:42;;;31;BERESFORD AVE;CHATSWOOD WEST;2067;;;20041104;20041209;850000;A;R;RESIDENCE;;EY;;0;AB154845;
C;092;951641;4;20050104 11:42;25/9272;
D;092;951641;4;20050104 11:42;P;;;;;;
D;092;951641;4;20050104 11:42;P;;;;;;
D;092;951641;4;20050104 11:42;V;;;;;;
D;092;951641;4;20050104 11:42;V;;;;;;
B;092;951679;5;20050104 11:42;;3;33;BERTRAM ST;CHATSWOOD;2067;;;20041116;20041208;495000;;3;HOME UNIT;3;;;0;AB162996;
C;092;951679;5;20050104 11:42;3/SP57799;
D;092;951679;5;20050104 11:42;P;;;;;;
D;092;951679;5;20050104 11:42;P;;;;;;
D;092;951679;5;20050104 11:42;V;;;;;;
B;092;952514;6;20050104 11:42;;39;1;BROUGHTON RD;ARTARMON;2064;;;20041026;20041214;467500;;3;UNIT;52;;;0;AB159297;
C;092;952514;6;20050104 11:42;52/SP19458;
D;092;952514;6;20050104 11:42;P;;;;;;
D;092;952514;6;20050104 11:42;V;;;;;;
B;092;952966;7;20050104 11:42;BULLER GARDENS;2;2;BULLER RD;ARTARMON;2064;;;20041102;20041207;335000;;R;RESIDENCE;2;;;0;AB161670;
C;092;952966;7;20050104 11:42;2/SP6962;
D;092;952966;7;20050104 11:42;P;;;;;;
D;092;952966;7;20050104 11:42;V;;;;;;
B;092;952966;8;20050104 11:42;BULLER GARDENS;23;2;BULLER RD;ARTARMON;2064;;;20041026;20041207;358000;;R;RESIDENCE;23;;;0;AB168954;
C;092;952966;8;20050104 11:42;23/SP6962;
D;092;952966;8;20050104 11:42;P;;;;;;
D;092;952966;8;20050104 11:42;V;;;;;;
B;092;953581;9;20050104 11:42;;;92;CHANDOS ST;ST LEONARDS;2065;379.4;M;20040903;20041215;1850000;B;3;OFFICES;;CL;;0;AB175408;
C;092;953581;9;20050104 11:42;1, 2/134758;
D;092;953581;9;20050104 11:42;P;;;;;;
D;092;953581;9;20050104 11:42;V;;;;;;
D;092;953581;9;20050104 11:42;V;;;;;;
B;092;954925;10;20050104 11:42;;12;56;DALLEYS RD;NAREMBURN;2065;;;20041014;20041210;550000;;R;RESIDENCE;12;;;0;AB168289;
C;092;954925;10;20050104 11:42;12/SP62996;
D;092;954925;10;20050104 11:42;P;;;;;;
D;092;954925;10;20050104 11:42;V;;;;;;
D;092;954925;10;20050104 11:42;V;;;;;;
B;092;956735;11;20050104 11:42;;;242;EDINBURGH RD;CASTLECRAG;2068;746.1;M;20041130;20041215;2155000;A;R;RESIDENCE;;EJ;;0;AB161889;
C;092;956735;11;20050104 11:42;1/29198;
D;092;956735;11;20050104 11:42;P;;;;;;
D;092;956735;11;20050104 11:42;V;;;;;;
D;092;956735;11;20050104 11:42;V;;;;;;
D;092;956735;11;20050104 11:42;V;;;;;;
D;092;956735;11;20050104 11:42;V;;;;;;
B;092;957182;12;20050104 11:42;;1;7;ERIC RD;ARTARMON;2064;;;20041028;20041130;344500;;R;RESIDENCE;1;;;0;AB154832;
C;092;957182;12;20050104 11:42;1/SP56666;
D;092;957182;12;20050104 11:42;P;;;;;;
D;092;957182;12;20050104 11:42;V;;;;;;
D;092;957182;12;20050104 11:42;V;;;;;;
B;092;959820;13;20050104 11:42;;13;11;HAMPDEN RD;ARTARMON;2064;;;20041123;20041217;350000;;R;RESIDENCE;13;;;0;AB179465;
C;092;959820;13;20050104 11:42;13/SP875;
D;092;959820;13;20050104 11:42;P;;;;;;
D;092;959820;13;20050104 11:42;V;;;;;;
B;092;960976;14;20050104 11:42;;;234;HIGH ST;NORTH WILLOUGHBY;2068;;;20041105;20041210;775000;A;R;RESIDENCE;;GM;;0;AB157741;
C;092;960976;14;20050104 11:42;2/219235;
D;092;960976;14;20050104 11:42;P;;;;;;
D;092;960976;14;20050104 11:42;P;;;;;;
D;092;960976;14;20050104 11:42;V;;;;;;
D;092;960976;14;20050104 11:42;V;;;;;;
B;092;961154;15;20050104 11:42;;;141;HIGH ST;WILLOUGHBY EAST;2068;537.5;M;20040810;20041201;935000;A;R;RESIDENCE;;GM;;0;AB152437;
C;092;961154;15;20050104 11:42;4A/337160;
D;092;961154;15;20050104 11:42;P;;;;;;
D;092;961154;15;20050104 11:42;V;;;;;;
D;092;961154;15;20050104 11:42;V;;;;;;
B;092;963096;16;20050104 11:42;;;15;LAMETTE ST;CHATSWOOD;2067;;;20040929;20041210;940000;A;R;RESIDENCE;;EB;;0;AB158785;
C;092;963096;16;20050104 11:42;72/13016;
D;092;963096;16;20050104 11:42;P;;;;;;
D;092;963096;16;20050104 11:42;P;;;;;;
D;092;963096;16;20050104 11:42;V;;;;;;
B;092;963465;17;20050104 11:42;;;10 A;MABEL ST;WILLOUGHBY;2068;;;20040901;20041210;1060000;A;R;RESIDENCE;;EW;;0;AB171175;
C;092;963465;17;20050104 11:42;7/83150;
D;092;963465;17;20050104 11:42;P;;;;;;
D;092;963465;17;20050104 11:42;P;;;;;;
D;092;963465;17;20050104 11:42;V;;;;;;
