A;249;20050104 11:53;MASMITH;
B;249;2662438;1;20050104 11:53;;;;PSH BELOKA PSH PORS;DALGETY;2628;80.94;H;20041015;20041210;465000;R;3;FARM;;RG;;0;AB161470;
C;249;2662438;1;20050104 11:53;47/756672 Enclosure Permit 101908;
D;249;2662438;1;20050104 11:53;P;;;;;;
D;249;2662438;1;20050104 11:53;P;;;;;;
D;249;2662438;1;20050104 11:53;V;;;;;;
B;249;2663003;2;20050104 11:53;;;;PSH BULGUNDARA PSH PORS;DALGETY;2628;112.5;H;20041117;20041210;135000;R;R;RESIDENCE;;DD;;0;AB171120;
C;249;2663003;2;20050104 11:53;71, 72, 73, 74/756680 . Enclosure Permit 143295;
D;249;2663003;2;20050104 11:53;P;;;;;;
D;249;2663003;2;20050104 11:53;V;;;;;;
D;249;2663003;2;20050104 11:53;V;;;;;;
D;249;2663003;2;20050104 11:53;V;;;;;;
D;249;2663003;2;20050104 11:53;V;;;;;;
B;249;2663401;3;20050104 11:53;;;22;BANJO PATERSON CRES;JINDABYNE;2627;860;M;20041105;20041207;340000;A;R;RESIDENCE;;AH;;0;AB158319;
C;249;2663401;3;20050104 11:53;115/219583;
D;249;2663401;3;20050104 11:53;P;;;;;;
D;249;2663401;3;20050104 11:53;V;;;;;;
B;249;2664077;4;20050104 11:53;;;54;GIPPSLAND ST;JINDABYNE;2627;698;M;20041201;20041215;500000;A;R;RESIDENCE;;AE;;0;AB171439;
C;249;2664077;4;20050104 11:53;31/243795;
D;249;2664077;4;20050104 11:53;P;;;;;;
D;249;2664077;4;20050104 11:53;P;;;;;;
D;249;2664077;4;20050104 11:53;V;;;;;;
B;249;2664365;5;20050104 11:53;HORIZONS RESORT;206;10;KOSCIUSKO RD;JINDABYNE;2627;;;20041119;20041213;97500;;R;RESIDENCE;59;;;0;AB166299;
C;249;2664365;5;20050104 11:53;59/SP52593;
D;249;2664365;5;20050104 11:53;P;;;;;;
D;249;2664365;5;20050104 11:53;P;;;;;;
D;249;2664365;5;20050104 11:53;V;;;;;;
B;249;2664365;6;20050104 11:53;HORIZONS RESORT;206;10;KOSCIUSKO RD;JINDABYNE;2627;;;20041119;20041213;97500;;R;RESIDENCE;100;;;0;AB166299;
C;249;2664365;6;20050104 11:53;100/SP52593;
D;249;2664365;6;20050104 11:53;P;;;;;;
D;249;2664365;6;20050104 11:53;P;;;;;;
D;249;2664365;6;20050104 11:53;V;;;;;;
B;249;2664756;7;20050104 11:53;;2;5;MCLURE CCT;JINDABYNE;2627;;;20041025;20041206;430000;;R;RESIDENCE;2;;;0;AB169445;
C;249;2664756;7;20050104 11:53;2/SP20391;
D;249;2664756;7;20050104 11:53;P;;;;;;
D;249;2664756;7;20050104 11:53;P;;;;;;
D;249;2664756;7;20050104 11:53;V;;;;;;
D;249;2664756;7;20050104 11:53;V;;;;;;
D;249;2664756;7;20050104 11:53;V;;;;;;
D;249;2664756;7;20050104 11:53;V;;;;;;
B;249;2664973;8;20050104 11:53;CENTRAL PARK COMPLEX;4;1;SNOWY RIVER AVE;JINDABYNE;2627;;;20041216;20041216;132000;;3;SHOP;19;;;0;AB174891;
C;249;2664973;8;20050104 11:53;19/SP31570;
D;249;2664973;8;20050104 11:53;P;;;;;;
D;249;2664973;8;20050104 11:53;P;;;;;;
D;249;2664973;8;20050104 11:53;P;;;;;;
D;249;2664973;8;20050104 11:53;V;;;;;;
D;249;2664973;8;20050104 11:53;V;;;;;;
D;249;2664973;8;20050104 11:53;V;;;;;;
D;249;2664973;8;20050104 11:53;V;;;;;;
D;249;2664973;8;20050104 11:53;V;;;;;;
D;249;2664973;8;20050104 11:53;V;;;;;;
D;249;2664973;8;20050104 11:53;V;;;;;;
B;249;2665851;9;20050104 11:53;;;7;ACACIA PL;JINDABYNE;2627;1210;M;20041022;20041209;160000;R;V;VACANT LAND;;AW;;0;AB158657;
C;249;2665851;9;20050104 11:53;7/1007959;
D;249;2665851;9;20050104 11:53;P;;;;;;
D;249;2665851;9;20050104 11:53;P;;;;;;
D;249;2665851;9;20050104 11:53;V;;;;;;
B;249;2666696;10;20050104 11:53;;;13;MYACK ST;BERRIDALE;2628;968.7;M;20041008;20041202;157500;A;R;RESIDENCE;;AB;;0;AB165427;
C;249;2666696;10;20050104 11:53;2/584677;
D;249;2666696;10;20050104 11:53;P;;;;;;
D;249;2666696;10;20050104 11:53;P;;;;;;
D;249;2666696;10;20050104 11:53;V;;;;;;
D;249;2666696;10;20050104 11:53;V;;;;;;
B;249;2666898;11;20050104 11:53;;10;;SOUTHERN CROSS DR;BERRIDALE;2628;;;20040920;20041020;110000;;R;RESIDENCE;10;;;0;AB176978;
C;249;2666898;11;20050104 11:53;10/SP33710;
D;249;2666898;11;20050104 11:53;P;;;;;;
D;249;2666898;11;20050104 11:53;V;;;;;;
D;249;2666898;11;20050104 11:53;V;;;;;;
B;249;2667359;12;20050104 11:53;RIVERGUM LODGE;;;EUCUMBENE RD;JINDABYNE;2627;3.304;H;20041216;20041216;260000;R;R;RESIDENCE;;RJ;;0;AB164717;
C;249;2667359;12;20050104 11:53;4/635268;
D;249;2667359;12;20050104 11:53;P;;;;;;
D;249;2667359;12;20050104 11:53;V;;;;;;
D;249;2667359;12;20050104 11:53;V;;;;;;
B;249;2667153;13;20050104 11:53;LAKE CRACKENBACK RESORT;;;ALPINE WAY;JINDABYNE;2627;;;20040513;20041103;285000;;R;RESIDENCE;92;;;0;AB171697;
C;249;2667153;13;20050104 11:53;92/SP73514;
D;249;2667153;13;20050104 11:53;P;;;;;;
D;249;2667153;13;20050104 11:53;P;;;;;;
D;249;2667153;13;20050104 11:53;V;;;;;;
Z;79;13;13;51;
