A;209;20050104 11:49;MASMITH;
B;209;2048708;1;20050104 11:49;;9;23 A;ALLENS PDE;BONDI JUNCTION;2022;;;20041026;20041203;400000;;R;RESIDENCE;9;;;0;AB168926;
C;209;2048708;1;20050104 11:49;9/SP2142;
D;209;2048708;1;20050104 11:49;P;;;;;;
D;209;2048708;1;20050104 11:49;V;;;;;;
D;209;2048708;1;20050104 11:49;V;;;;;;
B;209;2049089;2;20050104 11:49;;;10;AVOCA ST;BONDI;2026;;;20041028;20041209;962000;A;R;RESIDENCE;;CH;AC;0;AB151482;
C;209;2049089;2;20050104 11:49;B/411199;
D;209;2049089;2;20050104 11:49;P;;;;;;
D;209;2049089;2;20050104 11:49;V;;;;;;
D;209;2049089;2;20050104 11:49;V;;;;;;
B;209;2049512;3;20050104 11:49;;36;1;BEACH RD;BONDI BEACH;2026;;;20041105;20041217;350000;;R;RESIDENCE;28;;;0;AB170199;
C;209;2049512;3;20050104 11:49;28/SP11643;
D;209;2049512;3;20050104 11:49;P;;;;;;
D;209;2049512;3;20050104 11:49;V;;;;;;
B;209;2049805;4;20050104 11:49;;13;65;BELGRAVE ST;BRONTE;2024;;;20041015;20041104;50000;;R;RESIDENCE;13;;;0;AB161806;
C;209;2049805;4;20050104 11:49;13/SP4500;
D;209;2049805;4;20050104 11:49;P;;;;;;
D;209;2049805;4;20050104 11:49;V;;;;;;
D;209;2049805;4;20050104 11:49;V;;;;;;
D;209;2049805;4;20050104 11:49;V;;;;;;
D;209;2049805;4;20050104 11:49;V;;;;;;
D;209;2049805;4;20050104 11:49;V;;;;;;
B;209;2049846;5;20050104 11:49;;;78;BELGRAVE ST;BRONTE;2024;;;20041210;20041210;400000;A;R;RESIDENCE;;CM;;40;AB158629;
C;209;2049846;5;20050104 11:49;21A/400912;
D;209;2049846;5;20050104 11:49;P;;;;;;
D;209;2049846;5;20050104 11:49;P;;;;;;
D;209;2049846;5;20050104 11:49;V;;;;;;
D;209;2049846;5;20050104 11:49;V;;;;;;
B;209;2049960;6;20050104 11:49;;6;23;BENNETT ST;BONDI;2026;;;20041022;20041203;351000;;R;RESIDENCE;6;;XA;0;AB151317;
C;209;2049960;6;20050104 11:49;6/SP23050;
D;209;2049960;6;20050104 11:49;P;;;;;;
D;209;2049960;6;20050104 11:49;V;;;;;;
B;209;2051855;7;20050104 11:49;;61;212;BONDI RD;BONDI;2026;;;20040701;20040812;260000;;R;RESIDENCE;61;;;0;AB169007;
C;209;2051855;7;20050104 11:49;61/SP11960;
D;209;2051855;7;20050104 11:49;P;;;;;;
D;209;2051855;7;20050104 11:49;V;;;;;;
B;209;2051855;8;20050104 11:49;;61;212;BONDI RD;BONDI;2026;;;20040701;20040812;260000;;R;RESIDENCE;149;;;0;AB169007;
C;209;2051855;8;20050104 11:49;149/SP11960;
D;209;2051855;8;20050104 11:49;P;;;;;;
D;209;2051855;8;20050104 11:49;V;;;;;;
B;209;2053291;9;20050104 11:49;;;204;BRONTE RD;WAVERLEY;2024;94.8;M;20041019;20041130;670000;A;R;RESIDENCE;;FL;;0;AB165223;
C;209;2053291;9;20050104 11:49;1/61192;
D;209;2053291;9;20050104 11:49;P;;;;;;
D;209;2053291;9;20050104 11:49;V;;;;;;
D;209;2053291;9;20050104 11:49;V;;;;;;
B;209;2053495;10;20050104 11:49;;8;129;BRONTE RD;QUEENS PARK;2022;;;20041216;20041216;475000;;R;RESIDENCE;8;;;0;AB166939;
C;209;2053495;10;20050104 11:49;8/SP44585;
D;209;2053495;10;20050104 11:49;P;;;;;;
D;209;2053495;10;20050104 11:49;V;;;;;;
B;209;2053676;11;20050104 11:49;;60;337;BRONTE RD;BRONTE;2024;;;20041005;20041105;200000;;R;RESIDENCE;23;;;0;AB162629;
C;209;2053676;11;20050104 11:49;23/SP6304;
D;209;2053676;11;20050104 11:49;P;;;;;;
D;209;2053676;11;20050104 11:49;P;;;;;;
D;209;2053676;11;20050104 11:49;V;;;;;;
D;209;2053676;11;20050104 11:49;V;;;;;;
