A;003;20040116 12:19;PDANN;
B;003;30387;18;20040116 12:19;;1;136;BARRENJOEY RD;ETTALONG BEACH;2257;;;20031117;20031219;369000;;R;RESIDENCE;1;;;0;AA279107;
C;003;30387;18;20040116 12:19;1//SP 63568;
D;003;30387;18;20040116 12:19;P;;;;;;
D;003;30387;18;20040116 12:19;V;;;;;;
D;003;30387;18;20040116 12:19;V;;;;;;
B;003;30541;19;20040116 12:19;;;2;BATLEY ST;WEST GOSFORD;2250;556.4;M;20030710;20030826;400000;A;R;RESIDENCE;;MH;;0;AA299517;
C;003;30541;19;20040116 12:19;B//421008;
D;003;30541;19;20040116 12:19;P;;;;;;
D;003;30541;19;20040116 12:19;V;;;;;;
B;003;32123;20;20040116 12:19;;;23;BERRYS HEAD RD;NARARA;2250;676.6;M;20031111;20031219;297000;A;R;RESIDENCE;;FB;;0;AA291260;
C;003;32123;20;20040116 12:19;831//547522;
D;003;32123;20;20040116 12:19;P;;;;;;
D;003;32123;20;20040116 12:19;P;;;;;;
D;003;32123;20;20040116 12:19;V;;;;;;
D;003;32123;20;20040116 12:19;V;;;;;;
B;003;32440;21;20040116 12:19;;;29;BIRDWOOD AVE;UMINA BEACH;2257;524.8;M;20030717;20031210;299000;A;R;RESIDENCE;;FU;;0;AA264785;
C;003;32440;21;20040116 12:19;178//10186;
D;003;32440;21;20040116 12:19;P;;;;;;
D;003;32440;21;20040116 12:19;P;;;;;;
D;003;32440;21;20040116 12:19;V;;;;;;
B;003;33507;22;20040116 12:19;;;231;BOOKER BAY RD;BOOKER BAY;2257;543.8;M;20031024;20031205;650000;A;R;RESIDENCE;;MA;;0;AA287316;
C;003;33507;22;20040116 12:19;C//390962;
D;003;33507;22;20040116 12:19;P;;;;;;
D;003;33507;22;20040116 12:19;P;;;;;;
D;003;33507;22;20040116 12:19;V;;;;;;
B;003;33703;23;20040116 12:19;;1;54;BOOKER BAY RD;BOOKER BAY;2257;;;20030924;20031029;570000;;R;RESIDENCE;1;;;0;AA304690;
C;003;33703;23;20040116 12:19;1//SP 35197;
D;003;33703;23;20040116 12:19;P;;;;;;
D;003;33703;23;20040116 12:19;V;;;;;;
D;003;33703;23;20040116 12:19;V;;;;;;
B;003;33906;24;20040116 12:19;;;9;BORONIA AVE;WOY WOY;2256;442.6;M;20030909;20031024;363700;A;R;RESIDENCE;;FU;;0;AA289369;
C;003;33906;24;20040116 12:19;53/E/13328;
D;003;33906;24;20040116 12:19;P;;;;;;
D;003;33906;24;20040116 12:19;V;;;;;;
D;003;33906;24;20040116 12:19;V;;;;;;
