A;205;20040202 11:54;PTHIRLWELL;
B;205;1912842;1;20040202 11:54;;;30;ALBION ST;ANNANDALE;2038;430.3;M;20030808;20031219;980000;A;R;RESIDENCE;;EK;;0;AA308365;
C;205;1912842;1;20040202 11:54;121//520046;
D;205;1912842;1;20040202 11:54;P;;;;;;
D;205;1912842;1;20040202 11:54;P;;;;;;
D;205;1912842;1;20040202 11:54;V;;;;;;
B;205;1913404;2;20040202 11:54;;36;69;ALLEN ST;LEICHHARDT;2040;122.3;M;20031114;20031219;505000;A;R;RESIDENCE;;EA;;0;AA333206;
C;205;1913404;2;20040202 11:54;3//285474;
D;205;1913404;2;20040202 11:54;P;;;;;;
D;205;1913404;2;20040202 11:54;V;;;;;;
D;205;1913404;2;20040202 11:54;V;;;;;;
B;205;1913431;3;20040202 11:54;BLOCK C;53;69;ALLEN ST;LEICHHARDT;2040;;;20031111;20031218;485000;;R;RESIDENCE;10;;;0;AA347530;
C;205;1913431;3;20040202 11:54;10//SP 58381;
D;205;1913431;3;20040202 11:54;P;;;;;;
D;205;1913431;3;20040202 11:54;V;;;;;;
D;205;1913431;3;20040202 11:54;V;;;;;;
B;205;1913534;4;20040202 11:54;;;71;ALLEN ST;LEICHHARDT;2040;222.3;M;20031210;20031215;350000;A;R;RESIDENCE;;EA;;50;AA330468;
C;205;1913534;4;20040202 11:54;22//881160;
D;205;1913534;4;20040202 11:54;P;;;;;;
D;205;1913534;4;20040202 11:54;P;;;;;;
D;205;1913534;4;20040202 11:54;P;;;;;;
D;205;1913534;4;20040202 11:54;V;;;;;;
B;205;1913631;5;20040202 11:54;;;35;ANNANDALE ST;ANNANDALE;2038;;;20031108;20031219;1050000;A;R;RESIDENCE;;EK;;0;AA331592;
C;205;1913631;5;20040202 11:54;1//101583;
D;205;1913631;5;20040202 11:54;P;;;;;;
D;205;1913631;5;20040202 11:54;P;;;;;;
D;205;1913631;5;20040202 11:54;V;;;;;;
D;205;1913631;5;20040202 11:54;V;;;;;;
B;205;1913811;6;20040202 11:54;;;396;ANNANDALE ST;ANNANDALE;2038;;;20031202;20040115;760000;A;R;RESIDENCE;;EK;;0;AA356407;
C;205;1913811;6;20040202 11:54;A//444491;
D;205;1913811;6;20040202 11:54;P;;;;;;
D;205;1913811;6;20040202 11:54;P;;;;;;
D;205;1913811;6;20040202 11:54;V;;;;;;
D;205;1913811;6;20040202 11:54;V;;;;;;
B;205;1916875;7;20040202 11:54;;2;6;BUNGAY ST;LEICHHARDT;2040;;;20031025;20040109;478500;;R;RESIDENCE;2;;;0;AA321833;
C;205;1916875;7;20040202 11:54;2//SP 36479;
D;205;1916875;7;20040202 11:54;P;;;;;;
D;205;1916875;7;20040202 11:54;V;;;;;;
B;205;1917223;8;20040202 11:54;;;5;CAMERON ST;BALMAIN;2041;135.9;M;20031101;20031215;960000;A;R;RESIDENCE;;EC;;0;AA327447;
C;205;1917223;8;20040202 11:54;5//1007540;
D;205;1917223;8;20040202 11:54;P;;;;;;
D;205;1917223;8;20040202 11:54;V;;;;;;
B;205;1917722;9;20040202 11:54;;;22;CARY ST;LEICHHARDT;2040;;;20031114;20031219;560000;A;R;RESIDENCE;;EA;;0;AA327751;
C;205;1917722;9;20040202 11:54;44/13/612;
D;205;1917722;9;20040202 11:54;P;;;;;;
D;205;1917722;9;20040202 11:54;V;;;;;;
D;205;1917722;9;20040202 11:54;V;;;;;;
B;205;1918372;10;20040202 11:54;;;45;CHARLES ST;LEICHHARDT;2040;;;20031128;20040109;610000;A;R;RESIDENCE;;EA;;0;AA330730;
C;205;1918372;10;20040202 11:54;59/6/1162;
D;205;1918372;10;20040202 11:54;P;;;;;;
D;205;1918372;10;20040202 11:54;P;;;;;;
D;205;1918372;10;20040202 11:54;V;;;;;;
D;205;1918372;10;20040202 11:54;V;;;;;;
B;205;1918831;11;20040202 11:54;;;50;CLAYTON ST;BALMAIN;2041;139;M;20031209;20031209;487500;A;R;RESIDENCE;;EC;;0;AA310972;
C;205;1918831;11;20040202 11:54;1//743619;
D;205;1918831;11;20040202 11:54;P;;;;;;
D;205;1918831;11;20040202 11:54;V;;;;;;
D;205;1918831;11;20040202 11:54;V;;;;;;
D;205;1918831;11;20040202 11:54;V;;;;;;
D;205;1918831;11;20040202 11:54;V;;;;;;
B;205;1918993;12;20040202 11:54;;;12;COLERIDGE ST;LEICHHARDT;2040;366.7;M;20030906;20031024;1490000;A;R;RESIDENCE;;EF;;0;AA149262;
C;205;1918993;12;20040202 11:54;A//309919;
D;205;1918993;12;20040202 11:54;P;;;;;;
D;205;1918993;12;20040202 11:54;V;;;;;;
D;205;1918993;12;20040202 11:54;V;;;;;;
B;205;1919014;13;20040202 11:54;;4;19;COLGATE AVE;BALMAIN;2041;;;20031021;20031218;310000;;R;RESIDENCE;4;;;0;AA334194;
C;205;1919014;13;20040202 11:54;4//SP 61138;
D;205;1919014;13;20040202 11:54;P;;;;;;
D;205;1919014;13;20040202 11:54;V;;;;;;
D;205;1919014;13;20040202 11:54;V;;;;;;
B;205;1919014;14;20040202 11:54;;90;19;COLGATE AVE;BALMAIN;2041;;;20030908;20031219;1250000;;R;RESIDENCE;90;;;0;AA320096;
C;205;1919014;14;20040202 11:54;90//SP 61138;
D;205;1919014;14;20040202 11:54;P;;;;;;
D;205;1919014;14;20040202 11:54;V;;;;;;
D;205;1919014;14;20040202 11:54;V;;;;;;
B;205;1919566;15;20040202 11:54;;;14;COULON ST;ROZELLE;2039;99;M;20031128;20040109;850000;A;R;RESIDENCE;;EL;;0;AA330611;
C;205;1919566;15;20040202 11:54;11//874957;
D;205;1919566;15;20040202 11:54;P;;;;;;
D;205;1919566;15;20040202 11:54;P;;;;;;
D;205;1919566;15;20040202 11:54;V;;;;;;
D;205;1919566;15;20040202 11:54;V;;;;;;
B;205;1919575;16;20040202 11:54;;;9;COVE ST;BIRCHGROVE;2041;120.1;M;20031208;20040120;815000;A;R;RESIDENCE;;EC;;0;AA359153;
C;205;1919575;16;20040202 11:54;3//241425;
D;205;1919575;16;20040202 11:54;P;;;;;;
D;205;1919575;16;20040202 11:54;P;;;;;;
D;205;1919575;16;20040202 11:54;V;;;;;;
D;205;1919575;16;20040202 11:54;V;;;;;;
B;205;1919747;17;20040202 11:54;;;45;CRESCENT ST;ROZELLE;2039;108;M;20031007;20040113;570000;I;R;RESIDENCE;;DX;;0;AA357626;
C;205;1919747;17;20040202 11:54;X//442895;
D;205;1919747;17;20040202 11:54;P;;;;;;
D;205;1919747;17;20040202 11:54;V;;;;;;
D;205;1919747;17;20040202 11:54;V;;;;;;
B;205;1919972;18;20040202 11:54;;;3;DANIEL ST;LEICHHARDT;2040;;;20031219;20031229;445000;A;R;RESIDENCE;;EA;;0;AA327321;
C;205;1919972;18;20040202 11:54;1//920728;
D;205;1919972;18;20040202 11:54;P;;;;;;
D;205;1919972;18;20040202 11:54;P;;;;;;
D;205;1919972;18;20040202 11:54;V;;;;;;
B;205;1920147;19;20040202 11:54;;7;41;DARLING ST;BALMAIN;2041;;;20031026;20031208;865000;;R;RESIDENCE;7;;;0;AA307966;
C;205;1920147;19;20040202 11:54;7//SP 5852;
D;205;1920147;19;20040202 11:54;P;;;;;;
D;205;1920147;19;20040202 11:54;P;;;;;;
D;205;1920147;19;20040202 11:54;V;;;;;;
D;205;1920147;19;20040202 11:54;V;;;;;;
B;205;1920653;20;20040202 11:54;;;548;DARLING ST;ROZELLE;2039;;;20031027;20031230;875000;A;R;RESIDENCE;;EB;;0;AA344282;
C;205;1920653;20;20040202 11:54;10/7/979145;
D;205;1920653;20;20040202 11:54;P;;;;;;
D;205;1920653;20;20040202 11:54;P;;;;;;
D;205;1920653;20;20040202 11:54;V;;;;;;
B;205;1920928;21;20040202 11:54;;6;86;DARLING ST;BALMAIN;2041;;;20031121;20031224;405000;;R;RESIDENCE;6;;;0;AA349010;
C;205;1920928;21;20040202 11:54;6//SP 11684;
D;205;1920928;21;20040202 11:54;P;;;;;;
D;205;1920928;21;20040202 11:54;V;;;;;;
B;205;1921263;22;20040202 11:54;;;18 A;DAY ST;LEICHHARDT;2040;278.7;M;20030920;20031103;660000;A;R;RESIDENCE;;EA;;0;AA349221;
C;205;1921263;22;20040202 11:54;71/11/612;
D;205;1921263;22;20040202 11:54;P;;;;;;
D;205;1921263;22;20040202 11:54;P;;;;;;
D;205;1921263;22;20040202 11:54;V;;;;;;
D;205;1921263;22;20040202 11:54;V;;;;;;
B;205;1921700;23;20040202 11:54;;11;66;EDITH ST;LEICHHARDT;2040;;;20031107;20031205;265000;;R;RESIDENCE;11;;;0;AA348385;
C;205;1921700;23;20040202 11:54;11//SP 8515;
D;205;1921700;23;20040202 11:54;P;;;;;;
D;205;1921700;23;20040202 11:54;V;;;;;;
B;205;1921726;24;20040202 11:54;;;52;EDITH ST;LEICHHARDT;2040;;;20031127;20031231;240000;A;R;RESIDENCE;;EA;;33;AA337488;
C;205;1921726;24;20040202 11:54;19/A/922;
D;205;1921726;24;20040202 11:54;P;;;;;;
D;205;1921726;24;20040202 11:54;P;;;;;;
D;205;1921726;24;20040202 11:54;V;;;;;;
D;205;1921726;24;20040202 11:54;V;;;;;;
B;205;1921844;25;20040202 11:54;;;48;ELIZABETH ST;ROZELLE;2039;164.8;M;20031017;20031208;540000;A;R;RESIDENCE;;EL;;0;AA333191;
C;205;1921844;25;20040202 11:54;1//779024;
D;205;1921844;25;20040202 11:54;P;;;;;;
D;205;1921844;25;20040202 11:54;V;;;;;;
B;205;1922198;26;20040202 11:54;;;62;ELSWICK ST;LEICHHARDT;2040;;;20031118;20040107;740000;A;R;RESIDENCE;;EA;;0;AA323402;
C;205;1922198;26;20040202 11:54;1//948532;
D;205;1922198;26;20040202 11:54;P;;;;;;
D;205;1922198;26;20040202 11:54;P;;;;;;
D;205;1922198;26;20040202 11:54;V;;;;;;
D;205;1922198;26;20040202 11:54;V;;;;;;
B;205;1922432;27;20040202 11:54;;;79;EVANS ST;ROZELLE;2039;;;20031122;20040109;821000;A;R;RESIDENCE;;EL;;0;AA341088;
C;205;1922432;27;20040202 11:54;B//107591;
D;205;1922432;27;20040202 11:54;P;;;;;;
D;205;1922432;27;20040202 11:54;V;;;;;;
B;205;1922735;28;20040202 11:54;;;58;EXCELSIOR ST;LEICHHARDT;2040;339.5;M;20031129;20040112;845000;A;R;RESIDENCE;;EF;;0;AA326384;
C;205;1922735;28;20040202 11:54;4//843263;
D;205;1922735;28;20040202 11:54;P;;;;;;
D;205;1922735;28;20040202 11:54;P;;;;;;
D;205;1922735;28;20040202 11:54;V;;;;;;
B;205;1923664;29;20040202 11:54;;;88;FOSTER ST;LEICHHARDT;2040;;;20031122;20031222;586000;A;R;RESIDENCE;;EB;;0;AA331154;
C;205;1923664;29;20040202 11:54;2//551965;
D;205;1923664;29;20040202 11:54;P;;;;;;
D;205;1923664;29;20040202 11:54;P;;;;;;
D;205;1923664;29;20040202 11:54;V;;;;;;
B;205;1923874;30;20040202 11:54;;;15;FRANCIS ST;LEICHHARDT;2040;;;20031104;20031216;569420;A;R;RESIDENCE;;EA;;0;AA309654;
C;205;1923874;30;20040202 11:54;89/B/1663;
D;205;1923874;30;20040202 11:54;P;;;;;;
D;205;1923874;30;20040202 11:54;P;;;;;;
D;205;1923874;30;20040202 11:54;V;;;;;;
D;205;1923874;30;20040202 11:54;V;;;;;;
B;205;1924176;31;20040202 11:54;;;8;GARNET AVE;LILYFIELD;2040;;;20031213;20040113;697500;A;R;RESIDENCE;;EA;;0;AA324309;
C;205;1924176;31;20040202 11:54;80//16418;
D;205;1924176;31;20040202 11:54;P;;;;;;
D;205;1924176;31;20040202 11:54;V;;;;;;
B;205;1925159;32;20040202 11:54;;;6;GOODSIR ST;ROZELLE;2039;;;20031108;20031219;647500;A;R;RESIDENCE;;EL;;0;AA319235;
C;205;1925159;32;20040202 11:54;3//204208;
D;205;1925159;32;20040202 11:54;P;;;;;;
D;205;1925159;32;20040202 11:54;P;;;;;;
D;205;1925159;32;20040202 11:54;V;;;;;;
D;205;1925159;32;20040202 11:54;V;;;;;;
B;205;1925359;33;20040202 11:54;;19;1;GRAFTON ST;BALMAIN;2041;;;20031219;20040119;900000;;R;RESIDENCE;19;;;0;AA341347;
C;205;1925359;33;20040202 11:54;19//SP 30591;
D;205;1925359;33;20040202 11:54;P;;;;;;
D;205;1925359;33;20040202 11:54;V;;;;;;
D;205;1925359;33;20040202 11:54;V;;;;;;
B;205;1925661;34;20040202 11:54;;;3;HANCOCK ST;ROZELLE;2039;101.2;M;20031129;20040119;649000;B;R;RESIDENCE;;CX;;0;AA355830;
C;205;1925661;34;20040202 11:54;C//447583;
D;205;1925661;34;20040202 11:54;P;;;;;;
D;205;1925661;34;20040202 11:54;P;;;;;;
D;205;1925661;34;20040202 11:54;V;;;;;;
D;205;1925661;34;20040202 11:54;V;;;;;;
B;205;1925804;35;20040202 11:54;;;7;HAWTHORNE ST;LEICHHARDT;2040;215;M;20030802;20031007;530000;A;R;RESIDENCE;;EA;;0;AA147739;
C;205;1925804;35;20040202 11:54;16//2041;
D;205;1925804;35;20040202 11:54;P;;;;;;
D;205;1925804;35;20040202 11:54;V;;;;;;
B;205;1926674;36;20040202 11:54;;;21;HORNSEY ST;ROZELLE;2039;132.8;M;20030809;20030915;654000;A;3;;;EL;;0;AA332892;
C;205;1926674;36;20040202 11:54;D//366391;
D;205;1926674;36;20040202 11:54;P;;;;;;
D;205;1926674;36;20040202 11:54;P;;;;;;
D;205;1926674;36;20040202 11:54;V;;;;;;
B;205;1926825;37;20040202 11:54;;29;16;HOSKING ST;BALMAIN;2041;;;20030725;20030916;465000;;R;RESIDENCE;29;;;0;AA319615;
C;205;1926825;37;20040202 11:54;29//SP 5862;
D;205;1926825;37;20040202 11:54;P;;;;;;
