A;138;20040202 11:49;PTHIRLWELL;
B;138;1399712;1;20040202 11:49;;3;48;ALBERT ST;BELMORE;2192;;;20031105;20031217;230000;;R;RESIDENCE;3;;;0;AA338489;
C;138;1399712;1;20040202 11:49;3//SP 19901;
D;138;1399712;1;20040202 11:49;P;;;;;;
D;138;1399712;1;20040202 11:49;V;;;;;;
D;138;1399712;1;20040202 11:49;V;;;;;;
B;138;1400390;2;20040202 11:49;;4;5;ALLAN AVE;BELMORE;2192;;;20040115;20040116;345000;;R;RESIDENCE;4;;;0;AA356811;
C;138;1400390;2;20040202 11:49;4//SP 63836;
D;138;1400390;2;20040202 11:49;P;;;;;;
D;138;1400390;2;20040202 11:49;V;;;;;;
B;138;1400390;3;20040202 11:49;;5;5;ALLAN AVE;BELMORE;2192;;;20040115;20040116;345000;;R;RESIDENCE;5;;;0;AA357618;
C;138;1400390;3;20040202 11:49;5//SP 63836;
D;138;1400390;3;20040202 11:49;P;;;;;;
D;138;1400390;3;20040202 11:49;V;;;;;;
B;138;1400885;4;20040202 11:49;;;21;ANGUS ST;EARLWOOD;2206;;;20031215;20031215;66000;A;R;RESIDENCE;;XH;;0;AA324110;
C;138;1400885;4;20040202 11:49;22//15336;
D;138;1400885;4;20040202 11:49;P;;;;;;
D;138;1400885;4;20040202 11:49;V;;;;;;
B;138;1401085;5;20040202 11:49;;;80;ARMITREE ST;KINGSGROVE;2208;;;20031011;20031125;576000;A;R;RESIDENCE;;XR;;0;AA309676;
C;138;1401085;5;20040202 11:49;168//14705;
D;138;1401085;5;20040202 11:49;P;;;;;;
D;138;1401085;5;20040202 11:49;V;;;;;;
D;138;1401085;5;20040202 11:49;V;;;;;;
B;138;1402662;6;20040202 11:49;;22;36;BEAMISH ST;CAMPSIE;2194;;;20031024;20031211;210000;;R;RESIDENCE;22;;;0;AA343649;
C;138;1402662;6;20040202 11:49;22//SP 3429;
D;138;1402662;6;20040202 11:49;P;;;;;;
D;138;1402662;6;20040202 11:49;P;;;;;;
D;138;1402662;6;20040202 11:49;V;;;;;;
B;138;1402864;7;20040202 11:49;;3;352;BEAMISH ST;CAMPSIE;2194;;;20031128;20040109;257000;;R;RESIDENCE;3;;;0;AA351482;
C;138;1402864;7;20040202 11:49;3//SP 16107;
D;138;1402864;7;20040202 11:49;P;;;;;;
D;138;1402864;7;20040202 11:49;P;;;;;;
D;138;1402864;7;20040202 11:49;V;;;;;;
B;138;1403380;8;20040202 11:49;;5;41;BELLOMBI ST;CAMPSIE;2194;;;20030822;20031003;225000;;3;HOME UNIT;5;;;0;AA331863;
C;138;1403380;8;20040202 11:49;5//SP 54940;
D;138;1403380;8;20040202 11:49;P;;;;;;
D;138;1403380;8;20040202 11:49;V;;;;;;
D;138;1403380;8;20040202 11:49;V;;;;;;
B;138;1403790;9;20040202 11:49;;;2;BERESFORD PDE;KINGSGROVE;2208;;;20031108;20031219;663500;A;3;;;XJ;;0;AA324770;
C;138;1403790;9;20040202 11:49;46//13422;
D;138;1403790;9;20040202 11:49;P;;;;;;
D;138;1403790;9;20040202 11:49;P;;;;;;
D;138;1403790;9;20040202 11:49;V;;;;;;
D;138;1403790;9;20040202 11:49;V;;;;;;
B;138;1403897;10;20040202 11:49;;;36;BEXLEY RD;CAMPSIE;2194;;;20031111;20031219;487000;A;R;RESIDENCE;;XG;;0;AA342830;
C;138;1403897;10;20040202 11:49;C//309583;
D;138;1403897;10;20040202 11:49;P;;;;;;
D;138;1403897;10;20040202 11:49;P;;;;;;
D;138;1403897;10;20040202 11:49;V;;;;;;
D;138;1403897;10;20040202 11:49;V;;;;;;
D;138;1403897;10;20040202 11:49;V;;;;;;
D;138;1403897;10;20040202 11:49;V;;;;;;
B;138;1404577;11;20040202 11:49;;;139;BONDS RD;RIVERWOOD;2210;2871;M;20031106;20031218;2582000;I;3;WAREHOUSE;;FK;;0;AA303037;
C;138;1404577;11;20040202 11:49;3//812036;
D;138;1404577;11;20040202 11:49;P;;;;;;
D;138;1404577;11;20040202 11:49;V;;;;;;
B;138;1404578;12;20040202 11:49;;157;143;BONDS RD;PUNCHBOWL;2196;;;20031126;20031223;338050;;3;COMMERCIAL UN;10;;;0;AA324313;
C;138;1404578;12;20040202 11:49;10//SP 39653;
D;138;1404578;12;20040202 11:49;P;;;;;;
D;138;1404578;12;20040202 11:49;V;;;;;;
B;138;1404578;13;20040202 11:49;;12;143;BONDS RD;PUNCHBOWL;2196;;;20031201;20040114;399500;;R;RESIDENCE;12;;;0;AA341525;
C;138;1404578;13;20040202 11:49;12//SP 39653;
D;138;1404578;13;20040202 11:49;P;;;;;;
D;138;1404578;13;20040202 11:49;P;;;;;;
D;138;1404578;13;20040202 11:49;V;;;;;;
B;138;1404871;14;20040202 11:49;;;10;BRAMHALL AVE;PUNCHBOWL;2196;;;20031011;20031215;466000;A;R;RESIDENCE;;XP;;0;AA350724;
C;138;1404871;14;20040202 11:49;322//13801;
D;138;1404871;14;20040202 11:49;P;;;;;;
D;138;1404871;14;20040202 11:49;V;;;;;;
B;138;1405338;15;20040202 11:49;;;14;BROAD ST;CROYDON PARK;2133;;;20031129;20040109;587000;A;R;RESIDENCE;;XB;;0;AA347966;
C;138;1405338;15;20040202 11:49;A//449890;
D;138;1405338;15;20040202 11:49;P;;;;;;
D;138;1405338;15;20040202 11:49;P;;;;;;
D;138;1405338;15;20040202 11:49;P;;;;;;
D;138;1405338;15;20040202 11:49;P;;;;;;
D;138;1405338;15;20040202 11:49;V;;;;;;
B;138;1405679;16;20040202 11:49;;65;10;BROUGHTON ST;CANTERBURY;2193;;;20031111;20031219;367000;;R;RESIDENCE;65;;;0;AA333408;
C;138;1405679;16;20040202 11:49;65//SP 53145;
D;138;1405679;16;20040202 11:49;P;;;;;;
D;138;1405679;16;20040202 11:49;P;;;;;;
D;138;1405679;16;20040202 11:49;V;;;;;;
D;138;1405679;16;20040202 11:49;V;;;;;;
B;138;1406466;17;20040202 11:49;;;98;BURWOOD RD;BELFIELD;2191;;;20031025;20040115;580000;A;R;RESIDENCE;;XM;;0;AA345290;
C;138;1406466;17;20040202 11:49;13/H/12859;
D;138;1406466;17;20040202 11:49;P;;;;;;
D;138;1406466;17;20040202 11:49;V;;;;;;
D;138;1406466;17;20040202 11:49;V;;;;;;
B;138;1406646;18;20040202 11:49;;9;210;BURWOOD RD;BELMORE;2192;;;20031030;20031222;192000;;R;RESIDENCE;9;;;0;AA334207;
C;138;1406646;18;20040202 11:49;9//SP 12171;
D;138;1406646;18;20040202 11:49;P;;;;;;
D;138;1406646;18;20040202 11:49;P;;;;;;
D;138;1406646;18;20040202 11:49;V;;;;;;
D;138;1406646;18;20040202 11:49;V;;;;;;
B;138;1406944;19;20040202 11:49;;8;71;CAMPSIE ST;CAMPSIE;2194;;;20030827;20031008;183000;;R;RESIDENCE;8;;;0;AA336276;
C;138;1406944;19;20040202 11:49;8//SP 507;
D;138;1406944;19;20040202 11:49;P;;;;;;
D;138;1406944;19;20040202 11:49;V;;;;;;
B;138;1407617;20;20040202 11:49;;;1053;CANTERBURY RD;LAKEMBA;2195;815.7;M;20031025;20031222;640000;A;R;RESIDENCE;;MR;;0;AA330062;
