A;003;20050104 11:36;MASMITH;
B;003;28950;1;20050104 11:36;;1;138;AVOCA DR;AVOCA BEACH;2251;;;20041020;20041202;770000;;R;RESIDENCE;1;;;0;AB151192;
C;003;28950;1;20050104 11:36;1/SP6170;
D;003;28950;1;20050104 11:36;P;;;;;;
D;003;28950;1;20050104 11:36;V;;;;;;
D;003;28950;1;20050104 11:36;V;;;;;;
B;003;29062;2;20050104 11:36;;4;6;AVOCA DR;AVOCA BEACH;2251;;;20040528;20040528;500000;;R;RESIDENCE;4;;;0;AB177594;
C;003;29062;2;20050104 11:36;4/SP31256;
D;003;29062;2;20050104 11:36;P;;;;;;
D;003;29062;2;20050104 11:36;V;;;;;;
B;003;29093;3;20050104 11:36;;;25;AVOCA DR;AVOCA BEACH;2251;701.9;M;20041029;20041210;1300000;A;R;RESIDENCE;;MB;;0;AB161056;
C;003;29093;3;20050104 11:36;1/385638;
D;003;29093;3;20050104 11:36;P;;;;;;
D;003;29093;3;20050104 11:36;V;;;;;;
D;003;29093;3;20050104 11:36;V;;;;;;
B;003;29401;4;20050104 11:36;;;5;BADEN ST;KILLCARE HEIGHTS;2257;1132;M;20041201;20041216;740000;A;R;RESIDENCE;;GP;;0;AB167484;
C;003;29401;4;20050104 11:36;133/15671;
D;003;29401;4;20050104 11:36;P;;;;;;
D;003;29401;4;20050104 11:36;P;;;;;;
D;003;29401;4;20050104 11:36;V;;;;;;
B;003;30994;5;20050104 11:36;;;15;BEACHCOMBER PDE;NORTH AVOCA;2260;505.9;M;20041023;20041210;555000;A;R;RESIDENCE;;GR;;0;AB173130;
C;003;30994;5;20050104 11:36;210/31947;
D;003;30994;5;20050104 11:36;P;;;;;;
D;003;30994;5;20050104 11:36;P;;;;;;
D;003;30994;5;20050104 11:36;V;;;;;;
D;003;30994;5;20050104 11:36;V;;;;;;
B;003;31132;6;20050104 11:36;;;50;BEACHVIEW ESP;MACMASTERS BEACH;2251;695.6;M;20041014;20041210;725000;A;R;RESIDENCE;;GC;;0;AB160397;
C;003;31132;6;20050104 11:36;35/26114;
D;003;31132;6;20050104 11:36;P;;;;;;
D;003;31132;6;20050104 11:36;P;;;;;;
D;003;31132;6;20050104 11:36;V;;;;;;
B;003;31452;7;20050104 11:36;;;17;BELAR AVE;TERRIGAL;2260;616.4;M;20041019;20041210;465000;A;R;RESIDENCE;;GQ;;0;AB176041;
C;003;31452;7;20050104 11:36;100/788698;
D;003;31452;7;20050104 11:36;P;;;;;;
D;003;31452;7;20050104 11:36;P;;;;;;
D;003;31452;7;20050104 11:36;V;;;;;;
D;003;31452;7;20050104 11:36;V;;;;;;
