A;042;20040202 11:41;PTHIRLWELL;
B;042;470795;1;20040202 11:41;;;;VILLAGE OF GOOLOOGONG;GOOLOOGONG;2805;1011;M;20031001;20031119;40750;Z;R;RESIDENCE;;VG;;0;AA345178;
C;042;470795;1;20040202 11:41;10//253703;
D;042;470795;1;20040202 11:41;P;;;;;;
D;042;470795;1;20040202 11:41;V;;;;;;
D;042;470795;1;20040202 11:41;V;;;;;;
B;042;470949;2;20040202 11:41;;;50;OAKVILLE RD;COWRA;2794;44.76;H;20031120;20040112;425000;R;3;FARM;;HG;;0;AA359878;
C;042;470949;2;20040202 11:41;11//832341;
D;042;470949;2;20040202 11:41;P;;;;;;
D;042;470949;2;20040202 11:41;P;;;;;;
D;042;470949;2;20040202 11:41;V;;;;;;
D;042;470949;2;20040202 11:41;V;;;;;;
B;042;471064;3;20040202 11:41;;;;PRESTON ST;CANOWINDRA;2804;6070;M;20031210;20040114;38000;R;V;VACANT LAND;;HA;;0;AA347881;
C;042;471064;3;20040202 11:41;616//805923;
D;042;471064;3;20040202 11:41;P;;;;;;
D;042;471064;3;20040202 11:41;V;;;;;;
B;042;471361;4;20040202 11:41;;;159;CAMP RD;COWRA;2794;2.007;H;20031104;20031216;207500;R;R;RESIDENCE;;HB;;0;AA329992;
C;042;471361;4;20040202 11:41;6//270073;
D;042;471361;4;20040202 11:41;P;;;;;;
D;042;471361;4;20040202 11:41;P;;;;;;
D;042;471361;4;20040202 11:41;V;;;;;;
D;042;471361;4;20040202 11:41;V;;;;;;
B;042;471450;5;20040202 11:41;;;565;ELOUERA RD;COWRA;2794;6.787;H;20031127;20040107;370000;R;R;RESIDENCE;;HC;;0;AA332698;
C;042;471450;5;20040202 11:41;2//818469;
D;042;471450;5;20040202 11:41;P;;;;;;
D;042;471450;5;20040202 11:41;V;;;;;;
D;042;471450;5;20040202 11:41;V;;;;;;
B;042;471451;6;20040202 11:41;;;567;ELOUERA RD;COWRA;2794;7.786;H;20031127;20040107;370000;R;R;RESIDENCE;;HC;;0;AA332698;
C;042;471451;6;20040202 11:41;3//818469;
D;042;471451;6;20040202 11:41;P;;;;;;
D;042;471451;6;20040202 11:41;V;;;;;;
D;042;471451;6;20040202 11:41;V;;;;;;
B;042;471452;7;20040202 11:41;;;567;ELOUERA RD;COWRA;2794;2.002;H;20031127;20040107;370000;R;R;RESIDENCE;;HB;;0;AA332698;
C;042;471452;7;20040202 11:41;4//818469;
D;042;471452;7;20040202 11:41;P;;;;;;
D;042;471452;7;20040202 11:41;V;;;;;;
D;042;471452;7;20040202 11:41;V;;;;;;
B;042;473131;8;20040202 11:41;;;;WATTAMONDARA PH PORS;WATTAMONDARA;2794;8500;M;20031201;20031218;23000;Z;V;VACANT LAND;;VN;;0;AA342107;
C;042;473131;8;20040202 11:41;155, 156//752960;
D;042;473131;8;20040202 11:41;P;;;;;;
D;042;473131;8;20040202 11:41;V;;;;;;
B;042;473309;9;20040202 11:41;;;2;AMIE ST;COWRA;2794;;;20031107;20031212;110000;A;R;RESIDENCE;;AF;;0;AA309431;
C;042;473309;9;20040202 11:41;1/38/758300;
D;042;473309;9;20040202 11:41;P;;;;;;
D;042;473309;9;20040202 11:41;P;;;;;;
D;042;473309;9;20040202 11:41;P;;;;;;
D;042;473309;9;20040202 11:41;V;;;;;;
B;042;474048;10;20040202 11:41;;;17;COWRA RD;COWRA;2794;1960;M;20031210;20040107;147500;R;R;RESIDENCE;;HA;;0;AA310492;
C;042;474048;10;20040202 11:41;5//800091;
D;042;474048;10;20040202 11:41;P;;;;;;
D;042;474048;10;20040202 11:41;V;;;;;;
D;042;474048;10;20040202 11:41;V;;;;;;
B;042;474116;11;20040202 11:41;;;27;DARLING ST;COWRA;2794;;;20031210;20040114;81000;A;R;RESIDENCE;;AH;;0;AA348175;
C;042;474116;11;20040202 11:41;42/2/14598;
D;042;474116;11;20040202 11:41;P;;;;;;
D;042;474116;11;20040202 11:41;V;;;;;;
B;042;474147;12;20040202 11:41;;;102;DARLING ST;COWRA;2794;986.4;M;20031126;20040107;245000;B;3;COMMERCIAL PR;;CC;;0;AA311539;
C;042;474147;12;20040202 11:41;A//312377;
D;042;474147;12;20040202 11:41;P;;;;;;
D;042;474147;12;20040202 11:41;P;;;;;;
D;042;474147;12;20040202 11:41;V;;;;;;
B;042;474297;13;20040202 11:41;;;3;DUFFEY AVE;COWRA;2794;853.6;M;20031113;20031219;173000;A;R;RESIDENCE;;AM;;0;AA345480;
C;042;474297;13;20040202 11:41;9//236578;
D;042;474297;13;20040202 11:41;P;;;;;;
D;042;474297;13;20040202 11:41;P;;;;;;
D;042;474297;13;20040202 11:41;V;;;;;;
B;042;474560;14;20040202 11:41;;;53;FITZROY AVE;COWRA;2794;;;20031127;20040109;215000;A;R;RESIDENCE;;AH;;0;AA319699;
C;042;474560;14;20040202 11:41;1//367746;
D;042;474560;14;20040202 11:41;P;;;;;;
D;042;474560;14;20040202 11:41;P;;;;;;
D;042;474560;14;20040202 11:41;V;;;;;;
D;042;474560;14;20040202 11:41;V;;;;;;
B;042;475197;15;20040202 11:41;;;67;KITE ST;COWRA;2794;1012;M;20031110;20031215;127500;A;R;RESIDENCE;;AC;;0;AA345076;
C;042;475197;15;20040202 11:41;14//743554;
D;042;475197;15;20040202 11:41;P;;;;;;
D;042;475197;15;20040202 11:41;P;;;;;;
D;042;475197;15;20040202 11:41;P;;;;;;
D;042;475197;15;20040202 11:41;P;;;;;;
D;042;475197;15;20040202 11:41;V;;;;;;
D;042;475197;15;20040202 11:41;V;;;;;;
B;042;475771;16;20040202 11:41;;;16;MACASSAR ST;COWRA;2794;;;20020705;20020816;62000;A;R;RESIDENCE;;AD;;0;AA336933;
C;042;475771;16;20040202 11:41;4/2/6356;
D;042;475771;16;20040202 11:41;P;;;;;;
D;042;475771;16;20040202 11:41;P;;;;;;
D;042;475771;16;20040202 11:41;P;;;;;;
D;042;475771;16;20040202 11:41;V;;;;;;
B;042;476024;17;20040202 11:41;;;6;NELSON ST;COWRA;2794;;;20031114;20031219;85000;A;R;RESIDENCE;;AD;;0;AA310529;
C;042;476024;17;20040202 11:41;9/2/6356;
D;042;476024;17;20040202 11:41;P;;;;;;
D;042;476024;17;20040202 11:41;V;;;;;;
B;042;476266;18;20040202 11:41;;;13;REDFERN ST;COWRA;2794;916.9;M;20031202;20031212;12000;B;V;VACANT LAND;;CD;;0;AA321411;
C;042;476266;18;20040202 11:41;2//512439;
D;042;476266;18;20040202 11:41;P;;;;;;
D;042;476266;18;20040202 11:41;V;;;;;;
B;042;476267;19;20040202 11:41;;;15;REDFERN ST;COWRA;2794;;;20030903;20031015;90500;B;R;RESIDENCE;;CD;;0;AA322508;
C;042;476267;19;20040202 11:41;1//512439;
D;042;476267;19;20040202 11:41;P;;;;;;
D;042;476267;19;20040202 11:41;V;;;;;;
B;042;476343;20;20040202 11:41;;;98;REDFERN ST;COWRA;2794;752.5;M;20031126;20040109;142500;A;R;RESIDENCE;;AM;;0;AA349607;
C;042;476343;20;20040202 11:41;4//228046;
D;042;476343;20;20040202 11:41;P;;;;;;
D;042;476343;20;20040202 11:41;V;;;;;;
D;042;476343;20;20040202 11:41;V;;;;;;
B;042;476358;21;20040202 11:41;;;62;REDFERN ST;COWRA;2794;1018;M;20031112;20031212;112500;B;R;RESIDENCE;;CD;;0;AA322652;
C;042;476358;21;20040202 11:41;1//588801;
D;042;476358;21;20040202 11:41;P;;;;;;
D;042;476358;21;20040202 11:41;P;;;;;;
D;042;476358;21;20040202 11:41;V;;;;;;
D;042;476358;21;20040202 11:41;V;;;;;;
B;042;476958;22;20040202 11:41;;;42;WATT ST;COWRA;2794;1012;M;20030813;20030923;89000;A;R;RESIDENCE;;AC;;0;AA322024;
C;042;476958;22;20040202 11:41;7/14/977420;
D;042;476958;22;20040202 11:41;P;;;;;;
D;042;476958;22;20040202 11:41;P;;;;;;
D;042;476958;22;20040202 11:41;V;;;;;;
D;042;476958;22;20040202 11:41;V;;;;;;
B;042;2920047;23;20040202 11:41;;;18;MACQUARIE ST;COWRA;2794;2002.9;M;20030924;20031103;748000;B;3;COMMERCIAL;;CA;;0;AA337994;
C;042;2920047;23;20040202 11:41;1, 3//811861;
D;042;2920047;23;20040202 11:41;P;;;;;;
D;042;2920047;23;20040202 11:41;P;;;;;;
D;042;2920047;23;20040202 11:41;V;;;;;;
D;042;2920047;23;20040202 11:41;V;;;;;;
B;042;2992103;24;20040202 11:41;;;;THEOLE RD;COWRA;2794;33.18;H;20031128;20040114;125000;R;3;FARM;;RM;;0;AA349273;
C;042;2992103;24;20040202 11:41;86//752946;
D;042;2992103;24;20040202 11:41;P;;;;;;
D;042;2992103;24;20040202 11:41;P;;;;;;
D;042;2992103;24;20040202 11:41;V;;;;;;
D;042;2992103;24;20040202 11:41;V;;;;;;
B;042;3020597;25;20040202 11:41;;;;ALISON DR;WOODSTOCK;2793;6.053;H;20031127;20031223;46000;R;3;;;HC;;0;AA343410;
C;042;3020597;25;20040202 11:41;11//1055706;
D;042;3020597;25;20040202 11:41;P;;;;;;
D;042;3020597;25;20040202 11:41;V;;;;;;
D;042;3020597;25;20040202 11:41;V;;;;;;
B;042;3020598;26;20040202 11:41;;;;ALISON DR;WOODSTOCK;2793;6.277;H;20031127;20031223;48000;R;3;;;HC;;0;AA343393;
C;042;3020598;26;20040202 11:41;12//1055706;
D;042;3020598;26;20040202 11:41;P;;;;;;
