A;RTSALEDATA;203;20181105 01:15;VALNET;
B;203;4153526;1;20181105 01:15;;;669;GARDENERS RD;MASCOT;2020;;;20180423;20181008;1020000;;R;RESIDENCE;2;;;0;AN812439;
C;203;4153526;1;20181105 01:15;2/SP97290;
D;203;4153526;1;20181105 01:15;P;;;;;;
D;203;4153526;1;20181105 01:15;V;;;;;;
B;203;4153526;2;20181105 01:15;;314;669;GARDENERS RD;MASCOT;2020;;;20141224;20181024;745000;;R;RESIDENCE;38;;;0;AN815161;
C;203;4153526;2;20181105 01:15;38/SP97290;
D;203;4153526;2;20181105 01:15;P;;;;;;
D;203;4153526;2;20181105 01:15;V;;;;;;
B;203;4153526;3;20181105 01:15;;;669;GARDENERS RD;MASCOT;2020;;;20150115;20181008;689000;;R;RESIDENCE;79;;;0;AN812401;
C;203;4153526;3;20181105 01:15;79/SP97290;
D;203;4153526;3;20181105 01:15;P;;;;;;
D;203;4153526;3;20181105 01:15;P;;;;;;
D;203;4153526;3;20181105 01:15;V;;;;;;
B;203;4153526;4;20181105 01:15;;;669;GARDENERS RD;MASCOT;2020;;;20180911;20181008;799000;;R;RESIDENCE;79;;;0;AN812402;
C;203;4153526;4;20181105 01:15;79/SP97290;
D;203;4153526;4;20181105 01:15;P;;;;;;
D;203;4153526;4;20181105 01:15;P;;;;;;
D;203;4153526;4;20181105 01:15;V;;;;;;
D;203;4153526;4;20181105 01:15;V;;;;;;
B;203;4153526;5;20181105 01:15;;;669;GARDENERS RD;MASCOT;2020;;;20150624;20181023;1080000;;R;RESIDENCE;91;;;0;AN810556;
C;203;4153526;5;20181105 01:15;91/SP97290;
D;203;4153526;5;20181105 01:15;P;;;;;;
D;203;4153526;5;20181105 01:15;V;;;;;;
B;203;4153526;6;20181105 01:15;;;669;GARDENERS RD;MASCOT;2020;;;20130927;20181022;685000;;R;RESIDENCE;164;;;0;AN822410;
C;203;4153526;6;20181105 01:15;164/SP97290;
D;203;4153526;6;20181105 01:15;P;;;;;;
D;203;4153526;6;20181105 01:15;V;;;;;;
B;203;4153526;7;20181105 01:15;;;669;GARDENERS RD;MASCOT;2020;;;20161205;20181012;1039500;;R;RESIDENCE;168;;;0;AN809647;
C;203;4153526;7;20181105 01:15;168/SP97290;
D;203;4153526;7;20181105 01:15;P;;;;;;
D;203;4153526;7;20181105 01:15;V;;;;;;
B;203;4153526;8;20181105 01:15;;;669;GARDENERS RD;MASCOT;2020;;;20160816;20181008;1083000;;R;RESIDENCE;195;;;0;AN820032;
C;203;4153526;8;20181105 01:15;195/SP97290;
D;203;4153526;8;20181105 01:15;P;;;;;;
D;203;4153526;8;20181105 01:15;V;;;;;;
B;203;4153526;9;20181105 01:15;;;669;GARDENERS RD;MASCOT;2020;;;20150318;20181008;890000;;R;RESIDENCE;212;;;0;AN820404;
C;203;4153526;9;20181105 01:15;212/SP97290;
D;203;4153526;9;20181105 01:15;P;;;;;;
D;203;4153526;9;20181105 01:15;V;;;;;;
B;203;4153526;10;20181105 01:15;;;669;GARDENERS RD;MASCOT;2020;;;20160418;20181016;1090000;;R;RESIDENCE;233;;;0;AN799121;
C;203;4153526;10;20181105 01:15;233/SP97290;
