A;159;20060701 02:01;VALNET;
B;159;1744540;1;20060701 02:01;;;238;BALLINA RD;GOONELLABAH;2480;809.4;M;20060411;20060601;229000;A;R;RESIDENCE;;AP;;0;AC379064;
C;159;1744540;1;20060701 02:01;9/25939;
D;159;1744540;1;20060701 02:01;P;;;;;;
D;159;1744540;1;20060701 02:01;V;;;;;;
B;159;1745323;2;20060701 02:01;;;12;BRETTMARK CT;GOONELLABAH;2480;1324;M;20060419;20060517;342500;A;R;RESIDENCE;;AL;;0;AC388165;
C;159;1745323;2;20060701 02:01;31/832706;
D;159;1745323;2;20060701 02:01;P;;;;;;
D;159;1745323;2;20060701 02:01;V;;;;;;
D;159;1745323;2;20060701 02:01;V;;;;;;
B;159;1746382;3;20060701 02:01;;;4;CHARLES ST;SOUTH LISMORE;2480;505.9;M;20060310;20060407;200000;A;R;RESIDENCE;;AB;;0;AC385137;
C;159;1746382;3;20060701 02:01;2/157618;
D;159;1746382;3;20060701 02:01;P;;;;;;
D;159;1746382;3;20060701 02:01;P;;;;;;
D;159;1746382;3;20060701 02:01;V;;;;;;
D;159;1746382;3;20060701 02:01;V;;;;;;
D;159;1746382;3;20060701 02:01;V;;;;;;
B;159;1746521;4;20060701 02:01;;;7;CLYDE ST;LISMORE;2480;490.4;M;20060413;20060511;222500;A;R;RESIDENCE;;AD;;0;AC365551;
C;159;1746521;4;20060701 02:01;17/3/4304;
D;159;1746521;4;20060701 02:01;P;;;;;;
D;159;1746521;4;20060701 02:01;P;;;;;;
D;159;1746521;4;20060701 02:01;V;;;;;;
D;159;1746521;4;20060701 02:01;V;;;;;;
D;159;1746521;4;20060701 02:01;V;;;;;;
B;159;1746534;5;20060701 02:01;;;22;COCHRAN PL;LISMORE;2480;575.4;M;20060407;20060512;255000;A;R;RESIDENCE;;AD;;0;AC361249;
C;159;1746534;5;20060701 02:01;5/28771;
D;159;1746534;5;20060701 02:01;P;;;;;;
D;159;1746534;5;20060701 02:01;P;;;;;;
D;159;1746534;5;20060701 02:01;V;;;;;;
D;159;1746534;5;20060701 02:01;V;;;;;;
