A;143;20061001 01:09;VALNET;
B;143;1550262;1;20061001 01:09;;12;5;BERESFORD RD;STRATHFIELD;2135;;;20060717;20060904;370000;;R;RESIDENCE;12;;;0;AC581902;
C;143;1550262;1;20061001 01:09;12/SP62893;
D;143;1550262;1;20061001 01:09;P;;;;;;
D;143;1550262;1;20061001 01:09;V;;;;;;
B;143;1552935;2;20061001 01:09;;;22;GELLING AVE;STRATHFIELD;2135;;;20060717;20060828;1300000;A;R;RESIDENCE;;EG;;0;AC610766;
C;143;1552935;2;20061001 01:09;14/7796;
D;143;1552935;2;20061001 01:09;P;;;;;;
D;143;1552935;2;20061001 01:09;P;;;;;;
D;143;1552935;2;20061001 01:09;V;;;;;;
B;143;1550635;3;20061001 01:09;;;14;BROOKLYN ST;STRATHFIELD SOUTH;2136;471.53;M;20060802;20060904;650000;A;R;RESIDENCE;;ER;;0;AC585624;
C;143;1550635;3;20061001 01:09;2/315147;
D;143;1550635;3;20061001 01:09;P;;;;;;
D;143;1550635;3;20061001 01:09;P;;;;;;
D;143;1550635;3;20061001 01:09;V;;;;;;
D;143;1550635;3;20061001 01:09;V;;;;;;
B;143;1553356;4;20061001 01:09;;;30;HEBE ST;GREENACRE;2190;603.81;M;20060715;20060908;450000;A;R;RESIDENCE;;EQ;;0;AC604681;
C;143;1553356;4;20061001 01:09;15/10/845;
D;143;1553356;4;20061001 01:09;P;;;;;;
D;143;1553356;4;20061001 01:09;V;;;;;;
D;143;1553356;4;20061001 01:09;V;;;;;;
B;143;1550978;5;20061001 01:09;;2;22;BURLINGTON RD;HOMEBUSH;2140;;;20060720;20060825;344000;;R;RESIDENCE;2;;;0;AC604316;
C;143;1550978;5;20061001 01:09;2/SP21513;
D;143;1550978;5;20061001 01:09;P;;;;;;
D;143;1550978;5;20061001 01:09;P;;;;;;
D;143;1550978;5;20061001 01:09;P;;;;;;
D;143;1550978;5;20061001 01:09;V;;;;;;
B;143;1548497;6;20061001 01:09;;;100;ABBOTSFORD RD;HOMEBUSH;2140;923.2;M;20060617;20060911;1005000;A;R;RESIDENCE;;EC;;0;AC601580;
C;143;1548497;6;20061001 01:09;A/340637;
D;143;1548497;6;20061001 01:09;P;;;;;;
D;143;1548497;6;20061001 01:09;P;;;;;;
D;143;1548497;6;20061001 01:09;V;;;;;;
B;143;1553778;7;20061001 01:09;;;38;HILLCREST AVE;STRATHFIELD SOUTH;2136;452.61;M;20060701;20060911;626000;A;R;RESIDENCE;;ER;;0;AC606841;
C;143;1553778;7;20061001 01:09;43/11678;
D;143;1553778;7;20061001 01:09;P;;;;;;
D;143;1553778;7;20061001 01:09;P;;;;;;
D;143;1553778;7;20061001 01:09;V;;;;;;
B;143;1553926;8;20061001 01:09;;;122;HOMEBUSH RD;STRATHFIELD;2135;892;M;20060527;20060825;1180000;A;R;RESIDENCE;;EG;;0;AC584672;
C;143;1553926;8;20061001 01:09;1/964300;
D;143;1553926;8;20061001 01:09;P;;;;;;
D;143;1553926;8;20061001 01:09;P;;;;;;
D;143;1553926;8;20061001 01:09;V;;;;;;
D;143;1553926;8;20061001 01:09;V;;;;;;
B;143;1548720;9;20061001 01:09;SANDALWOOD;1602;3;ALBERT RD;STRATHFIELD;2135;;;20060714;20060825;665000;;R;RESIDENCE;90;;;0;AC596208;
C;143;1548720;9;20061001 01:09;90/SP51316;
D;143;1548720;9;20061001 01:09;P;;;;;;
D;143;1548720;9;20061001 01:09;P;;;;;;
D;143;1548720;9;20061001 01:09;V;;;;;;
B;143;1548720;10;20061001 01:09;SANDALWOOD;1602;3;ALBERT RD;STRATHFIELD;2135;;;20060714;20060825;665000;;R;RESIDENCE;97;;;0;AC596208;
C;143;1548720;10;20061001 01:09;97/SP51316;
D;143;1548720;10;20061001 01:09;P;;;;;;
D;143;1548720;10;20061001 01:09;P;;;;;;
D;143;1548720;10;20061001 01:09;V;;;;;;
B;143;1548720;11;20061001 01:09;SANDALWOOD;1602;3;ALBERT RD;STRATHFIELD;2135;;;20060714;20060825;665000;;R;RESIDENCE;98;;;0;AC596208;
C;143;1548720;11;20061001 01:09;98/SP51316;
D;143;1548720;11;20061001 01:09;P;;;;;;
D;143;1548720;11;20061001 01:09;P;;;;;;
D;143;1548720;11;20061001 01:09;V;;;;;;
B;143;1551747;12;20061001 01:09;;;4;CLEVELAND ST;STRATHFIELD SOUTH;2136;4173;M;20060510;20060510;1750000;I;3;FACTORY;;DL;;0;AC539470;
C;143;1551747;12;20061001 01:09;1/130877;
D;143;1551747;12;20061001 01:09;P;;;;;;
D;143;1551747;12;20061001 01:09;P;;;;;;
D;143;1551747;12;20061001 01:09;V;;;;;;
B;143;1554476;13;20061001 01:09;;;49;ISMAY AVE;HOMEBUSH;2140;546.18;M;20060703;20060911;630000;A;R;RESIDENCE;;ES;;0;AC590729;
C;143;1554476;13;20061001 01:09;36/15312;
D;143;1554476;13;20061001 01:09;P;;;;;;
D;143;1554476;13;20061001 01:09;V;;;;;;
B;143;1554477;14;20061001 01:09;;;51;ISMAY AVE;HOMEBUSH;2140;533.38;M;20060703;20060911;650000;A;R;RESIDENCE;;ES;;0;AC590736;
C;143;1554477;14;20061001 01:09;37/15312;
D;143;1554477;14;20061001 01:09;P;;;;;;
D;143;1554477;14;20061001 01:09;P;;;;;;
D;143;1554477;14;20061001 01:09;V;;;;;;
B;143;1557126;15;20061001 01:09;;;44;REDMYRE RD;STRATHFIELD;2135;;;20060713;20060831;1210000;A;R;RESIDENCE;;EG;;0;AC596038;
C;143;1557126;15;20061001 01:09;2/962760;
D;143;1557126;15;20061001 01:09;P;;;;;;
D;143;1557126;15;20061001 01:09;P;;;;;;
D;143;1557126;15;20061001 01:09;V;;;;;;
B;143;1549281;16;20061001 01:09;;5;84;ALBERT RD;STRATHFIELD;2135;;;20060714;20060828;349500;;R;RESIDENCE;5;;;0;AC592684;
C;143;1549281;16;20061001 01:09;5/SP4744;
D;143;1549281;16;20061001 01:09;P;;;;;;
D;143;1549281;16;20061001 01:09;V;;;;;;
