A;150;20060901 01:14;VALNET;
B;150;2869452;1;20060901 01:14;;;3;LASIANDRA CL;SUFFOLK PARK;2481;892.3;M;20060630;20060731;545000;A;R;RESIDENCE;;HF;;0;AC522588;
C;150;2869452;1;20060901 01:14;287/1033188;
D;150;2869452;1;20060901 01:14;P;;;;;;
D;150;2869452;1;20060901 01:14;P;;;;;;
D;150;2869452;1;20060901 01:14;V;;;;;;
B;150;3082748;2;20060901 01:14;;7;19;CENTENNIAL CCT;BYRON BAY;2481;;;20060606;20060731;211000;;3;INDUSTRIAL;7;;;0;AC515814;
C;150;3082748;2;20060901 01:14;7/SP72600;
D;150;3082748;2;20060901 01:14;P;;;;;;
D;150;3082748;2;20060901 01:14;V;;;;;;
D;150;3082748;2;20060901 01:14;V;;;;;;
B;150;3057603;3;20060901 01:14;;;4;PAPERBARK PL;BANGALOW;2479;690.6;M;20060331;20060808;210000;A;V;VACANT LAND;;JC;;0;AC530269;
C;150;3057603;3;20060901 01:14;9/1061460;
D;150;3057603;3;20060901 01:14;P;;;;;;
D;150;3057603;3;20060901 01:14;P;;;;;;
D;150;3057603;3;20060901 01:14;V;;;;;;
D;150;3057603;3;20060901 01:14;V;;;;;;
B;150;3057629;4;20060901 01:14;;;11;MARBLEWOOD PL;BANGALOW;2479;907.1;M;20060209;20060728;212000;A;V;VACANT LAND;;JC;;0;AC514557;
C;150;3057629;4;20060901 01:14;35/1061460;
D;150;3057629;4;20060901 01:14;P;;;;;;
D;150;3057629;4;20060901 01:14;P;;;;;;
D;150;3057629;4;20060901 01:14;V;;;;;;
D;150;3057629;4;20060901 01:14;V;;;;;;
B;150;3057633;5;20060901 01:14;;;4;MARBLEWOOD PL;BANGALOW;2479;597;M;20060519;20060811;178000;A;V;VACANT LAND;;JC;;0;AC542751;
C;150;3057633;5;20060901 01:14;39/1061460;
D;150;3057633;5;20060901 01:14;P;;;;;;
D;150;3057633;5;20060901 01:14;P;;;;;;
D;150;3057633;5;20060901 01:14;V;;;;;;
D;150;3057633;5;20060901 01:14;V;;;;;;
B;150;3119574;6;20060901 01:14;;;15;PALMER AVE;OCEAN SHORES;2483;720.1;M;20060123;20060724;170000;A;V;VACANT LAND;;HN;;0;AC511086;
C;150;3119574;6;20060901 01:14;122/1071573;
D;150;3119574;6;20060901 01:14;P;;;;;;
D;150;3119574;6;20060901 01:14;P;;;;;;
D;150;3119574;6;20060901 01:14;V;;;;;;
B;150;3149114;7;20060901 01:14;;1;55;CENTENNIAL CCT;BYRON BAY;2481;;;20060623;20060724;200000;;3;INDUSTRIAL;1;;;0;AC517451;
C;150;3149114;7;20060901 01:14;1/SP74335;
D;150;3149114;7;20060901 01:14;P;;;;;;
D;150;3149114;7;20060901 01:14;V;;;;;;
D;150;3149114;7;20060901 01:14;V;;;;;;
B;150;1666900;8;20060901 01:14;;2;;BRIGANTINE ST;BELONGIL;2481;;;20060711;20060814;412500;;3;FACTORY;2;;;0;AC548494;
C;150;1666900;8;20060901 01:14;2/SP55594;
D;150;1666900;8;20060901 01:14;P;;;;;;
D;150;1666900;8;20060901 01:14;V;;;;;;
D;150;1666900;8;20060901 01:14;V;;;;;;
B;150;1672349;9;20060901 01:14;;;154;LIGHTHOUSE RD;BYRON BAY;2481;758.8;M;20060214;20060418;3000000;A;R;RESIDENCE;;KW;;0;AC528025;
C;150;1672349;9;20060901 01:14;4/246401;
D;150;1672349;9;20060901 01:14;P;;;;;;
D;150;1672349;9;20060901 01:14;V;;;;;;
D;150;1672349;9;20060901 01:14;V;;;;;;
B;150;1677714;10;20060901 01:14;;;36;TONGARRA DR;OCEAN SHORES;2483;1050;M;20060713;20060816;630000;A;R;RESIDENCE;;HQ;;0;AC549096;
C;150;1677714;10;20060901 01:14;1763/246054;
D;150;1677714;10;20060901 01:14;P;;;;;;
D;150;1677714;10;20060901 01:14;V;;;;;;
B;150;1667253;11;20060901 01:14;;;11;BRUNSWICK TCE;MULLUMBIMBY;2482;642.08;M;20060704;20060808;422500;A;R;RESIDENCE;;HD;;0;AC546930;
C;150;1667253;11;20060901 01:14;1/303076 1/348317;
D;150;1667253;11;20060901 01:14;P;;;;;;
D;150;1667253;11;20060901 01:14;P;;;;;;
D;150;1667253;11;20060901 01:14;V;;;;;;
D;150;1667253;11;20060901 01:14;V;;;;;;
B;150;1677838;12;20060901 01:14;;;16;TWEED ST;BRUNSWICK HEADS;2483;470.02;M;20060327;20060427;550000;A;R;RESIDENCE;;HB;;0;AC517085;
C;150;1677838;12;20060901 01:14;C/380554;
D;150;1677838;12;20060901 01:14;P;;;;;;
D;150;1677838;12;20060901 01:14;P;;;;;;
D;150;1677838;12;20060901 01:14;P;;;;;;
D;150;1677838;12;20060901 01:14;P;;;;;;
D;150;1677838;12;20060901 01:14;V;;;;;;
D;150;1677838;12;20060901 01:14;V;;;;;;
