A;232;20050901 09:54;PDANN;
B;232;2611771;1;20050901 09:54;;;;"BALGILLO";NYNGAN;2825;7818.7;H;20050308;20050506;275000;R;R;RESIDENCE;;RR;;0;AB683355;
C;232;2611771;1;20050901 09:54;1/751329 5998/768863 6310/769166 Western Land Lease 782 Western Land L;
C;232;2611771;1;20050901 09:54;ease 620;
D;232;2611771;1;20050901 09:54;P;;;;;;
D;232;2611771;1;20050901 09:54;P;;;;;;
D;232;2611771;1;20050901 09:54;V;;;;;;
D;232;2611771;1;20050901 09:54;V;;;;;;
B;232;3196288;2;20050901 09:54;;;LOT4;CHARMWOOD;NYNGAN;2825;1052.606;H;20050513;20050701;646915;;3;FARM RURAL;;;;0;AB713633;
C;232;3196288;2;20050901 09:54;2/720281 4, 17, 29/755315 1, 2, 3/783943;
D;232;3196288;2;20050901 09:54;P;;;;;;
D;232;3196288;2;20050901 09:54;P;;;;;;
D;232;3196288;2;20050901 09:54;P;;;;;;
D;232;3196288;2;20050901 09:54;P;;;;;;
D;232;3196288;2;20050901 09:54;V;;;;;;
D;232;3196288;2;20050901 09:54;V;;;;;;
Z;17;2;3;10;
