A;247;20070701 01:22;VALNET;
B;247;2656446;1;20070701 01:22;;;;HOLMES ST;GWABEGAR;2356;1214;M;20070428;20070605;300;Z;V;VACANT LAND;;ZG;;0;AD186948;
C;247;2656446;1;20070701 01:22;;
D;247;2656446;1;20070701 01:22;P;;;;;;
D;247;2656446;1;20070701 01:22;P;;;;;;
D;247;2656446;1;20070701 01:22;V;;;;;;
B;247;2656453;2;20070701 01:22;;;;MONASH ST;GWABEGAR;2356;1056;M;20070306;20070605;6600;Z;R;RESIDENCE;;ZG;;0;AD186920;
C;247;2656453;2;20070701 01:22;;
D;247;2656453;2;20070701 01:22;P;;;;;;
D;247;2656453;2;20070701 01:22;P;;;;;;
D;247;2656453;2;20070701 01:22;V;;;;;;
B;247;2656457;3;20070701 01:22;;;;ROSENTHAL ST;GWABEGAR;2356;1214;M;20070428;20070612;100;Z;V;VACANT LAND;;ZG;;0;AD198128;
C;247;2656457;3;20070701 01:22;18/8/758498;
D;247;2656457;3;20070701 01:22;P;;;;;;
D;247;2656457;3;20070701 01:22;V;;;;;;
B;247;2654435;4;20070701 01:22;;;;BELAR ST;BELLATA;2397;2231;M;20070428;20070607;1250;Z;V;VACANT LAND;;ZB;;0;AD190048;
C;247;2654435;4;20070701 01:22;19/13/758081;
D;247;2654435;4;20070701 01:22;P;;;;;;
D;247;2654435;4;20070701 01:22;V;;;;;;
B;247;2657186;5;20070701 01:22;;;151;ROSE ST;WEE WAA;2388;992.7;M;20070330;20070511;70000;A;R;RESIDENCE;;AW;;0;AD180878;
C;247;2657186;5;20070701 01:22;A/356555;
D;247;2657186;5;20070701 01:22;P;;;;;;
D;247;2657186;5;20070701 01:22;V;;;;;;
D;247;2657186;5;20070701 01:22;V;;;;;;
B;247;2657768;6;20070701 01:22;;;1;BARWAN ST;NARRABRI;2390;1012;M;20070416;20070608;285000;A;R;RESIDENCE;;NC;;0;AD200002;
C;247;2657768;6;20070701 01:22;8/9339;
D;247;2657768;6;20070701 01:22;P;;;;;;
D;247;2657768;6;20070701 01:22;P;;;;;;
D;247;2657768;6;20070701 01:22;V;;;;;;
D;247;2657768;6;20070701 01:22;V;;;;;;
B;247;2658089;7;20070701 01:22;;;24;DELANEY AVE;NARRABRI;2390;980.1;M;20070514;20070601;198000;A;3;FLATS;;NB;;0;AD185661;
C;247;2658089;7;20070701 01:22;2/224103;
D;247;2658089;7;20070701 01:22;P;;;;;;
D;247;2658089;7;20070701 01:22;V;;;;;;
B;247;2655667;8;20070701 01:22;COOLIBAH;;338;KAPUTAR RD;NARRABRI;2390;4;H;20070406;20070408;375000;R;3;FARM;;RR;;0;AD188185;
C;247;2655667;8;20070701 01:22;1/845506;
D;247;2655667;8;20070701 01:22;P;;;;;;
