A;539;20071116 01:40;VALNET;
B;539;456138;1;20071116 01:40;;;23;CAROLYN JACKSON DR;JERRABOMBERRA;2619;890.8;M;20070927;20071005;620000;A;R;RESIDENCE;;DN;;0;AD533507;
C;539;456138;1;20071116 01:40;320/832843;
D;539;456138;1;20071116 01:40;P;;;;;;
D;539;456138;1;20071116 01:40;V;;;;;;
B;539;456268;2;20071116 01:40;;;14;CARWOOLA PL;QUEANBEYAN EAST;2620;604;M;20070808;20070910;359900;A;R;RESIDENCE;;AW;;0;AD516226;
C;539;456268;2;20071116 01:40;14/248078;
D;539;456268;2;20071116 01:40;P;;;;;;
D;539;456268;2;20071116 01:40;V;;;;;;
B;539;453683;3;20071116 01:40;;;14;ALFRED PL;KARABAR;2620;719.9;M;20070919;20071023;367500;A;R;RESIDENCE;;HT;;0;AD531378;
C;539;453683;3;20071116 01:40;7/264007;
D;539;453683;3;20071116 01:40;P;;;;;;
D;539;453683;3;20071116 01:40;P;;;;;;
D;539;453683;3;20071116 01:40;V;;;;;;
B;539;453835;4;20071116 01:40;;3;38;ANTILL ST;QUEANBEYAN;2620;;;20070904;20071019;199000;;R;RESIDENCE;3;;;0;AD528245;
C;539;453835;4;20071116 01:40;3/SP39748;
D;539;453835;4;20071116 01:40;P;;;;;;
D;539;453835;4;20071116 01:40;V;;;;;;
B;539;453835;5;20071116 01:40;;5;38 A;ANTILL ST;QUEANBEYAN;2620;;;20070810;20071019;135000;;R;RESIDENCE;5;;;0;AD531865;
C;539;453835;5;20071116 01:40;5/SP39748;
D;539;453835;5;20071116 01:40;P;;;;;;
D;539;453835;5;20071116 01:40;V;;;;;;
B;539;453860;6;20071116 01:40;;;5;APPLEBOX PL;JERRABOMBERRA;2619;765.9;M;20070911;20071023;558000;A;R;RESIDENCE;;DJ;;0;AD539602;
C;539;453860;6;20071116 01:40;39/882773;
D;539;453860;6;20071116 01:40;P;;;;;;
D;539;453860;6;20071116 01:40;P;;;;;;
D;539;453860;6;20071116 01:40;V;;;;;;
D;539;453860;6;20071116 01:40;V;;;;;;
B;539;454353;7;20071116 01:40;;;12;BASS ST;QUEANBEYAN EAST;2620;4047;M;20070703;20070703;625000;I;3;INDUSTRIAL;;MC;;0;AD515888;
C;539;454353;7;20071116 01:40;15/246638;
D;539;454353;7;20071116 01:40;P;;;;;;
D;539;454353;7;20071116 01:40;P;;;;;;
D;539;454353;7;20071116 01:40;V;;;;;;
D;539;454353;7;20071116 01:40;V;;;;;;
B;539;454355;8;20071116 01:40;;;8;BASS ST;QUEANBEYAN EAST;2620;2023;M;20070703;20070703;245000;I;3;INDUSTRIAL;;MD;;0;AD515837;
C;539;454355;8;20071116 01:40;13/246638;
D;539;454355;8;20071116 01:40;P;;;;;;
D;539;454355;8;20071116 01:40;P;;;;;;
D;539;454355;8;20071116 01:40;V;;;;;;
B;539;454753;9;20071116 01:40;;;3;BILKURRA ST;QUEANBEYAN WEST;2620;650.1;M;20070914;20071012;429000;A;R;RESIDENCE;;HT;;0;AD520850;
C;539;454753;9;20071116 01:40;45/715060;
D;539;454753;9;20071116 01:40;P;;;;;;
D;539;454753;9;20071116 01:40;V;;;;;;
D;539;454753;9;20071116 01:40;V;;;;;;
B;539;454763;10;20071116 01:40;;;23;BILKURRA ST;QUEANBEYAN WEST;2620;650.1;M;20070917;20071017;280000;A;R;RESIDENCE;;HT;;0;AD524628;
C;539;454763;10;20071116 01:40;55/715060;
D;539;454763;10;20071116 01:40;P;;;;;;
D;539;454763;10;20071116 01:40;V;;;;;;
D;539;454763;10;20071116 01:40;V;;;;;;
B;539;454981;11;20071116 01:40;;11;10;BOOTH ST;QUEANBEYAN EAST;2620;;;20070913;20071015;300000;;R;RESIDENCE;11;;;0;AD521644;
C;539;454981;11;20071116 01:40;11/SP30562;
D;539;454981;11;20071116 01:40;P;;;;;;
D;539;454981;11;20071116 01:40;V;;;;;;
B;539;455599;12;20071116 01:40;;9;11;BUTTLE ST;QUEANBEYAN EAST;2620;;;20070825;20070924;127500;;R;RESIDENCE;9;;;0;AD540654;
C;539;455599;12;20071116 01:40;9/SP11085;
