A;013;20111003 02:06;VALNET;
B;013;318308;1;20111003 02:07;;;126;GREEN POINT DR;GREEN POINT;2428;613.4;M;20110805;20110916;230000;A;R;RESIDENCE;;DM;;0;AG509606;
C;013;318308;1;20111003 02:07;295/31825;
D;013;318308;1;20111003 02:07;P;;;;;;
D;013;318308;1;20111003 02:07;P;;;;;;
D;013;318308;1;20111003 02:07;V;;;;;;
B;013;315757;2;20111003 02:07;;;122;SOUTH ST;TUNCURRY;2428;540;M;20110621;20110826;370000;A;R;RESIDENCE;;AA;;0;AG480534;
C;013;315757;2;20111003 02:07;19/729767;
D;013;315757;2;20111003 02:07;P;;;;;;
D;013;315757;2;20111003 02:07;P;;;;;;
D;013;315757;2;20111003 02:07;V;;;;;;
D;013;315757;2;20111003 02:07;V;;;;;;
B;013;313250;3;20111003 02:07;;7;11;BAIRD ST;TUNCURRY;2428;;;20110815;20110909;175000;;R;RESIDENCE;7;;;0;AG507812;
C;013;313250;3;20111003 02:07;7/SP9109;
D;013;313250;3;20111003 02:07;P;;;;;;
D;013;313250;3;20111003 02:07;V;;;;;;
B;013;316045;4;20111003 02:07;;21;8;TAREE ST;TUNCURRY;2428;;;20110920;20110920;210000;;3;;21;;;0;AG518931;
C;013;316045;4;20111003 02:07;21/SP11732;
D;013;316045;4;20111003 02:07;P;;;;;;
D;013;316045;4;20111003 02:07;P;;;;;;
D;013;316045;4;20111003 02:07;V;;;;;;
D;013;316045;4;20111003 02:07;V;;;;;;
B;013;326466;5;20111003 02:07;;;;SYLVANIA RD;THE BRANCH;2425;4.047;H;20110701;20110707;85000;R;V;VACANT LAND;;RX;;0;AG509222;
C;013;326466;5;20111003 02:07;120/12013;
D;013;326466;5;20111003 02:07;P;;;;;;
D;013;326466;5;20111003 02:07;P;;;;;;
D;013;326466;5;20111003 02:07;V;;;;;;
D;013;326466;5;20111003 02:07;V;;;;;;
B;013;320398;6;20111003 02:07;;;166;AMAROO DR;SMITHS LAKE;2428;657.6;M;20110726;20110916;93500;A;V;VACANT LAND;;VJ;;0;AG514395;
C;013;320398;6;20111003 02:07;51/237259;
D;013;320398;6;20111003 02:07;P;;;;;;
D;013;320398;6;20111003 02:07;P;;;;;;
D;013;320398;6;20111003 02:07;V;;;;;;
B;013;321090;7;20111003 02:07;;;60;THE JACK;SMITHS LAKE;2428;561;M;20110816;20110915;315000;A;R;RESIDENCE;;VK;;0;AG509573;
C;013;321090;7;20111003 02:07;53/263325;
D;013;321090;7;20111003 02:07;P;;;;;;
D;013;321090;7;20111003 02:07;V;;;;;;
D;013;321090;7;20111003 02:07;V;;;;;;
B;013;329151;8;20111003 02:07;;;1450;BOORAL RD;GIRVAN;2425;124.4;H;20110805;20110916;580000;R;3;FARM/RURAL;;TP;;0;AG505489;
C;013;329151;8;20111003 02:07;4/805117;
D;013;329151;8;20111003 02:07;P;;;;;;
D;013;329151;8;20111003 02:07;V;;;;;;
B;013;315777;9;20111003 02:07;;1;66;SOUTH ST;TUNCURRY;2428;237;M;20110915;20110915;140000;;R;RESIDENCE;1;;;0;AG512920;
C;013;315777;9;20111003 02:07;1/SP65955;
D;013;315777;9;20111003 02:07;P;;;;;;
D;013;315777;9;20111003 02:07;V;;;;;;
D;013;315777;9;20111003 02:07;V;;;;;;
D;013;315777;9;20111003 02:07;V;;;;;;
D;013;315777;9;20111003 02:07;V;;;;;;
D;013;315777;9;20111003 02:07;V;;;;;;
D;013;315777;9;20111003 02:07;V;;;;;;
D;013;315777;9;20111003 02:07;V;;;;;;
B;013;3602858;10;20111003 02:07;;;1227;PACIFIC HWY;COOLONGOLOOK;2423;4.205;H;20110709;20110905;35000;;V;VACANT LAND;;;;0;AG498264;
C;013;3602858;10;20111003 02:07;21/883052;
D;013;3602858;10;20111003 02:07;P;;;;;;
D;013;3602858;10;20111003 02:07;P;;;;;;
D;013;3602858;10;20111003 02:07;V;;;;;;
B;013;3188231;11;20111003 02:07;;;10;ROBUR CT;TUNCURRY;2428;730;M;20110909;20110909;450000;A;R;RESIDENCE;;AA;;0;AG504828;
C;013;3188231;11;20111003 02:07;60/881815;
D;013;3188231;11;20111003 02:07;P;;;;;;
D;013;3188231;11;20111003 02:07;P;;;;;;
D;013;3188231;11;20111003 02:07;V;;;;;;
B;013;306556;12;20111003 02:07;;1;52;BRECKENRIDGE ST;FORSTER;2428;;;20110809;20110915;179000;;R;RESIDENCE;1;;;0;AG513021;
C;013;306556;12;20111003 02:07;1/SP8488;
D;013;306556;12;20111003 02:07;P;;;;;;
D;013;306556;12;20111003 02:07;V;;;;;;
D;013;306556;12;20111003 02:07;V;;;;;;
D;013;306556;12;20111003 02:07;V;;;;;;
D;013;306556;12;20111003 02:07;V;;;;;;
D;013;306556;12;20111003 02:07;V;;;;;;
D;013;306556;12;20111003 02:07;V;;;;;;
D;013;306556;12;20111003 02:07;V;;;;;;
D;013;306556;12;20111003 02:07;V;;;;;;
D;013;306556;12;20111003 02:07;V;;;;;;
D;013;306556;12;20111003 02:07;V;;;;;;
D;013;306556;12;20111003 02:07;V;;;;;;
D;013;306556;12;20111003 02:07;V;;;;;;
D;013;306556;12;20111003 02:07;V;;;;;;
D;013;306556;12;20111003 02:07;V;;;;;;
D;013;306556;12;20111003 02:07;V;;;;;;
B;013;306556;13;20111003 02:07;;2;52;BRECKENRIDGE ST;FORSTER;2428;;;20110809;20110915;175000;;R;RESIDENCE;2;;;0;AG513022;
C;013;306556;13;20111003 02:07;2/SP8488;
D;013;306556;13;20111003 02:07;P;;;;;;
D;013;306556;13;20111003 02:07;V;;;;;;
D;013;306556;13;20111003 02:07;V;;;;;;
D;013;306556;13;20111003 02:07;V;;;;;;
D;013;306556;13;20111003 02:07;V;;;;;;
D;013;306556;13;20111003 02:07;V;;;;;;
D;013;306556;13;20111003 02:07;V;;;;;;
D;013;306556;13;20111003 02:07;V;;;;;;
D;013;306556;13;20111003 02:07;V;;;;;;
D;013;306556;13;20111003 02:07;V;;;;;;
D;013;306556;13;20111003 02:07;V;;;;;;
D;013;306556;13;20111003 02:07;V;;;;;;
D;013;306556;13;20111003 02:07;V;;;;;;
D;013;306556;13;20111003 02:07;V;;;;;;
D;013;306556;13;20111003 02:07;V;;;;;;
D;013;306556;13;20111003 02:07;V;;;;;;
B;013;310808;14;20111003 02:07;;;23;PINDARI RD;FORSTER;2428;739.8;M;20110728;20110901;326000;A;R;RESIDENCE;;DN;;0;AG513191;
C;013;310808;14;20111003 02:07;16/235554;
D;013;310808;14;20111003 02:07;P;;;;;;
D;013;310808;14;20111003 02:07;V;;;;;;
D;013;310808;14;20111003 02:07;V;;;;;;
B;013;311253;15;20111003 02:07;;1;58;SHORT ST;FORSTER;2428;;;20110805;20110920;197000;;R;RESIDENCE;1;;;0;AG514844;
C;013;311253;15;20111003 02:07;1/SP18544;
D;013;311253;15;20111003 02:07;P;;;;;;
D;013;311253;15;20111003 02:07;V;;;;;;
