A;093;20110711 04:35;VALNET;
B;093;3394557;1;20110711 04:35;;1106;4;DAYDREAM ST;WARRIEWOOD;2102;;;20110420;20110622;3300000;;3;CHILD MINDING;8;;;0;AG339958;
C;093;3394557;1;20110711 04:35;8/SP80638;
D;093;3394557;1;20110711 04:35;P;;;;;;
D;093;3394557;1;20110711 04:35;P;;;;;;
D;093;3394557;1;20110711 04:35;V;;;;;;
B;093;3394557;2;20110711 04:35;;1107;4;DAYDREAM ST;WARRIEWOOD;2102;;;20110420;20110622;3300000;;3;CHILD MINDING;9;;;0;AG339958;
C;093;3394557;2;20110711 04:35;9/SP80638;
D;093;3394557;2;20110711 04:35;P;;;;;;
D;093;3394557;2;20110711 04:35;P;;;;;;
D;093;3394557;2;20110711 04:35;V;;;;;;
B;093;3394557;3;20110711 04:35;;1108;4;DAYDREAM ST;WARRIEWOOD;2102;;;20110420;20110622;3300000;;3;CHILD MINDING;10;;;0;AG339958;
C;093;3394557;3;20110711 04:35;10/SP80638;
D;093;3394557;3;20110711 04:35;P;;;;;;
D;093;3394557;3;20110711 04:35;P;;;;;;
D;093;3394557;3;20110711 04:35;V;;;;;;
B;093;3394557;4;20110711 04:35;;1109;4;DAYDREAM ST;WARRIEWOOD;2102;;;20110420;20110622;3300000;;3;CHILD MINDING;11;;;0;AG339958;
C;093;3394557;4;20110711 04:35;11/SP80638;
D;093;3394557;4;20110711 04:35;P;;;;;;
D;093;3394557;4;20110711 04:35;P;;;;;;
D;093;3394557;4;20110711 04:35;V;;;;;;
B;093;3394557;5;20110711 04:35;;4402;4;DAYDREAM ST;WARRIEWOOD;2102;;;20110201;20110630;170000;;3;COMMERICAL;103;;;0;AG346919;
C;093;3394557;5;20110711 04:35;103/SP80640;
D;093;3394557;5;20110711 04:35;P;;;;;;
D;093;3394557;5;20110711 04:35;P;;;;;;
D;093;3394557;5;20110711 04:35;V;;;;;;
B;093;3085407;6;20110711 04:35;;;41;WATERGUM DR;WARRIEWOOD;2102;450;M;20101005;20110211;1185000;A;R;RESIDENCE;;HB;;0;AG339216;
C;093;3085407;6;20110711 04:35;50/270385;
D;093;3085407;6;20110711 04:35;P;;;;;;
D;093;3085407;6;20110711 04:35;P;;;;;;
D;093;3085407;6;20110711 04:35;V;;;;;;
B;093;3546858;7;20110711 04:35;;14;1927;PITTWATER RD;BAYVIEW;2104;;;20110325;20110506;2700000;;R;RESIDENCE;14;;;0;AG329914;
C;093;3546858;7;20110711 04:35;14/SP83997;
D;093;3546858;7;20110711 04:35;P;;;;;;
D;093;3546858;7;20110711 04:35;V;;;;;;
D;093;3546858;7;20110711 04:35;V;;;;;;
B;093;3565500;8;20110711 04:35;;2;332;BARRENJOEY RD;NEWPORT;2106;;;20070910;20110609;545000;;R;RESIDENCE;3;;;0;AG325871;
C;093;3565500;8;20110711 04:35;3/SP85013;
D;093;3565500;8;20110711 04:35;P;;;;;;
D;093;3565500;8;20110711 04:35;V;;;;;;
D;093;3565500;8;20110711 04:35;V;;;;;;
D;093;3565500;8;20110711 04:35;V;;;;;;
B;093;986895;9;20110711 04:35;;;38;KANIMBLA CRES;BILGOLA;2107;714.5;M;20110401;20110628;990000;A;R;RESIDENCE;;HN;;0;AG335994;
C;093;986895;9;20110711 04:35;109/29010;
D;093;986895;9;20110711 04:35;P;;;;;;
D;093;986895;9;20110711 04:35;P;;;;;;
D;093;986895;9;20110711 04:35;V;;;;;;
B;093;992114;10;20110711 04:35;;;112;PLATEAU RD;BILGOLA;2107;689.2;M;20110527;20110627;1220000;A;R;RESIDENCE;;HN;;0;AG335205;
C;093;992114;10;20110711 04:35;29/12838;
D;093;992114;10;20110711 04:35;P;;;;;;
D;093;992114;10;20110711 04:35;P;;;;;;
D;093;992114;10;20110711 04:35;V;;;;;;
D;093;992114;10;20110711 04:35;V;;;;;;
B;093;984256;11;20110711 04:35;;6;12;GLADSTONE ST;NEWPORT;2106;;;20110516;20110627;490000;;R;RESIDENCE;6;;;0;AG333127;
C;093;984256;11;20110711 04:35;6/SP3654;
D;093;984256;11;20110711 04:35;P;;;;;;
D;093;984256;11;20110711 04:35;P;;;;;;
D;093;984256;11;20110711 04:35;V;;;;;;
B;093;987017;12;20110711 04:35;;;18;KATRINA AVE;MONA VALE;2103;700;M;20110223;20110608;885000;A;R;RESIDENCE;;HC;;0;AG329203;
C;093;987017;12;20110711 04:35;4/253694;
D;093;987017;12;20110711 04:35;P;;;;;;
D;093;987017;12;20110711 04:35;P;;;;;;
D;093;987017;12;20110711 04:35;V;;;;;;
D;093;987017;12;20110711 04:35;V;;;;;;
B;093;997706;13;20110711 04:35;;;36;WATKINS RD;AVALON;2107;1524;M;20110418;20110627;2570000;A;R;RESIDENCE;;HD;;0;AG337242;
C;093;997706;13;20110711 04:35;31/21756;
D;093;997706;13;20110711 04:35;P;;;;;;
D;093;997706;13;20110711 04:35;V;;;;;;
D;093;997706;13;20110711 04:35;V;;;;;;
B;093;997787;14;20110711 04:35;;;10;WESLEY ST;ELANORA HEIGHTS;2101;771.4;M;20110504;20110615;825000;A;R;RESIDENCE;;HF;;0;AG325447;
C;093;997787;14;20110711 04:35;50/30255;
D;093;997787;14;20110711 04:35;P;;;;;;
D;093;997787;14;20110711 04:35;P;;;;;;
D;093;997787;14;20110711 04:35;V;;;;;;
B;093;995703;15;20110711 04:35;;;27;TATIARA CRES;NORTH NARRABEEN;2101;575.4;M;20110527;20110701;760000;A;R;RESIDENCE;;HF;;0;AG349175;
C;093;995703;15;20110711 04:35;324/534312;
D;093;995703;15;20110711 04:35;P;;;;;;
D;093;995703;15;20110711 04:35;P;;;;;;
D;093;995703;15;20110711 04:35;V;;;;;;
B;093;977122;16;20110711 04:35;;6;5;AVALON PDE;AVALON;2107;;;20110514;20110624;790000;;R;RESIDENCE;6;;;0;AG333590;
C;093;977122;16;20110711 04:35;6/SP1558;
D;093;977122;16;20110711 04:35;P;;;;;;
D;093;977122;16;20110711 04:35;P;;;;;;
D;093;977122;16;20110711 04:35;V;;;;;;
B;093;977396;17;20110711 04:35;;;92;AVALON PDE;AVALON;2107;891.6;M;20110511;20110627;2100000;A;R;RESIDENCE;;HM;;0;AG326028;
C;093;977396;17;20110711 04:35;6/11545;
D;093;977396;17;20110711 04:35;P;;;;;;
D;093;977396;17;20110711 04:35;P;;;;;;
D;093;977396;17;20110711 04:35;V;;;;;;
D;093;977396;17;20110711 04:35;V;;;;;;
B;093;979946;18;20110711 04:35;;;16;BUNGAN ST;MONA VALE;2103;146.8;M;20110421;20110621;1300000;B;3;SHOP;;CL;;0;AG327052;
C;093;979946;18;20110711 04:35;2/700276;
D;093;979946;18;20110711 04:35;P;;;;;;
D;093;979946;18;20110711 04:35;V;;;;;;
B;093;990754;19;20110711 04:35;;;104;PACIFIC RD;PALM BEACH;2108;929.5;M;20110601;20110621;1500000;A;R;RESIDENCE;;HV;;0;AG321713;
C;093;990754;19;20110711 04:35;3/3/13780;
D;093;990754;19;20110711 04:35;P;;;;;;
D;093;990754;19;20110711 04:35;P;;;;;;
D;093;990754;19;20110711 04:35;V;;;;;;
D;093;990754;19;20110711 04:35;V;;;;;;
B;093;996206;20;20110711 04:35;;;25;THE SERPENTINE;BILGOLA;2107;619.7;M;20110411;20110524;2400000;A;R;RESIDENCE;;KB;;0;AG329439;
C;093;996206;20;20110711 04:35;76/16393;
D;093;996206;20;20110711 04:35;P;;;;;;
D;093;996206;20;20110711 04:35;P;;;;;;
D;093;996206;20;20110711 04:35;V;;;;;;
B;093;977744;21;20110711 04:35;;;4;BEACH RD;PALM BEACH;2108;651.3;M;20110512;20110627;2250000;A;R;RESIDENCE;;HV;;0;AG334694;
C;093;977744;21;20110711 04:35;4/11552;
D;093;977744;21;20110711 04:35;P;;;;;;
D;093;977744;21;20110711 04:35;P;;;;;;
D;093;977744;21;20110711 04:35;V;;;;;;
D;093;977744;21;20110711 04:35;V;;;;;;
D;093;977744;21;20110711 04:35;V;;;;;;
B;093;977938;22;20110711 04:35;;;784;BARRENJOEY RD;PALM BEACH;2108;1189;M;20110421;20110628;850000;A;R;RESIDENCE;;HV;;0;AG343558;
C;093;977938;22;20110711 04:35;A/366406;
D;093;977938;22;20110711 04:35;P;;;;;;
D;093;977938;22;20110711 04:35;P;;;;;;
D;093;977938;22;20110711 04:35;V;;;;;;
D;093;977938;22;20110711 04:35;V;;;;;;
B;093;994033;23;20110711 04:35;;;57 A;SAMUEL ST;MONA VALE;2103;708.2;M;20110404;20110627;830000;A;R;RESIDENCE;;HC;;0;AG332715;
C;093;994033;23;20110711 04:35;18/551233;
D;093;994033;23;20110711 04:35;P;;;;;;
D;093;994033;23;20110711 04:35;P;;;;;;
D;093;994033;23;20110711 04:35;V;;;;;;
D;093;994033;23;20110711 04:35;V;;;;;;
Z;125;23;23;77;
