A;013;20111024 06:45;VALNET;
B;013;318570;1;20111024 06:46;;;36;ALBATROSS AVE;HAWKS NEST;2324;556.4;M;20110901;20111013;287500;A;R;RESIDENCE;;CG;;0;AG560861;
C;013;318570;1;20111024 06:46;4/235299;
D;013;318570;1;20111024 06:46;P;;;;;;
D;013;318570;1;20111024 06:46;P;;;;;;
D;013;318570;1;20111024 06:46;P;;;;;;
D;013;318570;1;20111024 06:46;P;;;;;;
D;013;318570;1;20111024 06:46;V;;;;;;
D;013;318570;1;20111024 06:46;V;;;;;;
B;013;315998;2;20111024 06:46;;9;24;TAREE ST;TUNCURRY;2428;;;20110727;20110928;195000;;R;RESIDENCE;9;;;0;AG545024;
C;013;315998;2;20111024 06:46;9/SP17977;
D;013;315998;2;20111024 06:46;P;;;;;;
D;013;315998;2;20111024 06:46;V;;;;;;
B;013;325853;3;20111024 06:46;KIT'N KABOODLE RESTAUARANT;;72;CLARKSON ST;NABIAC;2312;386.9;M;20110315;20110915;362000;A;3;COMMERCIAL;;AS;;0;AG549761;
C;013;325853;3;20111024 06:46;781/996773;
D;013;325853;3;20111024 06:46;P;;;;;;
D;013;325853;3;20111024 06:46;V;;;;;;
B;013;326237;4;20111024 06:47;;;25;PLEASANT VIEW PDE;BUNDABAH;2324;1688;M;20110913;20111011;380000;A;R;RESIDENCE;;VB;;0;AG556543;
C;013;326237;4;20111024 06:47;5/1/10915;
D;013;326237;4;20111024 06:47;P;;;;;;
D;013;326237;4;20111024 06:47;P;;;;;;
D;013;326237;4;20111024 06:47;V;;;;;;
B;013;320647;5;20111024 06:48;;;22;LYN CRES;SMITHS LAKE;2428;550.1;M;20110825;20110922;412000;A;R;RESIDENCE;;VK;;0;AG558590;
C;013;320647;5;20111024 06:48;15/32208;
D;013;320647;5;20111024 06:48;P;;;;;;
D;013;320647;5;20111024 06:48;P;;;;;;
D;013;320647;5;20111024 06:48;V;;;;;;
D;013;320647;5;20111024 06:48;V;;;;;;
B;013;325694;6;20111024 06:48;;;18;ALMA ST;COOLONGOLOOK;2423;2023;M;20110826;20111010;10500;R;V;VACANT LAND;;QN;;0;AG560645;
C;013;325694;6;20111024 06:48;1/8/758278;
D;013;325694;6;20111024 06:48;P;;;;;;
D;013;325694;6;20111024 06:48;V;;;;;;
D;013;325694;6;20111024 06:48;V;;;;;;
B;013;2957539;7;20111024 06:49;;2;23;BUDGEREE ST;TEA GARDENS;2324;318.3;M;20110705;20110805;230000;A;R;RESIDENCE;;AV;;0;AG446012;
C;013;2957539;7;20111024 06:49;242/1048097;
D;013;2957539;7;20111024 06:49;P;;;;;;
D;013;2957539;7;20111024 06:49;V;;;;;;
D;013;2957539;7;20111024 06:49;V;;;;;;
B;013;3395419;8;20111024 06:49;;;1440;THE LAKES WAY;BUNGWAHL;2423;40.45;H;20110909;20110923;900000;R;R;RESIDENCE;;PF;;0;AG556496;
C;013;3395419;8;20111024 06:49;35/753205;
D;013;3395419;8;20111024 06:49;P;;;;;;
D;013;3395419;8;20111024 06:49;P;;;;;;
D;013;3395419;8;20111024 06:49;V;;;;;;
D;013;3395419;8;20111024 06:49;V;;;;;;
B;013;3383513;9;20111024 06:49;;;52;WIRRANA CCT;FORSTER;2428;577.7;M;20110908;20111006;110000;A;V;VACANT LAND;;AG;;0;AG550453;
C;013;3383513;9;20111024 06:49;976/1090636;
D;013;3383513;9;20111024 06:49;P;;;;;;
D;013;3383513;9;20111024 06:49;P;;;;;;
D;013;3383513;9;20111024 06:49;V;;;;;;
D;013;3383513;9;20111024 06:49;V;;;;;;
B;013;3516356;10;20111024 06:49;;;68;WHIMBREL DR;NERONG;2423;1060;M;20110610;20111007;705000;A;R;RESIDENCE;;WN;;0;AG554907;
C;013;3516356;10;20111024 06:49;2/286304;
D;013;3516356;10;20111024 06:49;P;;;;;;
D;013;3516356;10;20111024 06:49;P;;;;;;
D;013;3516356;10;20111024 06:49;V;;;;;;
D;013;3516356;10;20111024 06:49;V;;;;;;
B;013;3516357;11;20111024 06:49;;;68 A;WHIMBREL DR;NERONG;2423;449.8;M;20110610;20111007;705000;A;R;RESIDENCE;;WN;;0;AG554907;
C;013;3516357;11;20111024 06:49;3/286304;
D;013;3516357;11;20111024 06:49;P;;;;;;
D;013;3516357;11;20111024 06:49;P;;;;;;
D;013;3516357;11;20111024 06:49;V;;;;;;
D;013;3516357;11;20111024 06:49;V;;;;;;
B;013;3606044;12;20111024 06:49;;;;MASSIE CRES;TUNCURRY;2428;3150;M;20110916;20110916;6930;;V;VACANT LAND;;;;0;AG545476;
C;013;3606044;12;20111024 06:49;;
D;013;3606044;12;20111024 06:49;P;;;;;;
D;013;3606044;12;20111024 06:49;P;;;;;;
D;013;3606044;12;20111024 06:49;V;;;;;;
B;013;3602468;13;20111024 06:49;;;35 A;JACARANDA AVE;ELIZABETH BEACH;2428;927;M;20110204;20111011;370000;A;R;RESIDENCE;;VU;;0;AG559440;
C;013;3602468;13;20111024 06:49;2/1168900;
D;013;3602468;13;20111024 06:49;P;;;;;;
D;013;3602468;13;20111024 06:49;V;;;;;;
D;013;3602468;13;20111024 06:49;V;;;;;;
B;013;308492;14;20111024 06:50;;5;26;HEAD ST;FORSTER;2428;;;20110822;20111004;240000;;R;RESIDENCE;5;;;0;AG545084;
C;013;308492;14;20111024 06:50;5/SP22956;
D;013;308492;14;20111024 06:50;P;;;;;;
D;013;308492;14;20111024 06:50;P;;;;;;
D;013;308492;14;20111024 06:50;V;;;;;;
D;013;308492;14;20111024 06:50;V;;;;;;
B;013;305890;15;20111024 06:50;;;68;AMANDA CRES;FORSTER;2428;800;M;20110628;20111004;425000;A;R;RESIDENCE;;DK;;0;AG555519;
C;013;305890;15;20111024 06:50;27/865690;
D;013;305890;15;20111024 06:50;P;;;;;;
D;013;305890;15;20111024 06:50;V;;;;;;
B;013;307879;16;20111024 06:52;;;5;GLENEON DR;FORSTER;2428;826.6;M;20110819;20110930;325000;A;R;RESIDENCE;;DN;;0;AG565472;
C;013;307879;16;20111024 06:52;11/800751;
D;013;307879;16;20111024 06:52;P;;;;;;
D;013;307879;16;20111024 06:52;P;;;;;;
D;013;307879;16;20111024 06:52;V;;;;;;
D;013;307879;16;20111024 06:52;V;;;;;;
B;013;313653;17;20111024 06:52;;7;4;CATHERINE ST;TUNCURRY;2428;;;20110630;20110630;120000;;R;RESIDENCE;7;;;0;AG355873;
C;013;313653;17;20111024 06:52;7/SP34230;
D;013;313653;17;20111024 06:52;P;;;;;;
D;013;313653;17;20111024 06:52;P;;;;;;
D;013;313653;17;20111024 06:52;P;;;;;;
D;013;313653;17;20111024 06:52;V;;;;;;
D;013;313653;17;20111024 06:52;V;;;;;;
D;013;313653;17;20111024 06:52;V;;;;;;
B;013;316686;18;20111024 06:53;;;35;BELBOURIE CRES;BOOMERANG BEACH;2428;757.1;M;20110823;20111004;420000;A;R;RESIDENCE;;VS;;0;AG559411;
C;013;316686;18;20111024 06:53;24/849335;
D;013;316686;18;20111024 06:53;P;;;;;;
D;013;316686;18;20111024 06:53;P;;;;;;
