A;141;20110718 07:37;VALNET;
B;141;2893101;1;20110718 07:37;;7;6;BOWNS RD;KOGARAH;2217;;;20110521;20110704;545000;;R;RESIDENCE;7;;;0;AG357643;
C;141;2893101;1;20110718 07:37;7/SP66864;
D;141;2893101;1;20110718 07:37;P;;;;;;
D;141;2893101;1;20110718 07:37;P;;;;;;
D;141;2893101;1;20110718 07:37;V;;;;;;
D;141;2893101;1;20110718 07:37;V;;;;;;
B;141;3415969;2;20110718 07:37;;;13;TAVISTOCK RD;SOUTH HURSTVILLE;2221;;;20110518;20110624;858000;;R;RESIDENCE;2;;;0;AG340596;
C;141;3415969;2;20110718 07:37;2/SP81389;
D;141;3415969;2;20110718 07:37;P;;;;;;
D;141;3415969;2;20110718 07:37;P;;;;;;
D;141;3415969;2;20110718 07:37;V;;;;;;
D;141;3415969;2;20110718 07:37;V;;;;;;
B;141;3502239;3;20110718 07:37;;4;52;GRAY ST;KOGARAH;2217;;;20110523;20110704;520000;;R;RESIDENCE;4;;;0;AG353871;
C;141;3502239;3;20110718 07:37;4/SP83404;
D;141;3502239;3;20110718 07:37;P;;;;;;
D;141;3502239;3;20110718 07:37;P;;;;;;
D;141;3502239;3;20110718 07:37;V;;;;;;
D;141;3502239;3;20110718 07:37;V;;;;;;
B;141;3231296;4;20110718 07:37;;1;40;WOIDS AVE;ALLAWAH;2218;;;20110430;20110627;528000;;R;RESIDENCE;1;;;0;AG337692;
C;141;3231296;4;20110718 07:37;1/SP76455;
D;141;3231296;4;20110718 07:37;P;;;;;;
D;141;3231296;4;20110718 07:37;P;;;;;;
D;141;3231296;4;20110718 07:37;V;;;;;;
B;141;1488322;5;20110718 07:37;;9;11;ANDOVER ST;CARLTON;2218;;;20110418;20110624;550000;;R;RESIDENCE;9;;;0;AG334089;
C;141;1488322;5;20110718 07:37;9/SP63126;
D;141;1488322;5;20110718 07:37;P;;;;;;
D;141;1488322;5;20110718 07:37;V;;;;;;
B;141;1490941;6;20110718 07:37;;;15;CLAREMONT ST;PENSHURST;2222;556.4;M;20110402;20110530;1055000;A;R;RESIDENCE;;XH;;0;AG360253;
C;141;1490941;6;20110718 07:37;11/5/1650;
D;141;1490941;6;20110718 07:37;P;;;;;;
D;141;1490941;6;20110718 07:37;P;;;;;;
D;141;1490941;6;20110718 07:37;V;;;;;;
D;141;1490941;6;20110718 07:37;V;;;;;;
