A;092;20110926 02:28;VALNET;
B;092;3501303;1;20110926 02:28;;6;21;STATION ST;NAREMBURN;2065;;;20110805;20110912;1115000;;3;TOWNHOUSE;6;;;0;AG498797;
C;092;3501303;1;20110926 02:28;6/SP83301;
D;092;3501303;1;20110926 02:28;P;;;;;;
D;092;3501303;1;20110926 02:28;V;;;;;;
B;092;954719;2;20110926 02:28;;;15;COVELEE CCT;MIDDLE COVE;2068;746.1;M;20110723;20110907;1120000;A;R;RESIDENCE;;AM;;0;AG503673;
C;092;954719;2;20110926 02:28;62/19731;
D;092;954719;2;20110926 02:28;P;;;;;;
D;092;954719;2;20110926 02:28;P;;;;;;
D;092;954719;2;20110926 02:28;V;;;;;;
D;092;954719;2;20110926 02:28;V;;;;;;
B;092;949650;3;20110926 02:28;;7;77;ALBERT AVE;CHATSWOOD;2067;;;20110627;20110627;210000;;R;RESIDENCE;7;;;0;AG462107;
C;092;949650;3;20110926 02:28;7/SP19527;
D;092;949650;3;20110926 02:28;P;;;;;;
D;092;949650;3;20110926 02:28;P;;;;;;
D;092;949650;3;20110926 02:28;V;;;;;;
D;092;949650;3;20110926 02:28;V;;;;;;
D;092;949650;3;20110926 02:28;V;;;;;;
B;092;949658;4;20110926 02:28;;;79;ALBERT AVE OPEN AIR CARPARK;CHATSWOOD;2067;3603;M;20070629;20110714;27559092;B;3;CAR PARK SITE;;BJ;;0;AG458038;
C;092;949658;4;20110926 02:28;13, 25, 26, 27, 28, 29, 30/2983 A, B/381223 3/1160905;
D;092;949658;4;20110926 02:28;P;;;;;;
D;092;949658;4;20110926 02:28;V;;;;;;
B;092;949659;5;20110926 02:28;;;85;ALBERT AVE;CHATSWOOD;2067;670.2;M;20070629;20110714;27559092;B;3;CAR PARK SITE;;BJ;;0;AG458038;
C;092;949659;5;20110926 02:28;23, 24/2983;
D;092;949659;5;20110926 02:28;P;;;;;;
D;092;949659;5;20110926 02:28;V;;;;;;
B;092;953151;6;20110926 02:28;;;13;CAMBRIDGE ST;NORTH WILLOUGHBY;2068;832.1;M;20110701;20110909;2700000;A;R;RESIDENCE;;AJ;;0;AG488366;
C;092;953151;6;20110926 02:28;14/1/3947;
D;092;953151;6;20110926 02:28;P;;;;;;
D;092;953151;6;20110926 02:28;V;;;;;;
D;092;953151;6;20110926 02:28;V;;;;;;
B;092;955904;7;20110926 02:28;;;8;DOWEL ST;CHATSWOOD;2067;774.94;M;20110729;20110909;1720000;A;R;RESIDENCE;;AC;;0;AG498220;
C;092;955904;7;20110926 02:28;29/1/3973 1/942463;
D;092;955904;7;20110926 02:28;P;;;;;;
D;092;955904;7;20110926 02:28;V;;;;;;
D;092;955904;7;20110926 02:28;V;;;;;;
