A;RTSALEDATA;020;20130114 01:57;VALNET;
B;020;409860;1;20130114 01:57;;;;PALARANG RD;BOMBALA;2632;64.74;H;20121012;20121123;80000;RU1;V;VACANT LAND;;RHP;;0;AH422227;
C;020;409860;1;20130114 01:57;30, 31/756844 Enclosure Permit 203643;
D;020;409860;1;20130114 01:57;P;;;;;;
D;020;409860;1;20130114 01:57;P;;;;;;
D;020;409860;1;20130114 01:57;V;;;;;;
B;020;3330853;2;20130114 01:57;;;;;CATHCART;2632;121.3;H;20120701;20120701;160000;RU1;3;FARM;;RRC;;0;AH442448;
C;020;3330853;2;20130114 01:57;1/652619 42/1119259;
D;020;3330853;2;20130114 01:57;P;;;;;;
D;020;3330853;2;20130114 01:57;P;;;;;;
D;020;3330853;2;20130114 01:57;V;;;;;;
D;020;3330853;2;20130114 01:57;V;;;;;;
Z;13;2;2;7;
