A;RTSALEDATA;199;20130603 01:21;VALNET;
B;199;3381137;1;20130603 01:21;;;10;COURT ST;BUNDARRA;2359;3541.5;M;20130321;20130503;10000;RU5;V;VACANT LAND;;UZB;;0;AH743247;
C;199;3381137;1;20130603 01:21;10, 11, 12/59/758181;
D;199;3381137;1;20130603 01:21;P;;;;;;
D;199;3381137;1;20130603 01:21;V;;;;;;
B;199;3375644;2;20130603 01:21;;;4 A;EAST ST;URALLA;2358;1503.55;M;20130328;20130502;240000;R1;R;RESIDENCE;;ULA;;0;AH753313;
C;199;3375644;2;20130603 01:21;2/26753 635/721180;
D;199;3375644;2;20130603 01:21;P;;;;;;
D;199;3375644;2;20130603 01:21;P;;;;;;
D;199;3375644;2;20130603 01:21;V;;;;;;
D;199;3375644;2;20130603 01:21;V;;;;;;
B;199;1882673;3;20130603 01:21;;;26;URALLA ST;URALLA;2358;996.4;M;20130409;20130507;182000;R1;R;RESIDENCE;;ULB;;0;AH747973;
C;199;1882673;3;20130603 01:21;7/583369;
D;199;1882673;3;20130603 01:21;P;;;;;;
D;199;1882673;3;20130603 01:21;P;;;;;;
D;199;1882673;3;20130603 01:21;V;;;;;;
Z;17;3;3;9;
