A;RTSALEDATA;002;20160919 01:00;VALNET;
B;002;24957;1;20160919 01:00;;;637;WALLAROBBA-BROOKFIELD RD;WALLAROBBA;2420;2.166;H;20160804;20160901;380000;RU1;V;VACANT LAND;;RAE;;0;AK752516;
C;002;24957;1;20160919 01:00;14/246524;
D;002;24957;1;20160919 01:00;P;;;;;;
D;002;24957;1;20160919 01:00;P;;;;;;
D;002;24957;1;20160919 01:00;V;;;;;;
D;002;24957;1;20160919 01:00;V;;;;;;
B;002;3935984;2;20160919 01:00;;;358;MARTINS CREEK RD;PATERSON;2421;1.666;H;20160721;20160830;292000;R5;V;VACANT LAND;;ABA;;0;AK749215;
C;002;3935984;2;20160919 01:00;620/1220321;
D;002;3935984;2;20160919 01:00;P;;;;;;
D;002;3935984;2;20160919 01:00;V;;;;;;
D;002;3935984;2;20160919 01:00;V;;;;;;
Z;13;2;2;7;
