A;RTSALEDATA;013;20161010 01:01;VALNET;
B;013;310195;1;20161010 01:01;;;15;MARCELLA ST;FORSTER;2428;696.5;M;20160722;20160914;445000;R2;R;RESIDENCE;;AAG;;0;AK811642;
C;013;310195;1;20161010 01:01;48/39781;
D;013;310195;1;20161010 01:01;P;;;;;;
D;013;310195;1;20161010 01:01;V;;;;;;
D;013;310195;1;20161010 01:01;V;;;;;;
B;013;310295;2;20161010 01:01;;;1;MICHELE CRES;FORSTER;2428;1505;M;20160811;20160818;525000;R2;R;RESIDENCE;;AER;;0;AK800881;
C;013;310295;2;20161010 01:01;31/229919;
D;013;310295;2;20161010 01:01;P;;;;;;
D;013;310295;2;20161010 01:01;V;;;;;;
B;013;315689;3;20161010 01:01;;;11;SHORT ST;TUNCURRY;2428;689.2;M;20160727;20160921;549000;R3;R;RESIDENCE;;AAB;;0;AK800824;
C;013;315689;3;20161010 01:01;1/511769;
D;013;315689;3;20161010 01:01;P;;;;;;
D;013;315689;3;20161010 01:01;P;;;;;;
D;013;315689;3;20161010 01:01;V;;;;;;
D;013;315689;3;20161010 01:01;V;;;;;;
B;013;315821;4;20161010 01:01;;;20;STEWART PDE;TUNCURRY;2428;696.4;M;20160829;20160926;530000;R2;R;RESIDENCE;;AAA;;0;AK814035;
C;013;315821;4;20161010 01:01;2/50/759005;
D;013;315821;4;20161010 01:01;P;;;;;;
D;013;315821;4;20161010 01:01;V;;;;;;
B;013;310504;5;20161010 01:01;;102;34;NORTH ST;FORSTER;2428;;;20160823;20160928;310000;;R;RESIDENCE;5;;;0;AK813479;
C;013;310504;5;20161010 01:01;5/SP53340;
D;013;310504;5;20161010 01:01;P;;;;;;
D;013;310504;5;20161010 01:01;P;;;;;;
D;013;310504;5;20161010 01:01;V;;;;;;
D;013;310504;5;20161010 01:01;V;;;;;;
B;013;316103;6;20161010 01:01;;2;4;THE CORONET;TUNCURRY;2428;;;20160808;20160912;335000;;R;RESIDENCE;2;;;0;AK812184;
C;013;316103;6;20161010 01:01;2/SP33687;
D;013;316103;6;20161010 01:01;P;;;;;;
D;013;316103;6;20161010 01:01;P;;;;;;
D;013;316103;6;20161010 01:01;V;;;;;;
B;013;318775;7;20161010 01:01;;;97;BOONER ST;HAWKS NEST;2324;670.3;M;20160813;20160926;455000;R2;R;RESIDENCE;;ACC;;0;AK807990;
C;013;318775;7;20161010 01:01;4/247693;
D;013;318775;7;20161010 01:01;P;;;;;;
D;013;318775;7;20161010 01:01;P;;;;;;
D;013;318775;7;20161010 01:01;V;;;;;;
D;013;318775;7;20161010 01:01;V;;;;;;
B;013;325829;8;20161010 01:01;;;49;CLARKSON ST;NABIAC;2312;824.4;M;20160803;20160914;270000;RU5;R;RESIDENCE;;AAS;;0;AK798756;
C;013;325829;8;20161010 01:01;37/587009;
D;013;325829;8;20161010 01:01;P;;;;;;
D;013;325829;8;20161010 01:01;P;;;;;;
D;013;325829;8;20161010 01:01;P;;;;;;
D;013;325829;8;20161010 01:01;V;;;;;;
D;013;325829;8;20161010 01:01;V;;;;;;
B;013;328118;9;20161010 01:01;;;3379;THE LAKES WAY;SMITHS LAKE;2428;11.73;H;20160804;20160915;480000;RU2;R;RESIDENCE;;RPN;;0;AK800297;
C;013;328118;9;20161010 01:01;3/236679;
D;013;328118;9;20161010 01:01;P;;;;;;
D;013;328118;9;20161010 01:01;V;;;;;;
D;013;328118;9;20161010 01:01;V;;;;;;
D;013;328118;9;20161010 01:01;V;;;;;;
B;013;319884;10;20161010 01:01;;;44;THE ANCHORAGE;HAWKS NEST;2324;588.04;M;20160429;20160923;1010000;R2;R;RESIDENCE;;AAW;;0;AK803574;
C;013;319884;10;20161010 01:01;68/233557;
D;013;319884;10;20161010 01:01;P;;;;;;
D;013;319884;10;20161010 01:01;V;;;;;;
B;013;2925116;11;20161010 01:02;;;28;CHURCH ST;CARRINGTON;2324;1266;M;20160823;20160920;140000;RU5;V;VACANT LAND;;AWC;;0;AK798340;
C;013;2925116;11;20161010 01:02;11/1036278;
D;013;2925116;11;20161010 01:02;P;;;;;;
D;013;2925116;11;20161010 01:02;V;;;;;;
B;013;2869507;12;20161010 01:02;;202;20;LITTLE ST;FORSTER;2428;;;20160818;20160916;601250;;R;RESIDENCE;8;;;0;AK800775;
C;013;2869507;12;20161010 01:02;8/SP69480;
D;013;2869507;12;20161010 01:02;P;;;;;;
D;013;2869507;12;20161010 01:02;V;;;;;;
B;013;3101938;13;20161010 01:02;;4;21;MARINE DR;TEA GARDENS;2324;;;20160823;20160920;340000;;R;RESIDENCE;4;;;0;AK812552;
C;013;3101938;13;20161010 01:02;4/SP72945;
D;013;3101938;13;20161010 01:02;P;;;;;;
D;013;3101938;13;20161010 01:02;V;;;;;;
B;013;3548656;14;20161010 01:02;;;22;ISABELLA PDE;FORSTER;2428;671.7;M;20160809;20160926;730000;R2;R;RESIDENCE;;ADN;;0;AK806351;
C;013;3548656;14;20161010 01:02;208/1158472;
D;013;3548656;14;20161010 01:02;P;;;;;;
D;013;3548656;14;20161010 01:02;P;;;;;;
D;013;3548656;14;20161010 01:02;V;;;;;;
B;013;3585900;15;20161010 01:02;;;17;LEEWARD CCT;TEA GARDENS;2324;643.8;M;20160810;20160921;652500;R2;R;RESIDENCE;;AAV;;0;AK800652;
C;013;3585900;15;20161010 01:02;82/280002;
D;013;3585900;15;20161010 01:02;P;;;;;;
D;013;3585900;15;20161010 01:02;V;;;;;;
D;013;3585900;15;20161010 01:02;V;;;;;;
B;013;308057;16;20161010 01:02;;;32;GOLDENS RD;FORSTER;2428;706.5;M;20160825;20160923;399000;R2;R;RESIDENCE;;ADK;;0;AK804440;
C;013;308057;16;20161010 01:02;41/731110;
D;013;308057;16;20161010 01:02;P;;;;;;
D;013;308057;16;20161010 01:02;P;;;;;;
D;013;308057;16;20161010 01:02;V;;;;;;
D;013;308057;16;20161010 01:02;V;;;;;;
B;013;306244;17;20161010 01:02;;;3;BELLS CL;FORSTER;2428;640;M;20160812;20160909;390000;R2;R;RESIDENCE;;AAG;;0;AK801789;
C;013;306244;17;20161010 01:02;29/39781;
D;013;306244;17;20161010 01:02;P;;;;;;
D;013;306244;17;20161010 01:02;V;;;;;;
D;013;306244;17;20161010 01:02;V;;;;;;
B;013;307238;18;20161010 01:02;;;5;COLIN PL;FORSTER;2428;616.6;M;20160906;20160928;499000;R2;R;RESIDENCE;;ADN;;0;AK798564;
C;013;307238;18;20161010 01:02;31/793443;
D;013;307238;18;20161010 01:02;P;;;;;;
D;013;307238;18;20161010 01:02;P;;;;;;
D;013;307238;18;20161010 01:02;V;;;;;;
D;013;307238;18;20161010 01:02;V;;;;;;
B;013;305199;19;20161010 01:02;;;4;PRINCE ST;BULAHDELAH;2423;690;M;20160822;20160926;310000;RU5;R;RESIDENCE;;AVY;;0;AK804569;
C;013;305199;19;20161010 01:02;12/65/758177;
D;013;305199;19;20161010 01:02;P;;;;;;
D;013;305199;19;20161010 01:02;V;;;;;;
B;013;308618;20;20161010 01:02;;;7;GOLDENS RD;FORSTER;2428;701.5;M;20160812;20160924;395000;R2;R;RESIDENCE;;ADK;;0;AK811432;
C;013;308618;20;20161010 01:02;88/264330;
D;013;308618;20;20161010 01:02;P;;;;;;
D;013;308618;20;20161010 01:02;V;;;;;;
B;013;309036;21;20161010 01:02;;;10;KENTIA DR;FORSTER;2428;828.4;M;20160804;20160922;535000;R2;R;RESIDENCE;;ADN;;0;AK802515;
C;013;309036;21;20161010 01:02;28/793497;
D;013;309036;21;20161010 01:02;P;;;;;;
D;013;309036;21;20161010 01:02;P;;;;;;
D;013;309036;21;20161010 01:02;V;;;;;;
D;013;309036;21;20161010 01:02;V;;;;;;
B;013;314327;22;20161010 01:02;;9;12;MANNING ST;TUNCURRY;2428;;;20160819;20160912;320000;;R;RESIDENCE;9;;;0;AK809467;
C;013;314327;22;20161010 01:02;9/SP9737;
D;013;314327;22;20161010 01:02;P;;;;;;
D;013;314327;22;20161010 01:02;V;;;;;;
B;013;311913;23;20161010 01:02;;;162;THE LAKES WAY;FORSTER;2428;834.7;M;20160718;20160926;445000;R2;R;RESIDENCE;;ADK;;0;AK809095;
C;013;311913;23;20161010 01:02;32/22483;
D;013;311913;23;20161010 01:02;P;;;;;;
D;013;311913;23;20161010 01:02;P;;;;;;
D;013;311913;23;20161010 01:02;V;;;;;;
B;013;309350;24;20161010 01:02;;;93;LAKE ST;FORSTER;2428;455.3;M;20160826;20160923;358000;R2;R;RESIDENCE;;AAG;;0;AK802644;
C;013;309350;24;20161010 01:02;22/5/21258;
D;013;309350;24;20161010 01:02;P;;;;;;
D;013;309350;24;20161010 01:02;V;;;;;;
B;013;312271;25;20161010 01:02;;;15 A;VICTORIA PL;FORSTER;2428;1427;M;20160810;20160921;445000;R2;R;RESIDENCE;;ADN;;0;AK805640;
C;013;312271;25;20161010 01:02;261/853038;
D;013;312271;25;20161010 01:02;P;;;;;;
D;013;312271;25;20161010 01:02;P;;;;;;
D;013;312271;25;20161010 01:02;V;;;;;;
D;013;312271;25;20161010 01:02;V;;;;;;
B;013;314855;26;20161010 01:02;;;13;OASIS PDE;TUNCURRY;2428;706.3;M;20160810;20160920;475000;R2;R;RESIDENCE;;AAA;;0;AK797672;
C;013;314855;26;20161010 01:02;3/837346;
D;013;314855;26;20161010 01:02;P;;;;;;
D;013;314855;26;20161010 01:02;V;;;;;;
B;013;315156;27;20161010 01:02;;12;32;PARKWAY DR;TUNCURRY;2428;234.9;M;20160901;20160926;289000;R2;R;RESIDENCE;;AAA;;0;AK798311;
C;013;315156;27;20161010 01:02;3/285519;
D;013;315156;27;20161010 01:02;P;;;;;;
D;013;315156;27;20161010 01:02;V;;;;;;
D;013;315156;27;20161010 01:02;V;;;;;;
D;013;315156;27;20161010 01:02;V;;;;;;
D;013;315156;27;20161010 01:02;V;;;;;;
B;013;312709;28;20161010 01:02;;;36;WYUNA PL;FORSTER;2428;557.4;M;20160823;20160927;625000;R2;R;RESIDENCE;;ADJ;;0;AK813819;
C;013;312709;28;20161010 01:02;18/245073;
D;013;312709;28;20161010 01:02;P;;;;;;
D;013;312709;28;20161010 01:02;P;;;;;;
D;013;312709;28;20161010 01:02;V;;;;;;
B;013;3353988;29;20161010 01:02;THE PIER;8;2;PORT STEPHENS ST;TEA GARDENS;2324;;;20160831;20160928;792500;;R;RESIDENCE;8;;;0;AK799731;
C;013;3353988;29;20161010 01:02;8/SP75214;
D;013;3353988;29;20161010 01:02;P;;;;;;
D;013;3353988;29;20161010 01:02;V;;;;;;
D;013;3353988;29;20161010 01:02;V;;;;;;
B;013;3887140;30;20161010 01:02;;;308;MILL CREEK RD;STROUD;2425;52.2;H;20160620;20160919;1100000;RU2;3;FARM;;RTF;;0;AK794814;
C;013;3887140;30;20161010 01:02;64/95873;
D;013;3887140;30;20161010 01:02;P;;;;;;
D;013;3887140;30;20161010 01:02;V;;;;;;
D;013;3887140;30;20161010 01:02;V;;;;;;
B;013;3948344;31;20161010 01:02;;1;11 B;MICHAELA PL;FORSTER;2428;502;M;20160511;20160726;485000;;R;RESIDENCE;1;;;0;AK800777;
C;013;3948344;31;20161010 01:02;1/SP93762;
D;013;3948344;31;20161010 01:02;P;;;;;;
D;013;3948344;31;20161010 01:02;P;;;;;;
D;013;3948344;31;20161010 01:02;V;;;;;;
B;013;3968118;32;20161010 01:02;;;1189;MINIMBAH RD;NABIAC;2312;15.57;H;20160725;20160817;170000;;V;VACANT LAND;;;;0;AK724941;
C;013;3968118;32;20161010 01:02;2/1199088;
D;013;3968118;32;20161010 01:02;P;;;;;;
D;013;3968118;32;20161010 01:02;P;;;;;;
D;013;3968118;32;20161010 01:02;V;;;;;;
