A;RTSALEDATA;254;20161212 01:09;VALNET;
B;254;3831016;1;20161212 01:09;WOOLARTHA;;12824;MITCHELL HWY;MULLENGUDGERY;2825;1355.6;H;20160920;20161013;1375000;RU1;3;RURAL;;RME;;0;AK937064;
C;254;3831016;1;20161212 01:09;13, 26/755316 1/1201386;
D;254;3831016;1;20161212 01:09;P;;;;;;
D;254;3831016;1;20161212 01:09;P;;;;;;
D;254;3831016;1;20161212 01:09;V;;;;;;
D;254;3831016;1;20161212 01:09;V;;;;;;
B;254;3831022;2;20161212 01:09;;;WOOLARTHA;.;NYNGAN;2825;466.96;H;20160920;20161013;425000;RU1;3;RURAL;;RRW;;0;AK937065;
C;254;3831022;2;20161212 01:09;46/755313 1/1048050 2/1201386;
D;254;3831022;2;20161212 01:09;P;;;;;;
D;254;3831022;2;20161212 01:09;P;;;;;;
D;254;3831022;2;20161212 01:09;V;;;;;;
Z;13;2;2;7;
