A;RTSALEDATA;205;20140707 01:18;VALNET;
B;205;2947164;1;20140707 01:18;;2;467;BALMAIN RD;LILYFIELD;2040;;;20140414;20140526;701000;;R;RESIDENCE;2;;;0;AI625458;
C;205;2947164;1;20140707 01:18;2/SP68611;
D;205;2947164;1;20140707 01:18;P;;;;;;
D;205;2947164;1;20140707 01:18;V;;;;;;
D;205;2947164;1;20140707 01:18;V;;;;;;
B;205;1918097;2;20140707 01:18;;;15;CATHERINE ST;ROZELLE;2039;250.71;M;20140410;20140623;1320000;A;R;RESIDENCE;;EL;;0;AI696885;
C;205;1918097;2;20140707 01:18;14/1/979565;
D;205;1918097;2;20140707 01:18;P;;;;;;
D;205;1918097;2;20140707 01:18;V;;;;;;
D;205;1918097;2;20140707 01:18;V;;;;;;
B;205;1925565;3;20140707 01:18;;4;42;GROVE ST;LILYFIELD;2040;;;20140517;20140627;1350000;;R;RESIDENCE;4;;;0;AI704077;
C;205;1925565;3;20140707 01:18;4/SP62753;
D;205;1925565;3;20140707 01:18;P;;;;;;
D;205;1925565;3;20140707 01:18;P;;;;;;
D;205;1925565;3;20140707 01:18;V;;;;;;
B;205;1928230;4;20140707 01:18;;;29;JUNIOR ST;LEICHHARDT;2040;94;M;20140615;20140626;853000;A;R;RESIDENCE;;EA;;0;AI709631;
C;205;1928230;4;20140707 01:18;O/3094;
D;205;1928230;4;20140707 01:18;P;;;;;;
D;205;1928230;4;20140707 01:18;V;;;;;;
B;205;1933502;5;20140707 01:18;;;175;PARRAMATTA RD;ANNANDALE;2038;177;M;20140512;20140623;750000;B;3;COMMERCIAL;;CM;;0;AI694876;
C;205;1933502;5;20140707 01:18;1/232666;
D;205;1933502;5;20140707 01:18;P;;;;;;
D;205;1933502;5;20140707 01:18;V;;;;;;
B;205;1920716;6;20140707 01:18;;5;440;DARLING ST;BALMAIN;2041;;;20140521;20140625;1050000;;R;RESIDENCE;5;;;0;AI704893;
C;205;1920716;6;20140707 01:18;5/SP57382;
D;205;1920716;6;20140707 01:18;P;;;;;;
D;205;1920716;6;20140707 01:18;P;;;;;;
D;205;1920716;6;20140707 01:18;V;;;;;;
B;205;1915846;7;20140707 01:18;;;73;BOOTH ST;ANNANDALE;2038;88;M;20140514;20140625;900000;A;R;RESIDENCE;;EB;;0;AI702532;
C;205;1915846;7;20140707 01:18;10/442552;
D;205;1915846;7;20140707 01:18;P;;;;;;
D;205;1915846;7;20140707 01:18;P;;;;;;
D;205;1915846;7;20140707 01:18;V;;;;;;
B;205;1923289;8;20140707 01:18;;;165;FLOOD ST;LEICHHARDT;2040;278.2;M;20140510;20140620;1300000;A;R;RESIDENCE;;EA;;0;AI693104;
C;205;1923289;8;20140707 01:18;3/666319;
D;205;1923289;8;20140707 01:18;P;;;;;;
D;205;1923289;8;20140707 01:18;P;;;;;;
