A;RTSALEDATA;117;20140915 01:12;VALNET;
B;117;1247662;1;20140915 01:12;;;99;FARNELL ST;FORBES;2871;994;M;20140717;20140828;185000;R1;R;RESIDENCE;;AAA;;0;AI869421;
C;117;1247662;1;20140915 01:12;41/792641;
D;117;1247662;1;20140915 01:12;P;;;;;;
D;117;1247662;1;20140915 01:12;V;;;;;;
D;117;1247662;1;20140915 01:12;V;;;;;;
B;117;1248329;2;20140915 01:12;;;8;JOHN GIRDHAM PL;FORBES;2871;1137;M;20140214;20140828;75500;R1;V;VACANT LAND;;AAC;;0;AI873978;
C;117;1248329;2;20140915 01:12;24/859871;
D;117;1248329;2;20140915 01:12;P;;;;;;
D;117;1248329;2;20140915 01:12;P;;;;;;
D;117;1248329;2;20140915 01:12;V;;;;;;
B;117;1246704;3;20140915 01:12;;;14;BEDGERABONG RD;FORBES;2871;1249;M;20140415;20140721;230000;R5;R;RESIDENCE;;RRF;RRO;0;AI776912;
C;117;1246704;3;20140915 01:12;4/601149;
D;117;1246704;3;20140915 01:12;P;;;;;;
D;117;1246704;3;20140915 01:12;P;;;;;;
D;117;1246704;3;20140915 01:12;P;;;;;;
D;117;1246704;3;20140915 01:12;V;;;;;;
B;117;3028394;4;20140915 01:12;;;2;YORK ST;FORBES;2871;2811;M;20140626;20140721;230000;R5;V;VACANT LAND;;RRF;RRO;0;AI776910;
C;117;3028394;4;20140915 01:12;3/601149;
D;117;3028394;4;20140915 01:12;P;;;;;;
D;117;3028394;4;20140915 01:12;P;;;;;;
D;117;3028394;4;20140915 01:12;P;;;;;;
D;117;3028394;4;20140915 01:12;V;;;;;;
B;117;3630216;5;20140915 01:12;;;26;ANGUS CLARKE DR;FORBES;2871;4.869;H;20140523;20140625;1010000;IN1;3;SHED & OFFICE;;IFA;;0;AI814723;
C;117;3630216;5;20140915 01:12;123/1173659;
D;117;3630216;5;20140915 01:12;P;;;;;;
D;117;3630216;5;20140915 01:12;V;;;;;;
Z;28;5;5;16;
