A;RTSALEDATA;142;20140825 01:12;VALNET;
B;142;2823253;1;20140825 01:12;;;33;LEVEY ST;WOLLI CREEK;2205;1899;M;20140515;20140814;23880000;R4;3;MOTEL;;AHM;;0;AI823674;
C;142;2823253;1;20140825 01:12;102/1027523;
D;142;2823253;1;20140825 01:12;P;;;;;;
D;142;2823253;1;20140825 01:12;V;;;;;;
B;142;3117419;2;20140825 01:12;;5;142;RAMSGATE RD;RAMSGATE BEACH;2217;;;20140712;20140805;580000;;R;RESIDENCE;5;;;0;AI807553;
C;142;3117419;2;20140825 01:12;5/SP69776;
D;142;3117419;2;20140825 01:12;P;;;;;;
D;142;3117419;2;20140825 01:12;V;;;;;;
D;142;3117419;2;20140825 01:12;V;;;;;;
B;142;3490670;3;20140825 01:12;;3;45;THE STRAND;ROCKDALE;2216;;;20140505;20140815;560000;;R;RESIDENCE;3;;;0;AI830853;
C;142;3490670;3;20140825 01:12;3/SP83106;
D;142;3490670;3;20140825 01:12;P;;;;;;
D;142;3490670;3;20140825 01:12;P;;;;;;
D;142;3490670;3;20140825 01:12;V;;;;;;
B;142;3482825;4;20140825 01:12;;5;104;WOLLONGONG RD;ARNCLIFFE;2205;;;20140616;20140728;630000;;R;RESIDENCE;5;;;0;AI784509;
C;142;3482825;4;20140825 01:12;5/SP82918;
D;142;3482825;4;20140825 01:12;P;;;;;;
D;142;3482825;4;20140825 01:12;V;;;;;;
D;142;3482825;4;20140825 01:12;V;;;;;;
B;142;3039746;5;20140825 01:12;;2;370;FOREST RD;BEXLEY;2207;;;20140623;20140805;513000;;R;RESIDENCE;2;;;0;AI810962;
C;142;3039746;5;20140825 01:12;2/SP71359;
D;142;3039746;5;20140825 01:12;P;;;;;;
D;142;3039746;5;20140825 01:12;V;;;;;;
D;142;3039746;5;20140825 01:12;V;;;;;;
B;142;3143103;6;20140825 01:12;;11;704;PRINCES HWY;KOGARAH;2217;;;20140626;20140807;752000;;R;RESIDENCE;11;;;0;AI810471;
C;142;3143103;6;20140825 01:12;11/SP74098;
D;142;3143103;6;20140825 01:12;P;;;;;;
D;142;3143103;6;20140825 01:12;P;;;;;;
D;142;3143103;6;20140825 01:12;V;;;;;;
B;142;3177007;7;20140825 01:12;;7;13;BRYANT ST;ROCKDALE;2216;;;20140613;20140725;495000;;R;RESIDENCE;7;;;0;AI817611;
C;142;3177007;7;20140825 01:12;7/SP74910;
D;142;3177007;7;20140825 01:12;P;;;;;;
D;142;3177007;7;20140825 01:12;V;;;;;;
B;142;3680835;8;20140825 01:12;;702 B;551;PRINCES HWY;ROCKDALE;2216;88;M;20140701;20140812;480000;;R;RESIDENCE;49;;;0;AI815457;
C;142;3680835;8;20140825 01:12;49/SP87820;
D;142;3680835;8;20140825 01:12;P;;;;;;
D;142;3680835;8;20140825 01:12;V;;;;;;
B;142;1510228;9;20140825 01:12;;5;140;ALFRED ST;SANS SOUCI;2219;;;20140703;20140811;677500;;R;RESIDENCE;5;;;0;AI817002;
C;142;1510228;9;20140825 01:12;5/SP6460;
D;142;1510228;9;20140825 01:12;P;;;;;;
