A;RTSALEDATA;239;20151019 01:19;VALNET;
B;239;2636734;1;20151019 01:19;;;BACKSPRING;VIA BOURKE;YANTABULLA;2840;4750;H;20151013;20151013;15833;RU1;3;GRAZING BLOCK;;RPB;;11;AJ898901;
C;239;2636734;1;20151019 01:19;4669/767833 6039/768896 Western Land Lease 5579;
D;239;2636734;1;20151019 01:19;P;;;;;;
D;239;2636734;1;20151019 01:19;P;;;;;;
D;239;2636734;1;20151019 01:19;P;;;;;;
D;239;2636734;1;20151019 01:19;P;;;;;;
D;239;2636734;1;20151019 01:19;P;;;;;;
D;239;2636734;1;20151019 01:19;P;;;;;;
D;239;2636734;1;20151019 01:19;P;;;;;;
D;239;2636734;1;20151019 01:19;V;;;;;;
D;239;2636734;1;20151019 01:19;V;;;;;;
D;239;2636734;1;20151019 01:19;V;;;;;;
D;239;2636734;1;20151019 01:19;V;;;;;;
D;239;2636734;1;20151019 01:19;V;;;;;;
D;239;2636734;1;20151019 01:19;V;;;;;;
D;239;2636734;1;20151019 01:19;V;;;;;;
Z;18;1;1;14;
