A;RTSALEDATA;300;20150727 01:19;VALNET;
B;300;1843055;1;20150727 01:19;;;56;KEERA ST;BINGARA;2404;1011.7;M;20150520;20150713;155000;RU5;R;RESIDENCE;;ABB;;0;AJ669835;
C;300;1843055;1;20150727 01:19;A/391912;
D;300;1843055;1;20150727 01:19;P;;;;;;
D;300;1843055;1;20150727 01:19;V;;;;;;
B;300;1843289;2;20150727 01:19;;;28;RIDDELL ST;BINGARA;2404;985.3;M;20150611;20150710;155000;RU5;R;RESIDENCE;;ABB;;0;AJ664160;
C;300;1843289;2;20150727 01:19;2/615069;
D;300;1843289;2;20150727 01:19;P;;;;;;
D;300;1843289;2;20150727 01:19;V;;;;;;
D;300;1843289;2;20150727 01:19;V;;;;;;
B;300;2688773;3;20150727 01:19;;;;OTTLEY RD;COOLATAI;2402;40.49;H;20150522;20150703;40000;RU1;V;VACANT LAND;;RRD;;0;AJ640041;
C;300;2688773;3;20150727 01:19;9/731038;
D;300;2688773;3;20150727 01:19;P;;;;;;
D;300;2688773;3;20150727 01:19;V;;;;;;
B;300;3757801;4;20150727 01:19;;;;NORTH STAR RD;WARIALDA;2402;7;H;20150625;20150625;7000;RU1;3;FARMLAND;;RMF;;0;AJ610108;
C;300;3757801;4;20150727 01:19;4/578748;
D;300;3757801;4;20150727 01:19;P;;;;;;
D;300;3757801;4;20150727 01:19;P;;;;;;
D;300;3757801;4;20150727 01:19;V;;;;;;
D;300;3757801;4;20150727 01:19;V;;;;;;
B;300;3862492;5;20150727 01:19;;;;;UPPER HORTON;2347;9.743;H;20141229;20150529;15119;;V;VACANT LAND;;;;0;AJ597018;
C;300;3862492;5;20150727 01:19;1, 2, 3/1207592;
D;300;3862492;5;20150727 01:19;P;;;;;;
D;300;3862492;5;20150727 01:19;V;;;;;;
Z;25;5;5;13;
