A;RTSALEDATA;608;20120528 02:13;VALNET;
B;608;1204896;1;20120528 02:13;;;63;HOOLIHAN CL;KELSO;2795;668.1;M;20120403;20120418;323000;A;R;RESIDENCE;;AK;;0;AG998410;
C;608;1204896;1;20120528 02:13;17/800317;
D;608;1204896;1;20120528 02:13;P;;;;;;
D;608;1204896;1;20120528 02:13;P;;;;;;
D;608;1204896;1;20120528 02:13;V;;;;;;
B;608;1210190;2;20120528 02:13;;2;172;SUTTOR ST;WINDRADYNE;2795;;;20120405;20120510;177000;;R;RESIDENCE;2;;;0;AG995303;
C;608;1210190;2;20120528 02:13;2/SP19413;
D;608;1210190;2;20120528 02:13;P;;;;;;
D;608;1210190;2;20120528 02:13;V;;;;;;
D;608;1210190;2;20120528 02:13;V;;;;;;
B;608;1205021;3;20120528 02:13;;;172;HOWICK ST;BATHURST;2795;263.1;M;20120309;20120511;173000;A;R;RESIDENCE;;AF;;0;AG993464;
C;608;1205021;3;20120528 02:13;1/737933;
D;608;1205021;3;20120528 02:13;P;;;;;;
D;608;1205021;3;20120528 02:13;P;;;;;;
D;608;1205021;3;20120528 02:13;V;;;;;;
B;608;1208256;4;20120528 02:13;;6;67;PIPER ST;BATHURST;2795;;;20120404;20120516;155000;;R;RESIDENCE;8;;;0;AG997897;
C;608;1208256;4;20120528 02:13;8/SP49125;
D;608;1208256;4;20120528 02:13;P;;;;;;
D;608;1208256;4;20120528 02:13;V;;;;;;
B;608;1211487;5;20120528 02:13;;;8;WRIGHT PL;WINDRADYNE;2795;691.4;M;20120404;20120509;300000;A;R;RESIDENCE;;AW;;0;AG992161;
C;608;1211487;5;20120528 02:13;25/804590;
D;608;1211487;5;20120528 02:13;P;;;;;;
D;608;1211487;5;20120528 02:13;P;;;;;;
D;608;1211487;5;20120528 02:13;V;;;;;;
B;608;1207059;6;20120528 02:13;;;157;MITRE ST;WEST BATHURST;2795;1310;M;20120405;20120510;200000;A;R;RESIDENCE;;AH;;0;AG992163;
C;608;1207059;6;20120528 02:13;4/19644;
D;608;1207059;6;20120528 02:13;P;;;;;;
D;608;1207059;6;20120528 02:13;P;;;;;;
D;608;1207059;6;20120528 02:13;V;;;;;;
B;608;1209945;7;20120528 02:13;;;54;STEWART ST;BATHURST;2795;889.3;M;20120420;20120511;195000;A;R;RESIDENCE;;AC;;0;AG998511;
C;608;1209945;7;20120528 02:13;1/996046;
D;608;1209945;7;20120528 02:13;P;;;;;;
D;608;1209945;7;20120528 02:13;P;;;;;;
D;608;1209945;7;20120528 02:13;V;;;;;;
B;608;1212713;8;20120528 02:13;;;230;LAGOON RD;PERTHVILLE;2795;12.79;H;20120413;20120508;630000;R;3;FARM/RURAL;;CA;;0;AG980663;
C;608;1212713;8;20120528 02:13;1/737687;
D;608;1212713;8;20120528 02:13;P;;;;;;
D;608;1212713;8;20120528 02:13;P;;;;;;
D;608;1212713;8;20120528 02:13;V;;;;;;
B;608;1286820;9;20120528 02:13;;;396;RIVULET RD;PEEL;2795;19.424;H;20120404;20120510;155000;R;3;COTTAGE;;NA;;0;AG990168;
C;608;1286820;9;20120528 02:13;81, 84/755804;
D;608;1286820;9;20120528 02:13;P;;;;;;
D;608;1286820;9;20120528 02:13;P;;;;;;
D;608;1286820;9;20120528 02:13;V;;;;;;
B;608;3045040;10;20120528 02:13;;;9;MUSGROVE AVE;KELSO;2795;955.1;M;20120327;20120501;425000;A;R;RESIDENCE;;AK;;0;AG998849;
C;608;3045040;10;20120528 02:13;405/1061782;
D;608;3045040;10;20120528 02:13;P;;;;;;
D;608;3045040;10;20120528 02:13;P;;;;;;
D;608;3045040;10;20120528 02:13;V;;;;;;
B;608;3051691;11;20120528 02:13;;;24;SAPPHIRE CRES;KELSO;2795;981.1;M;20120208;20120508;350000;A;R;RESIDENCE;;AK;;0;AG987785;
C;608;3051691;11;20120528 02:13;41/1062238;
D;608;3051691;11;20120528 02:13;P;;;;;;
D;608;3051691;11;20120528 02:13;V;;;;;;
D;608;3051691;11;20120528 02:13;V;;;;;;
B;608;3074188;12;20120528 02:13;;;15;JARRAH CT;KELSO;2795;1039;M;20120404;20120509;395000;A;R;RESIDENCE;;AK;;0;AG991973;
C;608;3074188;12;20120528 02:13;1243/1065891;
D;608;3074188;12;20120528 02:13;P;;;;;;
D;608;3074188;12;20120528 02:13;P;;;;;;
D;608;3074188;12;20120528 02:13;V;;;;;;
D;608;3074188;12;20120528 02:13;V;;;;;;
B;608;3544607;13;20120528 02:13;;;25;COOLABAH CL;KELSO;2795;1939;M;20110614;20120509;175000;A;V;VACANT LAND;;AK;;0;AG985712;
C;608;3544607;13;20120528 02:13;1428/1156902;
D;608;3544607;13;20120528 02:13;P;;;;;;
D;608;3544607;13;20120528 02:13;V;;;;;;
B;608;3626913;14;20120528 02:13;;;8;FREEMAN CCT;LLANARTH;2795;544.8;M;20120323;20120427;355000;A;R;RESIDENCE;;AL;;0;AG984060;
C;608;3626913;14;20120528 02:13;7251/1172447;
D;608;3626913;14;20120528 02:13;P;;;;;;
D;608;3626913;14;20120528 02:13;V;;;;;;
B;608;3628808;15;20120528 02:13;;;127;EVERNDEN RD;LLANARTH;2795;1172;M;20120405;20120418;150000;A;V;VACANT LAND;;AL;;0;AG958335;
C;608;3628808;15;20120528 02:13;1124/1170286;
D;608;3628808;15;20120528 02:13;P;;;;;;
D;608;3628808;15;20120528 02:13;V;;;;;;
B;608;3628818;16;20120528 02:13;;;124;EVERNDEN RD;LLANARTH;2795;979.7;M;20120403;20120508;140000;A;V;VACANT LAND;;AL;;0;AG991758;
C;608;3628818;16;20120528 02:13;1134/1170286;
D;608;3628818;16;20120528 02:13;P;;;;;;
D;608;3628818;16;20120528 02:13;V;;;;;;
B;608;3632436;17;20120528 02:13;;;117;MORRISSET ST;BATHURST;2795;;;20111213;20120510;312000;;3;HOME UNIT;3;;;0;AG980753;
C;608;3632436;17;20120528 02:13;3/SP86699;
D;608;3632436;17;20120528 02:13;P;;;;;;
D;608;3632436;17;20120528 02:13;V;;;;;;
D;608;3632436;17;20120528 02:13;V;;;;;;
B;608;2778958;18;20120528 02:13;;;7;ROXBURGH DR;KELSO;2795;1316;M;20120315;20120419;408500;A;R;RESIDENCE;;AK;;0;AG994857;
C;608;2778958;18;20120528 02:13;217/1023091;
D;608;2778958;18;20120528 02:13;P;;;;;;
D;608;2778958;18;20120528 02:13;P;;;;;;
D;608;2778958;18;20120528 02:13;V;;;;;;
D;608;2778958;18;20120528 02:13;V;;;;;;
B;608;3312060;19;20120528 02:13;;;18;MICHIGAN RD;KELSO;2795;1.032;H;20110314;20120326;505680;I;V;VACANT LAND;;FT;;0;AG998755;
C;608;3312060;19;20120528 02:13;905/1110004;
D;608;3312060;19;20120528 02:13;P;;;;;;
D;608;3312060;19;20120528 02:13;V;;;;;;
Z;93;19;19;53;
