A;RTSALEDATA;136;20120625 01:40;VALNET;
B;136;1381076;1;20120625 01:40;;1;71;TOWER ST;PANANIA;2213;206;M;20120228;20120522;510000;;R;RESIDENCE;1;;;0;AH39522;
C;136;1381076;1;20120625 01:40;1/SP67387;
D;136;1381076;1;20120625 01:40;P;;;;;;
D;136;1381076;1;20120625 01:40;V;;;;;;
D;136;1381076;1;20120625 01:40;V;;;;;;
B;136;2779853;2;20120625 01:40;;12;12;DELLWOOD ST;BANKSTOWN;2200;124;M;20120427;20120608;335000;;R;RESIDENCE;12;;;0;AH48522;
C;136;2779853;2;20120625 01:40;12/SP67287;
D;136;2779853;2;20120625 01:40;P;;;;;;
D;136;2779853;2;20120625 01:40;V;;;;;;
B;136;3399814;3;20120625 01:40;;3;9;MAVIS ST;REVESBY;2212;;;20120419;20120601;305000;;3;FACTORY;3;;;0;AH39104;
C;136;3399814;3;20120625 01:40;3/SP80907;
D;136;3399814;3;20120625 01:40;P;;;;;;
D;136;3399814;3;20120625 01:40;P;;;;;;
D;136;3399814;3;20120625 01:40;V;;;;;;
D;136;3399814;3;20120625 01:40;V;;;;;;
B;136;3398827;4;20120625 01:40;;;102;LANG ST;PADSTOW;2211;502.8;M;20120324;20120618;585000;A;R;RESIDENCE;;ZC;;0;AH56062;
C;136;3398827;4;20120625 01:40;1/1128873;
D;136;3398827;4;20120625 01:40;P;;;;;;
D;136;3398827;4;20120625 01:40;P;;;;;;
D;136;3398827;4;20120625 01:40;V;;;;;;
D;136;3398827;4;20120625 01:40;V;;;;;;
B;136;1345983;5;20120625 01:40;;;35;ELLESMERE ST;PANANIA;2213;594.4;M;20120428;20120618;630000;A;R;RESIDENCE;;ZG;;0;AH59020;
C;136;1345983;5;20120625 01:40;15/233204;
D;136;1345983;5;20120625 01:40;P;;;;;;
D;136;1345983;5;20120625 01:40;P;;;;;;
D;136;1345983;5;20120625 01:40;V;;;;;;
B;136;1359450;6;20120625 01:40;;;24;LANCELOT ST;CONDELL PARK;2200;613.11;M;20120424;20120607;535000;A;R;RESIDENCE;;ZX;;0;AH43058;
C;136;1359450;6;20120625 01:40;6/20977;
D;136;1359450;6;20120625 01:40;P;;;;;;
D;136;1359450;6;20120625 01:40;P;;;;;;
D;136;1359450;6;20120625 01:40;P;;;;;;
D;136;1359450;6;20120625 01:40;V;;;;;;
D;136;1359450;6;20120625 01:40;V;;;;;;
B;136;1359536;7;20120625 01:40;;1;54;LANG ST;PADSTOW;2211;;;20120421;20120606;442000;;R;RESIDENCE;1;;;0;AH41827;
C;136;1359536;7;20120625 01:40;1/SP15594;
D;136;1359536;7;20120625 01:40;P;;;;;;
D;136;1359536;7;20120625 01:40;P;;;;;;
D;136;1359536;7;20120625 01:40;V;;;;;;
D;136;1359536;7;20120625 01:40;V;;;;;;
B;136;1330195;8;20120625 01:40;;;73;APEX AVE;PICNIC POINT;2213;550.1;M;20120327;20120327;14000;A;R;RESIDENCE;;ZD;;0;AH42631;
C;136;1330195;8;20120625 01:40;2/224486;
D;136;1330195;8;20120625 01:40;P;;;;;;
D;136;1330195;8;20120625 01:40;P;;;;;;
D;136;1330195;8;20120625 01:40;V;;;;;;
D;136;1330195;8;20120625 01:40;V;;;;;;
D;136;1330195;8;20120625 01:40;V;;;;;;
D;136;1330195;8;20120625 01:40;V;;;;;;
D;136;1330195;8;20120625 01:40;V;;;;;;
D;136;1330195;8;20120625 01:40;V;;;;;;
D;136;1330195;8;20120625 01:40;V;;;;;;
D;136;1330195;8;20120625 01:40;V;;;;;;
D;136;1330195;8;20120625 01:40;V;;;;;;
D;136;1330195;8;20120625 01:40;V;;;;;;
D;136;1330195;8;20120625 01:40;V;;;;;;
B;136;1357103;9;20120625 01:40;;;1;JAMIESON ST;REVESBY;2212;499.5;M;20111017;20120118;475000;A;R;RESIDENCE;;ZC;;0;AG904198;
C;136;1357103;9;20120625 01:40;57/35413;
D;136;1357103;9;20120625 01:40;P;;;;;;
D;136;1357103;9;20120625 01:40;P;;;;;;
D;136;1357103;9;20120625 01:40;V;;;;;;
B;136;1359729;10;20120625 01:40;;;37;LASCELLES AVE;GREENACRE;2190;668.74;M;20120324;20120507;556000;A;R;RESIDENCE;;ZL;;0;AH37745;
C;136;1359729;10;20120625 01:40;132/11389;
D;136;1359729;10;20120625 01:40;P;;;;;;
D;136;1359729;10;20120625 01:40;P;;;;;;
D;136;1359729;10;20120625 01:40;V;;;;;;
D;136;1359729;10;20120625 01:40;V;;;;;;
B;136;1362935;11;20120625 01:40;;;35;MARION ST;BANKSTOWN;2200;663.9;M;20120324;20120508;405500;A;R;RESIDENCE;;AC;;0;AH54642;
C;136;1362935;11;20120625 01:40;4/340369;
D;136;1362935;11;20120625 01:40;P;;;;;;
D;136;1362935;11;20120625 01:40;V;;;;;;
D;136;1362935;11;20120625 01:40;V;;;;;;
B;136;1336169;12;20120625 01:40;;;29;BUCKLAND ST;GREENACRE;2190;569.1;M;20120505;20120612;613000;A;R;RESIDENCE;;ZN;;0;AH46874;
C;136;1336169;12;20120625 01:40;34/21772;
D;136;1336169;12;20120625 01:40;P;;;;;;
D;136;1336169;12;20120625 01:40;V;;;;;;
D;136;1336169;12;20120625 01:40;V;;;;;;
B;136;1344124;13;20120625 01:40;;;38;DILKE RD;PADSTOW HEIGHTS;2211;619.7;M;20120417;20120612;495000;A;R;RESIDENCE;;ZA;;0;AH56345;
C;136;1344124;13;20120625 01:40;G/22321;
D;136;1344124;13;20120625 01:40;P;;;;;;
D;136;1344124;13;20120625 01:40;V;;;;;;
