A;RTSALEDATA;149;20120625 01:43;VALNET;
B;149;1659474;1;20120625 01:43;;;69;KURRAJONG ST;DORRIGO;2453;1012;M;20120515;20120601;337500;R1;R;RESIDENCE;;RDO;;0;AH45274;
C;149;1659474;1;20120625 01:43;14/C/5317;
D;149;1659474;1;20120625 01:43;P;;;;;;
D;149;1659474;1;20120625 01:43;V;;;;;;
D;149;1659474;1;20120625 01:43;V;;;;;;
B;149;1660757;2;20120625 01:43;;;29;BURRAWONG PDE;URUNGA;2455;1065;M;20120502;20120605;490000;R1;R;RESIDENCE;;RBK;;0;AH54097;
C;149;1660757;2;20120625 01:43;96/793468;
D;149;1660757;2;20120625 01:43;P;;;;;;
D;149;1660757;2;20120625 01:43;P;;;;;;
D;149;1660757;2;20120625 01:43;V;;;;;;
D;149;1660757;2;20120625 01:43;V;;;;;;
B;149;1661380;3;20120625 01:43;;3;40;ORARA ST;URUNGA;2455;;;20120523;20120608;255000;;R;RESIDENCE;3;;;0;AH54193;
C;149;1661380;3;20120625 01:43;3/SP22702;
D;149;1661380;3;20120625 01:43;P;;;;;;
D;149;1661380;3;20120625 01:43;V;;;;;;
B;149;3100380;4;20120625 01:43;;;7;PARKES ST;DORRIGO;2453;912.6;M;20120508;20120605;129000;R1;V;VACANT LAND;;RDO;;0;AH46042;
C;149;3100380;4;20120625 01:43;10/262607;
D;149;3100380;4;20120625 01:43;P;;;;;;
D;149;3100380;4;20120625 01:43;V;;;;;;
Z;21;4;4;11;
