A;RTSALEDATA;303;20180319 01:17;VALNET;
B;303;2983998;1;20180319 01:17;;;7056;OLD GLEN INNES RD;NEWTON BOYD;2370;75.24;H;20180212;20180302;195000;E3;V;VACANT LAND;;EEM;;0;AN182732;
C;303;2983998;1;20180319 01:17;24/631728;
D;303;2983998;1;20180319 01:17;P;;;;;;
D;303;2983998;1;20180319 01:17;V;;;;;;
B;303;1720333;2;20180319 01:17;;;12;ELIZABETH AVE;GRAFTON;2460;638.6;M;20180207;20180314;258000;R1;R;RESIDENCE;;EBB;;0;AN189750;
C;303;1720333;2;20180319 01:17;2/781297;
D;303;1720333;2;20180319 01:17;P;;;;;;
D;303;1720333;2;20180319 01:17;V;;;;;;
B;303;1723378;3;20180319 01:17;;2;12;PRINCE ST;GRAFTON;2460;;;20170622;20180228;270000;;3;OFFICE;2;;;0;AN181032;
C;303;1723378;3;20180319 01:17;2/SP21662;
D;303;1723378;3;20180319 01:17;P;;;;;;
D;303;1723378;3;20180319 01:17;P;;;;;;
D;303;1723378;3;20180319 01:17;P;;;;;;
D;303;1723378;3;20180319 01:17;V;;;;;;
B;303;1723484;4;20180319 01:17;;16;213;PRINCE ST;GRAFTON;2460;;;20171220;20180119;70000;;R;RESIDENCE;16;;;1;AN184237;
C;303;1723484;4;20180319 01:17;16/SP62712;
D;303;1723484;4;20180319 01:17;P;;;;;;
D;303;1723484;4;20180319 01:17;V;;;;;;
D;303;1723484;4;20180319 01:17;V;;;;;;
B;303;1723949;5;20180319 01:17;;;48;ROBERTS DR;SOUTH GRAFTON;2460;733.5;M;20180118;20180302;287500;R1;R;RESIDENCE;;ADD;;0;AN182781;
C;303;1723949;5;20180319 01:17;72/234311;
D;303;1723949;5;20180319 01:17;P;;;;;;
D;303;1723949;5;20180319 01:17;P;;;;;;
D;303;1723949;5;20180319 01:17;V;;;;;;
D;303;1723949;5;20180319 01:17;V;;;;;;
B;303;1716008;6;20180319 01:17;;;21;STOCKYARD CREEK RD;COALDALE;2460;40.93;H;20180202;20180305;130000;RU2;V;VACANT LAND;;CLL;;0;AN186143;
C;303;1716008;6;20180319 01:17;21/851605;
D;303;1716008;6;20180319 01:17;P;;;;;;
D;303;1716008;6;20180319 01:17;P;;;;;;
D;303;1716008;6;20180319 01:17;V;;;;;;
B;303;1721833;7;20180319 01:17;;;24;MACPHERSON CRES;GRAFTON;2460;885.2;M;20180122;20180305;260000;R1;R;RESIDENCE;;EBB;;0;AN179899;
C;303;1721833;7;20180319 01:17;12/226954;
D;303;1721833;7;20180319 01:17;P;;;;;;
D;303;1721833;7;20180319 01:17;P;;;;;;
D;303;1721833;7;20180319 01:17;V;;;;;;
D;303;1721833;7;20180319 01:17;V;;;;;;
B;303;1716779;8;20180319 01:17;;;771;LAWRENCE RD;SOUTHGATE;2460;18.21;H;20180122;20180223;570000;RU1;R;RESIDENCE;;JBB;;0;AN172606;
C;303;1716779;8;20180319 01:17;21/42338 PT 103/751371;
D;303;1716779;8;20180319 01:17;P;;;;;;
D;303;1716779;8;20180319 01:17;P;;;;;;
D;303;1716779;8;20180319 01:17;V;;;;;;
B;303;1763190;9;20180319 01:17;;;14;WARD ST;LAWRENCE;2460;1036;M;20180205;20180309;172500;R2;R;RESIDENCE;;VDD;;0;AN179886;
C;303;1763190;9;20180319 01:17;62/627332;
D;303;1763190;9;20180319 01:17;P;;;;;;
D;303;1763190;9;20180319 01:17;V;;;;;;
D;303;1763190;9;20180319 01:17;V;;;;;;
B;303;1768797;10;20180319 01:17;;;44;GUMNUT RD;YAMBA;2464;360;M;20180125;20180313;395000;R2;R;RESIDENCE;;AHH;;0;AN185845;
C;303;1768797;10;20180319 01:17;342/853494;
D;303;1768797;10;20180319 01:17;P;;;;;;
D;303;1768797;10;20180319 01:17;P;;;;;;
D;303;1768797;10;20180319 01:17;V;;;;;;
B;303;1768979;11;20180319 01:17;;;15;HERON CT;YAMBA;2464;567.1;M;20180116;20180309;520000;R2;R;RESIDENCE;;AHH;;0;AN179893;
C;303;1768979;11;20180319 01:17;76/804421;
D;303;1768979;11;20180319 01:17;P;;;;;;
D;303;1768979;11;20180319 01:17;P;;;;;;
D;303;1768979;11;20180319 01:17;V;;;;;;
B;303;1769206;12;20180319 01:17;;;28;MELALEUCA DR;YAMBA;2464;668.6;M;20180207;20180314;478000;R2;R;RESIDENCE;;AHH;;0;AN193348;
C;303;1769206;12;20180319 01:17;191/260230;
D;303;1769206;12;20180319 01:17;P;;;;;;
D;303;1769206;12;20180319 01:17;P;;;;;;
D;303;1769206;12;20180319 01:17;V;;;;;;
D;303;1769206;12;20180319 01:17;V;;;;;;
B;303;1769742;13;20180319 01:17;;;23;PALM TCE;YAMBA;2464;671.3;M;20180213;20180307;580000;R2;R;RESIDENCE;;AHH;;0;AN190089;
C;303;1769742;13;20180319 01:17;66/786682;
D;303;1769742;13;20180319 01:17;P;;;;;;
D;303;1769742;13;20180319 01:17;V;;;;;;
D;303;1769742;13;20180319 01:17;V;;;;;;
B;303;1767253;14;20180319 01:17;;;223;ILUKA RD;WOOMBAH;2469;1.004;H;20171221;20180307;490000;R5;R;RESIDENCE;;JFH;;0;AN188147;
C;303;1767253;14;20180319 01:17;302/857366;
D;303;1767253;14;20180319 01:17;P;;;;;;
D;303;1767253;14;20180319 01:17;P;;;;;;
D;303;1767253;14;20180319 01:17;V;;;;;;
B;303;1762274;15;20180319 01:17;MERDUKA SANDS;5;28;OCEAN RD;BROOMS HEAD;2463;;;20180213;20180313;215000;;R;RESIDENCE;5;;;0;AN186442;
C;303;1762274;15;20180319 01:17;5/SP22418;
D;303;1762274;15;20180319 01:17;P;;;;;;
D;303;1762274;15;20180319 01:17;P;;;;;;
D;303;1762274;15;20180319 01:17;V;;;;;;
B;303;1767696;16;20180319 01:17;;;33;PACIFIC ST;ANGOURIE;2464;537.5;M;20180308;20180313;1300000;R2;R;RESIDENCE;;AEE;;0;AN185403;
C;303;1767696;16;20180319 01:17;5/12/758021;
D;303;1767696;16;20180319 01:17;P;;;;;;
D;303;1767696;16;20180319 01:17;P;;;;;;
D;303;1767696;16;20180319 01:17;V;;;;;;
B;303;3024843;17;20180319 01:17;;;13;THE GLEN;MACLEAN;2463;4088;M;20171023;20180208;90000;R2;V;VACANT LAND;;LMM;;0;AN188707;
C;303;3024843;17;20180319 01:17;36/1057586;
D;303;3024843;17;20180319 01:17;P;;;;;;
D;303;3024843;17;20180319 01:17;V;;;;;;
B;303;3045571;18;20180319 01:17;;;5;CUMBERLAND CT;YAMBA;2464;607.5;M;20180115;20180307;599000;R2;R;RESIDENCE;;AHH;;0;AN184366;
C;303;3045571;18;20180319 01:17;27/1061843;
D;303;3045571;18;20180319 01:17;P;;;;;;
D;303;3045571;18;20180319 01:17;V;;;;;;
D;303;3045571;18;20180319 01:17;V;;;;;;
B;303;3572673;19;20180319 01:17;;;5;MOSSBERRY AVE;JUNCTION HILL;2460;556.4;M;20180213;20180308;227000;R2;R;RESIDENCE;;JEE;;0;AN178313;
C;303;3572673;19;20180319 01:17;29/226031;
D;303;3572673;19;20180319 01:17;P;;;;;;
D;303;3572673;19;20180319 01:17;V;;;;;;
D;303;3572673;19;20180319 01:17;V;;;;;;
B;303;4083330;20;20180319 01:17;;;31;VICTORIA ST;GRAFTON;2460;245;M;20170901;20180108;470000;;R;RESIDENCE;2;;;0;AN106223;
C;303;4083330;20;20180319 01:17;2/SP96749;
D;303;4083330;20;20180319 01:17;P;;;;;;
D;303;4083330;20;20180319 01:17;V;;;;;;
B;303;4103109;21;20180319 01:17;;;;MARENGO RD;HERNANI;2453;4.5;H;20180216;20180216;7870;;V;VACANT LAND;;;;0;AN152234;
C;303;4103109;21;20180319 01:17;1/1238877;
D;303;4103109;21;20180319 01:17;P;;;;;;
D;303;4103109;21;20180319 01:17;V;;;;;;
B;303;4098249;22;20180319 01:17;;;252 A;POWELL ST;GRAFTON;2460;406.8;M;20180307;20180307;80000;;V;VACANT LAND;;;;0;AN178535;
C;303;4098249;22;20180319 01:17;41/1239934;
D;303;4098249;22;20180319 01:17;P;;;;;;
D;303;4098249;22;20180319 01:17;P;;;;;;
D;303;4098249;22;20180319 01:17;V;;;;;;
D;303;4098249;22;20180319 01:17;V;;;;;;
B;303;1765181;23;20180319 01:17;;;6 A;EMERALD PL;TOWNSEND;2463;441.9;M;20180214;20180223;282500;R2;R;RESIDENCE;;LLL;;0;AN183965;
C;303;1765181;23;20180319 01:17;62/877245;
D;303;1765181;23;20180319 01:17;P;;;;;;
D;303;1765181;23;20180319 01:17;P;;;;;;
D;303;1765181;23;20180319 01:17;V;;;;;;
B;303;1801456;24;20180319 01:17;;;45;LAKKARI ST;COUTTS CROSSING;2460;1001;M;20180201;20180315;345000;R2;R;RESIDENCE;;CFF;;0;AN193089;
C;303;1801456;24;20180319 01:17;39/710009;
D;303;1801456;24;20180319 01:17;P;;;;;;
D;303;1801456;24;20180319 01:17;P;;;;;;
