A;RTSALEDATA;137;20180226 01:17;VALNET;
B;137;4083496;1;20180226 01:17;;12;10;GLADSTONE ST;BURWOOD;2134;94;M;20171207;20180119;890000;;R;RESIDENCE;12;;;0;AN130669;
C;137;4083496;1;20180226 01:17;12/SP91946;
D;137;4083496;1;20180226 01:17;P;;;;;;
D;137;4083496;1;20180226 01:17;V;;;;;;
B;137;4083496;2;20180226 01:17;;17;10;GLADSTONE ST;BURWOOD;2134;94;M;20160518;20180124;900000;;R;RESIDENCE;17;;;0;AN140026;
C;137;4083496;2;20180226 01:17;17/SP91946;
D;137;4083496;2;20180226 01:17;P;;;;;;
D;137;4083496;2;20180226 01:17;V;;;;;;
B;137;4038039;3;20180226 01:17;;103;24 A;GORDON ST;BURWOOD;2134;;;20171220;20180131;920000;;R;RESIDENCE;6;;;0;AN120070;
C;137;4038039;3;20180226 01:17;6/SP95744;
D;137;4038039;3;20180226 01:17;P;;;;;;
D;137;4038039;3;20180226 01:17;V;;;;;;
B;137;1391323;4;20180226 01:17;;;96;CROYDON AVE;CROYDON PARK;2133;456.7;M;20180116;20180220;1250000;R2;R;RESIDENCE;;ESE;;0;AN142234;
C;137;1391323;4;20180226 01:17;611/842808;
D;137;1391323;4;20180226 01:17;P;;;;;;
D;137;1391323;4;20180226 01:17;P;;;;;;
D;137;1391323;4;20180226 01:17;V;;;;;;
B;137;1396719;5;20180226 01:17;;11;14;RUSSELL ST;STRATHFIELD;2135;;;20171028;20180131;938500;;R;RESIDENCE;11;;;0;AN112515;
C;137;1396719;5;20180226 01:17;11/SP4482;
D;137;1396719;5;20180226 01:17;P;;;;;;
D;137;1396719;5;20180226 01:17;P;;;;;;
D;137;1396719;5;20180226 01:17;V;;;;;;
B;137;1396719;6;20180226 01:17;;11;14;RUSSELL ST;STRATHFIELD;2135;;;20171028;20180131;938500;;R;RESIDENCE;27;;;0;AN112515;
C;137;1396719;6;20180226 01:17;27/SP4482;
D;137;1396719;6;20180226 01:17;P;;;;;;
D;137;1396719;6;20180226 01:17;P;;;;;;
D;137;1396719;6;20180226 01:17;V;;;;;;
B;137;1394184;7;20180226 01:17;;2;60 A;LUCAS RD;BURWOOD;2134;;;20171118;20180216;1120000;;R;RESIDENCE;2;;;0;AN139810;
C;137;1394184;7;20180226 01:17;2/SP5568;
D;137;1394184;7;20180226 01:17;P;;;;;;
D;137;1394184;7;20180226 01:17;V;;;;;;
B;137;1396942;8;20180226 01:17;;2;43;RUSSELL ST;STRATHFIELD;2135;;;20171028;20180215;3780000;;R;RESIDENCE;2;;;0;AN131561;
C;137;1396942;8;20180226 01:17;2/SP20576;
D;137;1396942;8;20180226 01:17;P;;;;;;
D;137;1396942;8;20180226 01:17;V;;;;;;
B;137;1396942;9;20180226 01:17;;3;43;RUSSELL ST;STRATHFIELD;2135;;;20171028;20180215;3780000;;R;RESIDENCE;3;;;0;AN131561;
C;137;1396942;9;20180226 01:17;3/SP20576;
D;137;1396942;9;20180226 01:17;P;;;;;;
D;137;1396942;9;20180226 01:17;V;;;;;;
B;137;1396942;10;20180226 01:17;;5;43;RUSSELL ST;STRATHFIELD;2135;;;20171028;20180215;3780000;;R;RESIDENCE;5;;;0;AN131561;
C;137;1396942;10;20180226 01:17;5/SP20576;
D;137;1396942;10;20180226 01:17;P;;;;;;
D;137;1396942;10;20180226 01:17;V;;;;;;
B;137;1396942;11;20180226 01:17;;6;43;RUSSELL ST;STRATHFIELD;2135;;;20171028;20180215;3780000;;R;RESIDENCE;6;;;0;AN131561;
C;137;1396942;11;20180226 01:17;6/SP20576;
D;137;1396942;11;20180226 01:17;P;;;;;;
D;137;1396942;11;20180226 01:17;V;;;;;;
B;137;1396942;12;20180226 01:17;;7;43;RUSSELL ST;STRATHFIELD;2135;;;20171028;20180215;3780000;;R;RESIDENCE;7;;;0;AN131561;
C;137;1396942;12;20180226 01:17;7/SP20576;
D;137;1396942;12;20180226 01:17;P;;;;;;
D;137;1396942;12;20180226 01:17;V;;;;;;
B;137;1396942;13;20180226 01:17;;8;43;RUSSELL ST;STRATHFIELD;2135;;;20171028;20180215;3780000;;R;RESIDENCE;8;;;0;AN131561;
C;137;1396942;13;20180226 01:17;8/SP20576;
D;137;1396942;13;20180226 01:17;P;;;;;;
D;137;1396942;13;20180226 01:17;V;;;;;;
B;137;1396942;14;20180226 01:17;;11;43;RUSSELL ST;STRATHFIELD;2135;;;20171028;20180215;3780000;;R;RESIDENCE;11;;;0;AN131561;
C;137;1396942;14;20180226 01:17;11/SP20576;
D;137;1396942;14;20180226 01:17;P;;;;;;
D;137;1396942;14;20180226 01:17;V;;;;;;
B;137;1396942;15;20180226 01:17;;12;43;RUSSELL ST;STRATHFIELD;2135;;;20171028;20180215;3780000;;R;RESIDENCE;12;;;0;AN131561;
C;137;1396942;15;20180226 01:17;12/SP20576;
D;137;1396942;15;20180226 01:17;P;;;;;;
D;137;1396942;15;20180226 01:17;V;;;;;;
B;137;1389518;16;20180226 01:17;;;33;BLENHEIM ST;CROYDON PARK;2133;654.25;M;20170717;20171117;1950000;R2;R;RESIDENCE;;ESW;;0;AM931287;
C;137;1389518;16;20180226 01:17;125/785;
D;137;1389518;16;20180226 01:17;P;;;;;;
D;137;1389518;16;20180226 01:17;V;;;;;;
B;137;1392045;17;20180226 01:17;;;56;FITZROY ST;BURWOOD;2134;676.6;M;20170812;20180213;2860000;R2;R;RESIDENCE;;EFH;;0;AN133259;
C;137;1392045;17;20180226 01:17;1/202882;
D;137;1392045;17;20180226 01:17;P;;;;;;
D;137;1392045;17;20180226 01:17;V;;;;;;
D;137;1392045;17;20180226 01:17;V;;;;;;
