A;RTSALEDATA;243;20180319 01:16;VALNET;
B;243;2645616;1;20180319 01:16;;;433;MURRAY ST;HAY;2711;583.3;M;20180206;20180227;37000;RU5;R;RESIDENCE;;RAA;;0;AN186456;
C;243;2645616;1;20180319 01:16;10/812034;
D;243;2645616;1;20180319 01:16;P;;;;;;
D;243;2645616;1;20180319 01:16;V;;;;;;
D;243;2645616;1;20180319 01:16;V;;;;;;
B;243;2644501;2;20180319 01:16;;;1;LACHLAN ST;BOOLIGAL;2711;1310;M;20180125;20180226;15000;RU5;R;RESIDENCE;;RVB;;0;AN184452;
C;243;2644501;2;20180319 01:16;1/718280;
D;243;2644501;2;20180319 01:16;P;;;;;;
D;243;2644501;2;20180319 01:16;P;;;;;;
D;243;2644501;2;20180319 01:16;V;;;;;;
B;243;2644691;3;20180319 01:16;;;374;ALMA ST;HAY;2711;2483;M;20180301;20180312;207000;RU5;R;RESIDENCE;;RAA;;0;AN190252;
C;243;2644691;3;20180319 01:16;1/741699;
D;243;2644691;3;20180319 01:16;P;;;;;;
D;243;2644691;3;20180319 01:16;P;;;;;;
D;243;2644691;3;20180319 01:16;V;;;;;;
B;243;2644751;4;20180319 01:16;;;391;CADELL ST;HAY;2711;1012;M;20180214;20180307;185000;RU5;R;RESIDENCE;;RAA;;0;AN190382;
C;243;2644751;4;20180319 01:16;2/559207;
D;243;2644751;4;20180319 01:16;P;;;;;;
D;243;2644751;4;20180319 01:16;V;;;;;;
D;243;2644751;4;20180319 01:16;V;;;;;;
B;243;2645194;5;20180319 01:16;;;311;LANG ST;HAY SOUTH;2711;1012;M;20180213;20180306;170000;RU5;R;RESIDENCE;;RAS;;0;AN187110;
C;243;2645194;5;20180319 01:16;1/582962;
D;243;2645194;5;20180319 01:16;P;;;;;;
D;243;2645194;5;20180319 01:16;P;;;;;;
D;243;2645194;5;20180319 01:16;V;;;;;;
Z;27;5;5;15;
