A;103;20080316 01:17;VALNET;
B;103;1132849;1;20080316 01:17;;;29;BOUNDARY RD;WINDANG;2528;594.4;M;20080122;20080219;363000;A;R;RESIDENCE;;DX;;0;AD812658;
C;103;1132849;1;20080316 01:17;69/233101;
D;103;1132849;1;20080316 01:17;P;;;;;;
D;103;1132849;1;20080316 01:17;P;;;;;;
D;103;1132849;1;20080316 01:17;V;;;;;;
B;103;1132942;2;20080316 01:17;;3;54;BOURKE ST;NORTH WOLLONGONG;2500;;;20080107;20080227;202000;;R;RESIDENCE;3;;;0;AD799601;
C;103;1132942;2;20080316 01:17;3/SP18442;
D;103;1132942;2;20080316 01:17;P;;;;;;
D;103;1132942;2;20080316 01:17;P;;;;;;
D;103;1132942;2;20080316 01:17;P;;;;;;
D;103;1132942;2;20080316 01:17;V;;;;;;
D;103;1132942;2;20080316 01:17;V;;;;;;
B;103;1146306;3;20080316 01:17;;;99;EDGEWORTH AVE;KANAHOOKA;2530;562.8;M;20070810;20080222;297000;A;R;RESIDENCE;;DH;;0;AD802857;
C;103;1146306;3;20080316 01:17;308/219306;
D;103;1146306;3;20080316 01:17;P;;;;;;
D;103;1146306;3;20080316 01:17;V;;;;;;
D;103;1146306;3;20080316 01:17;V;;;;;;
B;103;1127820;4;20080316 01:17;;;21;ARMITAGE AVE;HORSLEY;2530;600;M;20071023;20071207;408000;A;3;;;DT;;0;AD802673;
C;103;1127820;4;20080316 01:17;5403/1008989;
D;103;1127820;4;20080316 01:17;P;;;;;;
D;103;1127820;4;20080316 01:17;P;;;;;;
D;103;1127820;4;20080316 01:17;V;;;;;;
B;103;1127902;5;20080316 01:17;;;5;ARROW AVE;FIGTREE;2525;638.6;M;20080111;20080222;330000;A;R;RESIDENCE;;DC;;0;AD816914;
C;103;1127902;5;20080316 01:17;12/30180;
D;103;1127902;5;20080316 01:17;P;;;;;;
D;103;1127902;5;20080316 01:17;P;;;;;;
D;103;1127902;5;20080316 01:17;V;;;;;;
D;103;1127902;5;20080316 01:17;V;;;;;;
B;103;1133272;6;20080316 01:17;;;9;BRANCH AVE;FIGTREE;2525;556.4;M;20080208;20080227;448000;A;R;RESIDENCE;;DC;;0;AD804700;
C;103;1133272;6;20080316 01:17;15/225729;
D;103;1133272;6;20080316 01:17;P;;;;;;
D;103;1133272;6;20080316 01:17;P;;;;;;
D;103;1133272;6;20080316 01:17;V;;;;;;
B;103;1138590;7;20080316 01:17;;5;19;CHURCH ST;WOLLONGONG;2500;;;20080130;20080303;259000;;R;RESIDENCE;5;;;0;AD815965;
C;103;1138590;7;20080316 01:17;5/SP19512;
D;103;1138590;7;20080316 01:17;P;;;;;;
D;103;1138590;7;20080316 01:17;V;;;;;;
B;103;1138683;8;20080316 01:17;;5;45;CHURCH ST;WOLLONGONG;2500;;;20071207;20080118;220000;;R;RESIDENCE;5;;;0;AD725128;
C;103;1138683;8;20080316 01:17;5/SP17784;
D;103;1138683;8;20080316 01:17;P;;;;;;
D;103;1138683;8;20080316 01:17;P;;;;;;
D;103;1138683;8;20080316 01:17;V;;;;;;
B;103;1141315;9;20080316 01:17;;16;47;CORRIMAL ST;WOLLONGONG;2500;;;20080208;20080227;375000;;R;RESIDENCE;16;;;0;AD812623;
C;103;1141315;9;20080316 01:17;16/SP18018;
D;103;1141315;9;20080316 01:17;P;;;;;;
D;103;1141315;9;20080316 01:17;P;;;;;;
D;103;1141315;9;20080316 01:17;V;;;;;;
D;103;1141315;9;20080316 01:17;V;;;;;;
B;103;1150108;10;20080316 01:17;;2;29;FRANCIS ST;CORRIMAL;2518;;;20080201;20080303;375000;;R;RESIDENCE;2;;;0;AD810025;
C;103;1150108;10;20080316 01:17;2/SP54837;
D;103;1150108;10;20080316 01:17;P;;;;;;
D;103;1150108;10;20080316 01:17;P;;;;;;
D;103;1150108;10;20080316 01:17;V;;;;;;
B;103;1136028;11;20080316 01:17;;;17;CAMBRIDGE ST;BERKELEY;2506;613.4;M;20080125;20080222;223000;A;R;RESIDENCE;;DZ;;0;AD793891;
C;103;1136028;11;20080316 01:17;283/32303;
D;103;1136028;11;20080316 01:17;P;;;;;;
D;103;1136028;11;20080316 01:17;V;;;;;;
B;103;1128150;12;20080316 01:17;;;5;ASHMORE CRES;KANAHOOKA;2530;329.2;M;20071105;20071214;277000;A;R;RESIDENCE;;DH;AC;0;AD789222;
C;103;1128150;12;20080316 01:17;21/285161;
D;103;1128150;12;20080316 01:17;P;;;;;;
D;103;1128150;12;20080316 01:17;V;;;;;;
B;103;1141656;13;20080316 01:17;;3;22;CORRIMAL ST;WOLLONGONG;2500;;;20080118;20080229;279900;;R;RESIDENCE;3;;;0;AD814931;
C;103;1141656;13;20080316 01:17;3/SP21400;
D;103;1141656;13;20080316 01:17;P;;;;;;
D;103;1141656;13;20080316 01:17;V;;;;;;
D;103;1141656;13;20080316 01:17;V;;;;;;
B;103;1146950;14;20080316 01:17;;;53;ELOUERA CRES;KANAHOOKA;2530;543.8;M;20071219;20080222;392000;A;R;RESIDENCE;;DQ;;0;AD806296;
C;103;1146950;14;20080316 01:17;11/214903;
D;103;1146950;14;20080316 01:17;P;;;;;;
D;103;1146950;14;20080316 01:17;P;;;;;;
D;103;1146950;14;20080316 01:17;V;;;;;;
B;103;1136442;15;20080316 01:17;;4;18;CAMPBELL ST;WOLLONGONG;2500;;;20080212;20080229;365000;;R;RESIDENCE;4;;;0;AD815411;
C;103;1136442;15;20080316 01:17;4/SP49185;
D;103;1136442;15;20080316 01:17;P;;;;;;
D;103;1136442;15;20080316 01:17;P;;;;;;
D;103;1136442;15;20080316 01:17;V;;;;;;
B;103;1144419;16;20080316 01:17;;;7;DENMARK ST;WOMBARRA;2515;809.4;M;20080110;20080221;499000;A;R;RESIDENCE;;CB;;0;AD814096;
C;103;1144419;16;20080316 01:17;2/5998;
D;103;1144419;16;20080316 01:17;P;;;;;;
D;103;1144419;16;20080316 01:17;P;;;;;;
D;103;1144419;16;20080316 01:17;V;;;;;;
B;103;1128557;17;20080316 01:17;;;124;AUBURN ST;CONISTON;2500;1.09;H;20070502;20070628;7000000;I;3;FACTORY UNITS;;UW;IFO;0;AD263921;
C;103;1128557;17;20080316 01:17;27, 28/5330 B, C/372783 1, 2, 3/392777 PT 10/1118561;
D;103;1128557;17;20080316 01:17;P;;;;;;
D;103;1128557;17;20080316 01:17;V;;;;;;
B;103;1128560;18;20080316 01:17;;;120;AUBURN ST;CONISTON;2500;682.9;M;20070502;20070628;7000000;I;3;FACTORY UNITS;;UW;IFO;0;AD263921;
C;103;1128560;18;20080316 01:17;B/449620;
D;103;1128560;18;20080316 01:17;P;;;;;;
D;103;1128560;18;20080316 01:17;V;;;;;;
B;103;1128561;19;20080316 01:17;;;118;AUBURN ST;CONISTON;2500;4022;M;20070502;20070628;7000000;I;3;FACTORY UNITS;;UW;IFO;0;AD263921;
C;103;1128561;19;20080316 01:17;PT 10/1118561;
D;103;1128561;19;20080316 01:17;P;;;;;;
D;103;1128561;19;20080316 01:17;V;;;;;;
B;103;1136541;20;20080316 01:17;;12;73;CAMPBELL ST;WOLLONGONG;2500;;;20071214;20080125;371000;;R;RESIDENCE;12;;;0;AD799883;
C;103;1136541;20;20080316 01:17;12/SP60279;
D;103;1136541;20;20080316 01:17;P;;;;;;
D;103;1136541;20;20080316 01:17;V;;;;;;
D;103;1136541;20;20080316 01:17;V;;;;;;
B;103;1141893;21;20080316 01:17;;;7;COTTAGE GR;CORRIMAL;2518;860;M;20071220;20080131;430000;A;R;RESIDENCE;;CS;;0;AD806981;
C;103;1141893;21;20080316 01:17;19/26043;
