A;072;20080301 01:11;VALNET;
B;072;2848882;1;20080301 01:11;;;;PH GILMORE;TUMUT;2720;1.632;H;20040521;20040629;135000;R;3;FARMING LAND;;GV;RR;0;AD747707;
C;072;2848882;1;20080301 01:11;1/1022477;
D;072;2848882;1;20080301 01:11;P;;;;;;
D;072;2848882;1;20080301 01:11;P;;;;;;
D;072;2848882;1;20080301 01:11;P;;;;;;
D;072;2848882;1;20080301 01:11;V;;;;;;
D;072;2848882;1;20080301 01:11;V;;;;;;
B;072;2848882;2;20080301 01:11;;;;PH GILMORE;TUMUT;2720;1.632;H;20060328;20060328;90000;R;3;FARMING LAND;;GV;RR;0;AD747708;
C;072;2848882;2;20080301 01:11;1/1022477;
D;072;2848882;2;20080301 01:11;P;;;;;;
D;072;2848882;2;20080301 01:11;V;;;;;;
D;072;2848882;2;20080301 01:11;V;;;;;;
B;072;2848883;3;20080301 01:11;;;;PH GILMORE;TUMUT;2720;79.9;H;20040521;20040629;135000;R;3;FARMING LAND;;RP;RR;0;AD747707;
C;072;2848883;3;20080301 01:11;2/1022477;
D;072;2848883;3;20080301 01:11;P;;;;;;
D;072;2848883;3;20080301 01:11;P;;;;;;
D;072;2848883;3;20080301 01:11;P;;;;;;
D;072;2848883;3;20080301 01:11;V;;;;;;
D;072;2848883;3;20080301 01:11;V;;;;;;
B;072;2848883;4;20080301 01:11;;;;PH GILMORE;TUMUT;2720;79.9;H;20060328;20060328;90000;R;3;FARMING LAND;;RP;RR;0;AD747708;
C;072;2848883;4;20080301 01:11;2/1022477;
D;072;2848883;4;20080301 01:11;P;;;;;;
D;072;2848883;4;20080301 01:11;V;;;;;;
D;072;2848883;4;20080301 01:11;V;;;;;;
B;072;3365035;5;20080301 01:11;;;84 A;CAREY ST;TUMUT;2720;762.9;M;20071002;20080213;140000;;R;RESIDENCE;;;;0;AD775503;
C;072;3365035;5;20080301 01:11;1/1122141;
D;072;3365035;5;20080301 01:11;P;;;;;;
D;072;3365035;5;20080301 01:11;V;;;;;;
D;072;3365035;5;20080301 01:11;V;;;;;;
D;072;3365035;5;20080301 01:11;V;;;;;;
B;072;3319893;6;20080301 01:11;;;18 A;QUARTZ ST;ADELONG;2729;1209;M;20071015;20071219;50000;A;V;VACANT LAND;;DZ;AV;0;AD760022;
C;072;3319893;6;20080301 01:11;2/1112887;
D;072;3319893;6;20080301 01:11;P;;;;;;
D;072;3319893;6;20080301 01:11;P;;;;;;
D;072;3319893;6;20080301 01:11;V;;;;;;
D;072;3319893;6;20080301 01:11;V;;;;;;
B;072;3325016;7;20080301 01:11;;;;GREEN ST THE RISE;TUMUT;2720;928.4;M;20060627;20071217;79000;A;V;VACANT LAND;;CF;;0;AD668663;
C;072;3325016;7;20080301 01:11;5/1101974;
D;072;3325016;7;20080301 01:11;P;;;;;;
D;072;3325016;7;20080301 01:11;P;;;;;;
D;072;3325016;7;20080301 01:11;V;;;;;;
B;072;3325017;8;20080301 01:11;;;;GREEN ST THE RISE;TUMUT;2720;945.4;M;20060627;20071217;79000;A;V;VACANT LAND;;CF;;0;AD668664;
C;072;3325017;8;20080301 01:11;6/1101974;
D;072;3325017;8;20080301 01:11;P;;;;;;
D;072;3325017;8;20080301 01:11;P;;;;;;
D;072;3325017;8;20080301 01:11;V;;;;;;
B;072;557391;9;20080301 01:11;;;15;BLOWERING RD;TUMUT;2720;1807;M;20080130;20080221;210000;A;R;RESIDENCE;;CF;;0;AD790059;
C;072;557391;9;20080301 01:11;4/610461;
D;072;557391;9;20080301 01:11;P;;;;;;
D;072;557391;9;20080301 01:11;V;;;;;;
B;072;554878;10;20080301 01:11;;;1866;SNOWY MOUNTAINS HWY;ADELONG;2729;8094;M;20070419;20080201;160000;R;R;RESIDENCE;;TG;;0;AD769492;
C;072;554878;10;20080301 01:11;433/757211;
D;072;554878;10;20080301 01:11;P;;;;;;
D;072;554878;10;20080301 01:11;V;;;;;;
B;072;557564;11;20080301 01:11;;;48;BROUGHTON ST;TUMUT;2720;999.1;M;20071219;20080125;211000;A;R;RESIDENCE;;CE;;0;AD772681;
C;072;557564;11;20080301 01:11;197/757252;
D;072;557564;11;20080301 01:11;P;;;;;;
D;072;557564;11;20080301 01:11;V;;;;;;
B;072;555138;12;20080301 01:11;;;1;BANKSIA AVE;BATLOW;2730;3054;M;20080118;20080215;185000;A;R;RESIDENCE;;DM;;0;AD780870;
C;072;555138;12;20080301 01:11;1/712439;
D;072;555138;12;20080301 01:11;P;;;;;;
D;072;555138;12;20080301 01:11;P;;;;;;
D;072;555138;12;20080301 01:11;V;;;;;;
D;072;555138;12;20080301 01:11;V;;;;;;
B;072;555161;13;20080301 01:11;;;10;BARTLETT ST;BATLOW;2730;1284;M;20071220;20080125;196000;A;R;RESIDENCE;;DP;;0;AD785768;
C;072;555161;13;20080301 01:11;4/602284;
D;072;555161;13;20080301 01:11;P;;;;;;
D;072;555161;13;20080301 01:11;P;;;;;;
D;072;555161;13;20080301 01:11;V;;;;;;
B;072;557939;14;20080301 01:11;;;83;CLARKE ST;TUMUT;2720;1113;M;20080129;20080208;110000;A;R;RESIDENCE;;CJ;;0;AD762697;
C;072;557939;14;20080301 01:11;25/A/5276;
D;072;557939;14;20080301 01:11;P;;;;;;
D;072;557939;14;20080301 01:11;P;;;;;;
D;072;557939;14;20080301 01:11;V;;;;;;
B;072;558267;15;20080301 01:11;;4;11;FITZROY ST;TUMUT;2720;;;20071121;20071219;255000;;R;RESIDENCE;8;;;0;AD764076;
C;072;558267;15;20080301 01:11;8/SP55203;
D;072;558267;15;20080301 01:11;P;;;;;;
D;072;558267;15;20080301 01:11;V;;;;;;
D;072;558267;15;20080301 01:11;V;;;;;;
B;072;558718;16;20080301 01:11;;;4;KINRED ST;TUMUT;2720;866.3;M;20080116;20080211;350000;A;R;RESIDENCE;;CH;;0;AD774719;
C;072;558718;16;20080301 01:11;37/230864;
D;072;558718;16;20080301 01:11;P;;;;;;
D;072;558718;16;20080301 01:11;P;;;;;;
D;072;558718;16;20080301 01:11;V;;;;;;
B;072;559097;17;20080301 01:11;;;8;MOUNTFORD ST;TUMUT;2720;876;M;20071206;20080130;200000;A;R;RESIDENCE;;CE;AC;0;AD760895;
C;072;559097;17;20080301 01:11;2/609310;
D;072;559097;17;20080301 01:11;P;;;;;;
D;072;559097;17;20080301 01:11;P;;;;;;
D;072;559097;17;20080301 01:11;V;;;;;;
B;072;556923;18;20080301 01:11;;;8;CLAYTON ST;TALBINGO;2720;746.1;M;20080114;20080130;145000;A;R;RESIDENCE;;DU;;0;AD782290;
C;072;556923;18;20080301 01:11;7/238760;
D;072;556923;18;20080301 01:11;P;;;;;;
D;072;556923;18;20080301 01:11;P;;;;;;
D;072;556923;18;20080301 01:11;V;;;;;;
D;072;556923;18;20080301 01:11;V;;;;;;
D;072;556923;18;20080301 01:11;V;;;;;;
D;072;556923;18;20080301 01:11;V;;;;;;
B;072;557088;19;20080301 01:11;;;14;PETHER ST;TALBINGO;2720;714.5;M;20071220;20080121;130000;A;R;RESIDENCE;;DU;;10;AD771037;
C;072;557088;19;20080301 01:11;70/238758;
D;072;557088;19;20080301 01:11;P;;;;;;
D;072;557088;19;20080301 01:11;P;;;;;;
D;072;557088;19;20080301 01:11;V;;;;;;
D;072;557088;19;20080301 01:11;V;;;;;;
B;072;557095;20;20080301 01:11;;;1;PETHER ST;TALBINGO;2720;727.2;M;20071220;20080118;140000;A;R;RESIDENCE;;DU;AC;0;AD762161;
C;072;557095;20;20080301 01:11;6/238759;
D;072;557095;20;20080301 01:11;P;;;;;;
D;072;557095;20;20080301 01:11;P;;;;;;
D;072;557095;20;20080301 01:11;V;;;;;;
B;072;554564;21;20080301 01:11;;;44;LOCKHART ST;ADELONG;2729;1012;M;20080114;20080207;180000;A;R;RESIDENCE;;DZ;;0;AD763403;
C;072;554564;21;20080301 01:11;15/5/758009;
D;072;554564;21;20080301 01:11;P;;;;;;
D;072;554564;21;20080301 01:11;V;;;;;;
B;072;557105;22;20080301 01:11;;;27;PETHER ST;TALBINGO;2720;695.6;M;20071018;20071205;147500;A;R;RESIDENCE;;DU;;0;AD782225;
C;072;557105;22;20080301 01:11;61/238760;
D;072;557105;22;20080301 01:11;P;;;;;;
D;072;557105;22;20080301 01:11;P;;;;;;
D;072;557105;22;20080301 01:11;V;;;;;;
B;072;557123;23;20080301 01:11;;;23;RYAN ST;TALBINGO;2720;853.4;M;20071210;20080213;140000;A;R;RESIDENCE;;DU;;0;AD787170;
C;072;557123;23;20080301 01:11;14/244278;
D;072;557123;23;20080301 01:11;P;;;;;;
D;072;557123;23;20080301 01:11;P;;;;;;
D;072;557123;23;20080301 01:11;V;;;;;;
