A;205;20080505 01:14;VALNET;
B;205;1923020;1;20080505 01:14;;1;1;FLAT ST;LEICHHARDT;2040;;;20080214;20080327;550000;;R;RESIDENCE;1;;;0;AD910660;
C;205;1923020;1;20080505 01:14;1/SP58652;
D;205;1923020;1;20080505 01:14;P;;;;;;
D;205;1923020;1;20080505 01:14;V;;;;;;
B;205;1915718;2;20080505 01:14;;26;38;BOOTH ST;ANNANDALE;2038;;;20080314;20080418;605000;;R;RESIDENCE;26;;;0;AD917566;
C;205;1915718;2;20080505 01:14;26/SP56009;
D;205;1915718;2;20080505 01:14;P;;;;;;
D;205;1915718;2;20080505 01:14;V;;;;;;
D;205;1915718;2;20080505 01:14;V;;;;;;
B;205;1928621;3;20080505 01:14;;;15;LAWSON ST;BALMAIN;2041;158.1;M;20080312;20080423;1250000;A;R;RESIDENCE;;EC;;0;AD917326;
C;205;1928621;3;20080505 01:14;2/209382;
D;205;1928621;3;20080505 01:14;P;;;;;;
D;205;1928621;3;20080505 01:14;P;;;;;;
D;205;1928621;3;20080505 01:14;V;;;;;;
D;205;1928621;3;20080505 01:14;V;;;;;;
B;205;1939026;4;20080505 01:14;OFF;30;2;WATER ST;BALMAIN;2041;;;20080415;20080415;1000;;3;STORAGE SPACE;30;;;0;AD895016;
C;205;1939026;4;20080505 01:14;30/SP56650;
D;205;1939026;4;20080505 01:14;P;;;;;;
D;205;1939026;4;20080505 01:14;V;;;;;;
B;205;1934243;5;20080505 01:14;;;10;PRETORIA ST;LILYFIELD;2040;297.2;M;20080308;20080421;980000;A;R;RESIDENCE;;EA;;0;AD915164;
C;205;1934243;5;20080505 01:14;74/977323;
D;205;1934243;5;20080505 01:14;P;;;;;;
D;205;1934243;5;20080505 01:14;V;;;;;;
D;205;1934243;5;20080505 01:14;V;;;;;;
B;205;1934305;6;20080505 01:14;;;19;PRITCHARD ST;ANNANDALE;2038;232.1;M;20080308;20080418;1200000;A;R;RESIDENCE;;EK;;0;AD915498;
C;205;1934305;6;20080505 01:14;2/609323;
D;205;1934305;6;20080505 01:14;P;;;;;;
D;205;1934305;6;20080505 01:14;P;;;;;;
D;205;1934305;6;20080505 01:14;V;;;;;;
D;205;1934305;6;20080505 01:14;V;;;;;;
