A;RTSALEDATA;301;20120806 01:20;VALNET;
B;301;1879591;1;20120806 01:20;;;7;PHILLIP ST;QUIRINDI;2343;695.5;M;20120606;20120718;156000;R1;R;RESIDENCE;;AQW;;0;AH135973;
C;301;1879591;1;20120806 01:20;10/240951;
D;301;1879591;1;20120806 01:20;P;;;;;;
D;301;1879591;1;20120806 01:20;P;;;;;;
D;301;1879591;1;20120806 01:20;V;;;;;;
D;301;1879591;1;20120806 01:20;V;;;;;;
B;301;3649792;2;20120806 01:20;;;30;DAVIS ST;CURRABUBULA;2342;1398;M;20120704;20120713;150000;;R;RESIDENCE;;;;0;AH120323;
C;301;3649792;2;20120806 01:20;31/1129557;
D;301;3649792;2;20120806 01:20;P;;;;;;
D;301;3649792;2;20120806 01:20;V;;;;;;
D;301;3649792;2;20120806 01:20;V;;;;;;
Z;13;2;2;7;
