A;RTSALEDATA;086;20120820 01:26;VALNET;
B;086;743909;1;20120820 01:26;;;78;KIRKWOOD ST;SEAFORTH;2092;520.1;M;20120609;20120720;870000;A;3;HOUSE;;EA;;0;AH141266;
C;086;743909;1;20120820 01:26;107/11162;
D;086;743909;1;20120820 01:26;P;;;;;;
D;086;743909;1;20120820 01:26;P;;;;;;
D;086;743909;1;20120820 01:26;V;;;;;;
B;086;738709;2;20120820 01:26;;7;22;CLIFF ST;MANLY;2095;;;20120612;20120807;800000;;R;RESIDENCE;7;;;0;AH170413;
C;086;738709;2;20120820 01:26;7/SP8481;
D;086;738709;2;20120820 01:26;P;;;;;;
D;086;738709;2;20120820 01:27;V;;;;;;
B;086;741592;3;20120820 01:27;;9;24;FAIRLIGHT ST;FAIRLIGHT;2094;;;20120529;20120710;530000;;3;HOME UNIT;9;;;0;AH121616;
C;086;741592;3;20120820 01:27;9/SP3347;
D;086;741592;3;20120820 01:27;P;;;;;;
D;086;741592;3;20120820 01:27;V;;;;;;
B;086;741592;4;20120820 01:27;;9;24;FAIRLIGHT ST;FAIRLIGHT;2094;;;20120529;20120710;530000;;3;HOME UNIT;34;;;0;AH121616;
C;086;741592;4;20120820 01:27;34/SP3347;
D;086;741592;4;20120820 01:27;P;;;;;;
D;086;741592;4;20120820 01:27;V;;;;;;
B;086;744645;5;20120820 01:27;;6;17;LODGE ST;BALGOWLAH;2093;;;20120717;20120809;445000;;R;RESIDENCE;6;;;0;AH176339;
C;086;744645;5;20120820 01:27;6/SP14191;
D;086;744645;5;20120820 01:27;P;;;;;;
D;086;744645;5;20120820 01:27;V;;;;;;
B;086;751349;6;20120820 01:27;;10;7;TOWER ST;MANLY;2095;;;20120620;20120801;486793;;R;RESIDENCE;10;;;0;AH157986;
C;086;751349;6;20120820 01:27;10/SP6833;
D;086;751349;6;20120820 01:27;P;;;;;;
D;086;751349;6;20120820 01:27;V;;;;;;
B;086;747304;7;20120820 01:27;;14;2;PINE ST;MANLY;2095;;;20120630;20120801;325000;;R;RESIDENCE;14;;;0;AH161406;
C;086;747304;7;20120820 01:27;14/SP44635;
D;086;747304;7;20120820 01:27;P;;;;;;
D;086;747304;7;20120820 01:27;V;;;;;;
D;086;747304;7;20120820 01:27;V;;;;;;
B;086;3483403;8;20120820 01:27;;301;2;SYLVAN AVE;BALGOWLAH;2093;120;M;20120620;20120801;775000;;R;RESIDENCE;40;;;0;AH162694;
C;086;3483403;8;20120820 01:27;40/SP81719;
D;086;3483403;8;20120820 01:27;P;;;;;;
D;086;3483403;8;20120820 01:27;V;;;;;;
B;086;3483403;9;20120820 01:27;;601;4;SYLVAN AVE;BALGOWLAH;2093;186;M;20120614;20120726;1320000;;R;RESIDENCE;91;;;0;AH158824;
C;086;3483403;9;20120820 01:27;91/SP81719;
D;086;3483403;9;20120820 01:27;P;;;;;;
D;086;3483403;9;20120820 01:27;P;;;;;;
D;086;3483403;9;20120820 01:27;V;;;;;;
B;086;3645267;10;20120820 01:27;;102 C;8;THE CORSO;MANLY;2095;136;M;20120413;20120718;1225000;;R;RESIDENCE;2;;;0;AH122122;
C;086;3645267;10;20120820 01:27;2/SP86845;
D;086;3645267;10;20120820 01:27;P;;;;;;
D;086;3645267;10;20120820 01:27;P;;;;;;
D;086;3645267;10;20120820 01:27;V;;;;;;
B;086;3645267;11;20120820 01:27;;204;8;THE CORSO;MANLY;2095;142;M;20100705;20120726;850000;;R;RESIDENCE;8;;;0;AH150300;
C;086;3645267;11;20120820 01:27;8/SP86845;
D;086;3645267;11;20120820 01:27;P;;;;;;
