A;RTSALEDATA;222;20121119 01:27;VALNET;
B;222;2466767;1;20121119 01:27;;;83;MAIN ST;LITHGOW;2790;1290;M;20121002;20121029;225000;B;3;COMMERCIAL;;BA;;0;AH348136;
C;222;2466767;1;20121119 01:27;10/771040;
D;222;2466767;1;20121119 01:27;P;;;;;;
D;222;2466767;1;20121119 01:27;P;;;;;;
D;222;2466767;1;20121119 01:27;P;;;;;;
D;222;2466767;1;20121119 01:27;P;;;;;;
D;222;2466767;1;20121119 01:27;P;;;;;;
D;222;2466767;1;20121119 01:27;P;;;;;;
D;222;2466767;1;20121119 01:27;P;;;;;;
D;222;2466767;1;20121119 01:27;P;;;;;;
D;222;2466767;1;20121119 01:27;V;;;;;;
D;222;2466767;1;20121119 01:27;V;;;;;;
D;222;2466767;1;20121119 01:27;V;;;;;;
D;222;2466767;1;20121119 01:27;V;;;;;;
D;222;2466767;1;20121119 01:27;V;;;;;;
D;222;2466767;1;20121119 01:27;V;;;;;;
D;222;2466767;1;20121119 01:27;V;;;;;;
D;222;2466767;1;20121119 01:27;V;;;;;;
D;222;2466767;1;20121119 01:27;V;;;;;;
D;222;2466767;1;20121119 01:27;V;;;;;;
D;222;2466767;1;20121119 01:27;V;;;;;;
D;222;2466767;1;20121119 01:27;V;;;;;;
D;222;2466767;1;20121119 01:27;V;;;;;;
D;222;2466767;1;20121119 01:27;V;;;;;;
D;222;2466767;1;20121119 01:27;V;;;;;;
D;222;2466767;1;20121119 01:27;V;;;;;;
B;222;2472178;2;20121119 01:27;;;18;FOURTH ST;SOUTH LITTLETON;2790;385.7;M;20120926;20121106;154000;A;R;RESIDENCE;;AL;;0;AH347074;
C;222;2472178;2;20121119 01:27;82/28254;
D;222;2472178;2;20121119 01:27;P;;;;;;
D;222;2472178;2;20121119 01:27;V;;;;;;
B;222;2470213;3;20121119 01:27;;;50;RAILWAY AVE;PORTLAND;2847;1012;M;20121005;20121029;70000;Z;R;RESIDENCE;;PA;;0;AH354319;
C;222;2470213;3;20121119 01:27;8/5383;
D;222;2470213;3;20121119 01:27;P;;;;;;
D;222;2470213;3;20121119 01:27;V;;;;;;
D;222;2470213;3;20121119 01:27;V;;;;;;
D;222;2470213;3;20121119 01:27;V;;;;;;
D;222;2470213;3;20121119 01:27;V;;;;;;
B;222;2472840;4;20121119 01:27;;;2;BLACKETT DR;WALLERAWANG;2845;787.4;M;20121005;20121029;415000;Z;R;RESIDENCE;;WA;;0;AH348752;
C;222;2472840;4;20121119 01:27;49/263665;
D;222;2472840;4;20121119 01:27;P;;;;;;
D;222;2472840;4;20121119 01:27;V;;;;;;
D;222;2472840;4;20121119 01:27;V;;;;;;
B;222;2470511;5;20121119 01:27;;;52;WILLIWA ST;PORTLAND;2847;711.4;M;20120926;20121031;129000;Z;3;HOUSE;;PA;;0;AH356498;
C;222;2470511;5;20121119 01:27;11/830964;
D;222;2470511;5;20121119 01:27;P;;;;;;
D;222;2470511;5;20121119 01:27;V;;;;;;
D;222;2470511;5;20121119 01:27;V;;;;;;
B;222;2467959;6;20121119 01:27;;;23;ROY ST;LITHGOW;2790;193.14;M;20120917;20121029;315000;A;R;RESIDENCE;;AD;;0;AH342529;
C;222;2467959;6;20121119 01:27;PT 12/39/3466;
D;222;2467959;6;20121119 01:27;P;;;;;;
D;222;2467959;6;20121119 01:27;P;;;;;;
D;222;2467959;6;20121119 01:27;V;;;;;;
B;222;2467960;7;20121119 01:27;;;21;ROY ST;LITHGOW;2790;174.85;M;20120917;20121029;315000;A;R;RESIDENCE;;AD;;0;AH342529;
C;222;2467960;7;20121119 01:27;PT 12/39/3466;
D;222;2467960;7;20121119 01:27;P;;;;;;
D;222;2467960;7;20121119 01:27;P;;;;;;
D;222;2467960;7;20121119 01:27;V;;;;;;
B;222;2465429;8;20121119 01:27;;;81;HARTLEY VALLEY RD;VALE OF CLWYDD;2790;505.9;M;20120829;20121019;142000;A;R;RESIDENCE;;AF;;0;AH338759;
C;222;2465429;8;20121119 01:27;13/4/416;
D;222;2465429;8;20121119 01:27;P;;;;;;
D;222;2465429;8;20121119 01:27;P;;;;;;
D;222;2465429;8;20121119 01:27;V;;;;;;
B;222;2473484;9;20121119 01:27;;;2;WALKER DR;WALLERAWANG;2845;665;M;20121017;20121105;336000;Z;R;RESIDENCE;;WA;;0;AH367344;
C;222;2473484;9;20121119 01:27;29/263665;
D;222;2473484;9;20121119 01:27;P;;;;;;
D;222;2473484;9;20121119 01:27;V;;;;;;
D;222;2473484;9;20121119 01:27;V;;;;;;
B;222;2468313;10;20121119 01:27;;;35;TANK ST;LITHGOW;2790;404.7;M;20121016;20121030;190000;A;R;RESIDENCE;;FP;;0;AH355272;
C;222;2468313;10;20121119 01:27;13/32/3364;
D;222;2468313;10;20121119 01:27;P;;;;;;
D;222;2468313;10;20121119 01:27;P;;;;;;
D;222;2468313;10;20121119 01:27;V;;;;;;
D;222;2468313;10;20121119 01:27;V;;;;;;
D;222;2468313;10;20121119 01:27;V;;;;;;
B;222;2468316;11;20121119 01:27;;;27;TANK ST;LITHGOW;2790;404.7;M;20120928;20121030;162000;A;R;RESIDENCE;;AD;;0;AH355121;
C;222;2468316;11;20121119 01:27;10/32/3364;
D;222;2468316;11;20121119 01:27;P;;;;;;
D;222;2468316;11;20121119 01:27;V;;;;;;
D;222;2468316;11;20121119 01:27;V;;;;;;
B;222;2468401;12;20121119 01:27;;;22;TWEED RD;BOWENFELS;2790;486.9;M;20120919;20121102;170000;A;R;RESIDENCE;;AC;;0;AH355151;
C;222;2468401;12;20121119 01:27;49/26218;
D;222;2468401;12;20121119 01:27;P;;;;;;
D;222;2468401;12;20121119 01:27;V;;;;;;
D;222;2468401;12;20121119 01:27;V;;;;;;
B;222;2465923;13;20121119 01:27;;;13;INCH ST;LITHGOW;2790;404.7;M;20120921;20121102;152000;A;R;RESIDENCE;;AF;;0;AH345360;
C;222;2465923;13;20121119 01:27;13/22/1936 1/974631;
D;222;2465923;13;20121119 01:27;P;;;;;;
D;222;2465923;13;20121119 01:27;V;;;;;;
D;222;2465923;13;20121119 01:27;V;;;;;;
B;222;2463627;14;20121119 01:27;;;46;ACADEMY ST;LITHGOW;2790;404.7;M;20120927;20121101;197000;A;3;HOUSE;;AA;;0;AH350439;
C;222;2463627;14;20121119 01:27;555/5255;
D;222;2463627;14;20121119 01:27;P;;;;;;
D;222;2463627;14;20121119 01:27;V;;;;;;
B;222;2463887;15;20121119 01:27;;;108;BELLS RD;LITHGOW;2790;701.9;M;20120924;20121105;218000;A;R;RESIDENCE;;AF;;0;AH358521;
C;222;2463887;15;20121119 01:27;15/50/4014;
D;222;2463887;15;20121119 01:27;P;;;;;;
D;222;2463887;15;20121119 01:27;V;;;;;;
D;222;2463887;15;20121119 01:27;V;;;;;;
B;222;3394838;16;20121119 01:27;;;29;RIVER LETT CL;HARTLEY;2790;1.39;H;20120912;20121024;310000;R;V;VACANT LAND;;SH;;0;AH344021;
C;222;3394838;16;20121119 01:27;6/1125905;
D;222;3394838;16;20121119 01:27;P;;;;;;
D;222;3394838;16;20121119 01:27;V;;;;;;
D;222;3394838;16;20121119 01:27;V;;;;;;
B;222;3668462;17;20121119 01:27;;;;JOHN GRANT RD;LITTLE HARTLEY;2790;3.288;H;20120919;20121101;255000;;V;VACANT LAND;;;;0;AH339352;
C;222;3668462;17;20121119 01:27;302/1173170;
D;222;3668462;17;20121119 01:27;P;;;;;;
D;222;3668462;17;20121119 01:27;P;;;;;;
D;222;3668462;17;20121119 01:27;V;;;;;;
Z;110;17;17;74;
