A;091;20041001 11:03;PDANN;
B;091;897754;1;20041001 11:03;;;24;AKORA ST;FRENCHS FOREST;2086;;;20040716;20040910;650000;A;R;RESIDENCE;;EY;;0;AA973242;
C;091;897754;1;20041001 11:03;49/36616;
D;091;897754;1;20041001 11:03;P;;;;;;
D;091;897754;1;20041001 11:03;P;;;;;;
D;091;897754;1;20041001 11:03;P;;;;;;
D;091;897754;1;20041001 11:03;P;;;;;;
D;091;897754;1;20041001 11:03;V;;;;;;
D;091;897754;1;20041001 11:03;V;;;;;;
B;091;897902;2;20041001 11:03;;11;56 A;ALBERT ST;HARBORD;2096;;;20040703;20040903;301000;;R;RESIDENCE;11;;;0;AA962862;
C;091;897902;2;20041001 11:03;11/SP4580;
D;091;897902;2;20041001 11:03;P;;;;;;
D;091;897902;2;20041001 11:03;P;;;;;;
D;091;897902;2;20041001 11:03;V;;;;;;
B;091;898222;3;20041001 11:03;;;306;ALFRED ST;CROMER;2099;613.4;M;20040802;20040913;690000;A;R;RESIDENCE;;EK;;0;AA955162;
C;091;898222;3;20041001 11:03;B/400433;
D;091;898222;3;20041001 11:03;P;;;;;;
D;091;898222;3;20041001 11:03;P;;;;;;
D;091;898222;3;20041001 11:03;V;;;;;;
B;091;899793;4;20041001 11:03;;;86;AUBREEN ST;COLLAROY PLATEAU;2097;;;20040828;20040830;437500;A;R;RESIDENCE;;EG;;0;AA960298;
C;091;899793;4;20041001 11:03;22/F1/33000 A/398205;
D;091;899793;4;20041001 11:03;P;;;;;;
D;091;899793;4;20041001 11:03;V;;;;;;
D;091;899793;4;20041001 11:03;V;;;;;;
B;091;900436;5;20041001 11:03;;6;24;BANKSIA ST;DEE WHY;2099;;;20040816;20040923;438550;;R;RESIDENCE;6;;;0;AA974158;
C;091;900436;5;20041001 11:03;6/SP10090;
D;091;900436;5;20041001 11:03;P;;;;;;
D;091;900436;5;20041001 11:03;P;;;;;;
D;091;900436;5;20041001 11:03;V;;;;;;
B;091;900587;6;20041001 11:03;;;14 A;BARNES RD;FRENCHS FOREST;2086;333.5;M;20040617;20040914;710000;A;R;RESIDENCE;;EY;;0;AA965305;
C;091;900587;6;20041001 11:03;122/851756;
D;091;900587;6;20041001 11:03;P;;;;;;
D;091;900587;6;20041001 11:03;V;;;;;;
D;091;900587;6;20041001 11:03;V;;;;;;
B;091;901075;7;20041001 11:03;;;10;BENNABRA PL;FRENCHS FOREST;2086;828.3;M;20030930;20040909;862000;A;R;RESIDENCE;;EW;;0;AA949885;
C;091;901075;7;20041001 11:03;18/175/241787;
D;091;901075;7;20041001 11:03;P;;;;;;
D;091;901075;7;20041001 11:03;P;;;;;;
D;091;901075;7;20041001 11:03;V;;;;;;
D;091;901075;7;20041001 11:03;V;;;;;;
B;091;902864;8;20041001 11:03;;;77 A;BROOKER AVE;BEACON HILL;2100;342.1;M;20040806;20040917;710000;A;R;RESIDENCE;;ET;;0;AA978277;
C;091;902864;8;20041001 11:03;141/872732;
D;091;902864;8;20041001 11:03;P;;;;;;
D;091;902864;8;20041001 11:03;P;;;;;;
D;091;902864;8;20041001 11:03;V;;;;;;
B;091;903703;9;20041001 11:03;;7;27;CAMPBELL PDE;MANLY VALE;2093;;;20040730;20040910;400000;;3;UNIT;7;;;0;AA973364;
C;091;903703;9;20041001 11:03;7/SP7225;
D;091;903703;9;20041001 11:03;P;;;;;;
D;091;903703;9;20041001 11:03;V;;;;;;
B;091;903724;10;20041001 11:03;;13 C;1;CAMPBELL PDE;MANLY VALE;2093;;;20040813;20040917;227150;;3;COMMERCIAL;70;;;0;AA974178;
C;091;903724;10;20041001 11:03;70/SP56291;
D;091;903724;10;20041001 11:03;P;;;;;;
D;091;903724;10;20041001 11:03;P;;;;;;
D;091;903724;10;20041001 11:03;V;;;;;;
B;091;905262;11;20041001 11:03;;;14;CHARLEROI RD;BELROSE;2085;695.6;M;20040330;20040628;60000;A;R;RESIDENCE;;EV;;0;AA958608;
C;091;905262;11;20041001 11:03;7/236849;
D;091;905262;11;20041001 11:03;P;;;;;;
D;091;905262;11;20041001 11:03;P;;;;;;
D;091;905262;11;20041001 11:03;V;;;;;;
D;091;905262;11;20041001 11:03;V;;;;;;
B;091;905325;12;20041001 11:03;;;38 A;CHARLES ST;HARBORD;2096;;;20040625;20040917;765000;;R;RESIDENCE;2;;;0;AA974120;
C;091;905325;12;20041001 11:03;2/SP45899;
D;091;905325;12;20041001 11:03;P;;;;;;
D;091;905325;12;20041001 11:03;V;;;;;;
B;091;906755;13;20041001 11:03;;;81;CONSUL RD N;NARRAWEENA;2099;;;20040721;20040915;665000;A;R;RESIDENCE;;FR;;0;AA967107;
C;091;906755;13;20041001 11:03;119/14843;
D;091;906755;13;20041001 11:03;P;;;;;;
D;091;906755;13;20041001 11:03;P;;;;;;
D;091;906755;13;20041001 11:03;V;;;;;;
B;091;906867;14;20041001 11:03;;;17;COOKSEY AVE;HARBORD;2096;;;20040730;20040910;930000;A;R;RESIDENCE;;EQ;;0;AA978305;
C;091;906867;14;20041001 11:03;9/13915;
D;091;906867;14;20041001 11:03;P;;;;;;
D;091;906867;14;20041001 11:03;P;;;;;;
D;091;906867;14;20041001 11:03;V;;;;;;
B;091;907221;15;20041001 11:03;;;47;CORMACK RD;BEACON HILL;2100;809.4;M;20040705;20040908;725000;A;R;RESIDENCE;;ET;;0;AA950153;
C;091;907221;15;20041001 11:03;4/65/247228;
D;091;907221;15;20041001 11:03;P;;;;;;
D;091;907221;15;20041001 11:03;P;;;;;;
D;091;907221;15;20041001 11:03;V;;;;;;
B;091;907944;16;20041001 11:03;;;79;CROWN RD;QUEENSCLIFF;2096;371.612;M;20040714;20040922;1000000;A;R;RESIDENCE;;FS;;0;AA975277;
C;091;907944;16;20041001 11:03;2/110185;
D;091;907944;16;20041001 11:03;P;;;;;;
D;091;907944;16;20041001 11:03;P;;;;;;
D;091;907944;16;20041001 11:03;V;;;;;;
B;091;908655;17;20041001 11:03;;;25;DALE ST;BROOKVALE;2100;1012;M;20040716;20040910;1505000;I;3;INDUSTRIAL;;DK;;0;AA964458;
C;091;908655;17;20041001 11:03;40/3/1521;
D;091;908655;17;20041001 11:03;P;;;;;;
D;091;908655;17;20041001 11:03;P;;;;;;
D;091;908655;17;20041001 11:03;V;;;;;;
B;091;910075;18;20041001 11:03;;9;29;DEE WHY PDE;DEE WHY;2099;;;20040707;20040818;471968;;R;RESIDENCE;9;;;0;AA943251;
C;091;910075;18;20041001 11:03;9/SP2741;
D;091;910075;18;20041001 11:03;P;;;;;;
D;091;910075;18;20041001 11:03;P;;;;;;
D;091;910075;18;20041001 11:03;V;;;;;;
B;091;910284;19;20041001 11:03;;;17;DELMAR PDE;DEE WHY;2099;;;20030711;20030808;980000;A;R;RESIDENCE;;FH;;0;AA969911;
C;091;910284;19;20041001 11:03;D/408582;
D;091;910284;19;20041001 11:03;P;;;;;;
D;091;910284;19;20041001 11:03;P;;;;;;
D;091;910284;19;20041001 11:03;V;;;;;;
D;091;910284;19;20041001 11:03;V;;;;;;
B;091;910947;20;20041001 11:03;;;72;DUKE ST;FORESTVILLE;2087;695.6;M;20040802;20040913;678000;A;R;RESIDENCE;;EX;;0;AA959376;
C;091;910947;20;20041001 11:03;33/200283;
D;091;910947;20;20041001 11:03;P;;;;;;
D;091;910947;20;20041001 11:03;P;;;;;;
D;091;910947;20;20041001 11:03;V;;;;;;
B;091;911630;21;20041001 11:03;;;27;EMERALD ST;NARRABEEN;2101;;;20040316;20040316;1470000;A;R;RESIDENCE;;FU;;0;AA979931;
C;091;911630;21;20041001 11:03;16/60/111254;
D;091;911630;21;20041001 11:03;P;;;;;;
D;091;911630;21;20041001 11:03;P;;;;;;
D;091;911630;21;20041001 11:03;P;;;;;;
D;091;911630;21;20041001 11:03;P;;;;;;
D;091;911630;21;20041001 11:03;V;;;;;;
B;091;911860;22;20041001 11:03;;;40;EPPING DR;FRENCHS FOREST;2086;812.3;M;20040730;20040827;967000;A;R;RESIDENCE;;EV;;0;AA944619;
C;091;911860;22;20041001 11:03;67/867027;
D;091;911860;22;20041001 11:03;P;;;;;;
D;091;911860;22;20041001 11:03;P;;;;;;
D;091;911860;22;20041001 11:03;V;;;;;;
D;091;911860;22;20041001 11:03;V;;;;;;
B;091;912276;23;20041001 11:03;;10;67;EVANS ST;HARBORD;2096;;;20040826;20040924;250000;;R;RESIDENCE;10;;;0;AA984760;
C;091;912276;23;20041001 11:03;10/SP1158;
D;091;912276;23;20041001 11:03;P;;;;;;
D;091;912276;23;20041001 11:03;P;;;;;;
D;091;912276;23;20041001 11:03;V;;;;;;
D;091;912276;23;20041001 11:03;V;;;;;;
D;091;912276;23;20041001 11:03;V;;;;;;
D;091;912276;23;20041001 11:03;V;;;;;;
D;091;912276;23;20041001 11:03;V;;;;;;
