A;138;20040901 11:25;PDANN;
B;138;1409472;18;20040901 11:25;;5;53;CLAREMONT ST;CAMPSIE;2194;;;20040713;20040824;269000;;R;RESIDENCE;5;;;0;AA909364;
C;138;1409472;18;20040901 11:25;5/SP 21902;
D;138;1409472;18;20040901 11:25;P;;;;;;
D;138;1409472;18;20040901 11:25;V;;;;;;
B;138;1409524;19;20040901 11:25;;3;29;CLAREMONT ST;CAMPSIE;2194;;;20040628;20040809;445000;;R;RESIDENCE;3;;;0;AA891775;
C;138;1409524;19;20040901 11:25;3/SP 59101;
D;138;1409524;19;20040901 11:25;P;;;;;;
D;138;1409524;19;20040901 11:25;P;;;;;;
D;138;1409524;19;20040901 11:25;V;;;;;;
B;138;1409768;20;20040901 11:25;;4;6;CLIO ST;LAKEMBA;2195;;;20040701;20040812;275000;;R;RESIDENCE;4;;;0;AA886912;
C;138;1409768;20;20040901 11:25;4/SP 4947;
D;138;1409768;20;20040901 11:25;P;;;;;;
D;138;1409768;20;20040901 11:25;V;;;;;;
D;138;1409768;20;20040901 11:25;V;;;;;;
B;138;1410306;21;20040901 11:25;;8;18;COLIN ST;LAKEMBA;2195;;;20040701;20040811;165000;;R;RESIDENCE;8;;;0;AA899286;
C;138;1410306;21;20040901 11:25;8/SP 22290;
D;138;1410306;21;20040901 11:25;P;;;;;;
D;138;1410306;21;20040901 11:25;V;;;;;;
D;138;1410306;21;20040901 11:25;V;;;;;;
B;138;1410652;22;20040901 11:25;;;70;COOLOONGATTA RD;BEVERLY HILLS;2209;;;20040525;20040706;600000;A;R;RESIDENCE;;XR;;0;AA868999;
C;138;1410652;22;20040901 11:25;946/13705;
D;138;1410652;22;20040901 11:25;P;;;;;;
D;138;1410652;22;20040901 11:25;V;;;;;;
D;138;1410652;22;20040901 11:25;V;;;;;;
B;138;1410825;23;20040901 11:25;;;40;CORNELIA ST;WILEY PARK;2195;777.8;M;20040620;20040816;451000;A;R;RESIDENCE;;AV;;0;AA891384;
C;138;1410825;23;20040901 11:25;10/7298;
D;138;1410825;23;20040901 11:25;P;;;;;;
D;138;1410825;23;20040901 11:25;V;;;;;;
B;138;1411770;24;20040901 11:25;;5;76;CROYDON ST;LAKEMBA;2195;;;20040625;20040803;282000;;R;RESIDENCE;5;;;0;AA902410;
C;138;1411770;24;20040901 11:25;5/SP 41458;
D;138;1411770;24;20040901 11:25;P;;;;;;
D;138;1411770;24;20040901 11:25;P;;;;;;
D;138;1411770;24;20040901 11:25;V;;;;;;
B;138;1411907;25;20040901 11:25;;2;59;CROYDON ST;LAKEMBA;2195;;;20040620;20040620;190000;;R;RESIDENCE;2;;;0;AA869222;
C;138;1411907;25;20040901 11:25;2/SP 6851;
D;138;1411907;25;20040901 11:25;P;;;;;;
D;138;1411907;25;20040901 11:25;V;;;;;;
B;138;1411967;26;20040901 11:25;;11;79;CROYDON ST;LAKEMBA;2195;;;20040804;20040806;285000;;3;UNIT;11;;;0;AA888902;
C;138;1411967;26;20040901 11:25;11/SP 10953;
D;138;1411967;26;20040901 11:25;P;;;;;;
D;138;1411967;26;20040901 11:25;V;;;;;;
B;138;1411980;27;20040901 11:25;;20;81;CROYDON ST;LAKEMBA;2195;;;20040707;20040818;225000;;R;RESIDENCE;20;;;0;AA898846;
C;138;1411980;27;20040901 11:25;20/SP 17441;
D;138;1411980;27;20040901 11:25;P;;;;;;
D;138;1411980;27;20040901 11:25;V;;;;;;
B;138;1411980;28;20040901 11:25;;23;81;CROYDON ST;LAKEMBA;2195;;;20040707;20040818;235000;;R;RESIDENCE;23;;;0;AA904082;
C;138;1411980;28;20040901 11:25;23/SP 17441;
D;138;1411980;28;20040901 11:25;P;;;;;;
D;138;1411980;28;20040901 11:25;V;;;;;;
D;138;1411980;28;20040901 11:25;V;;;;;;
B;138;1412564;29;20040901 11:25;;6;51;DENMAN AVE;PUNCHBOWL;2196;;;20040629;20040813;168000;;R;RESIDENCE;6;;;0;AA889874;
C;138;1412564;29;20040901 11:25;6/SP 965;
D;138;1412564;29;20040901 11:25;P;;;;;;
D;138;1412564;29;20040901 11:25;P;;;;;;
D;138;1412564;29;20040901 11:25;V;;;;;;
B;138;1412564;30;20040901 11:25;;6;51;DENMAN AVE;PUNCHBOWL;2196;;;20040629;20040813;168000;;R;RESIDENCE;9;;;0;AA889874;
C;138;1412564;30;20040901 11:25;9/SP 965;
D;138;1412564;30;20040901 11:25;P;;;;;;
D;138;1412564;30;20040901 11:25;P;;;;;;
D;138;1412564;30;20040901 11:25;V;;;;;;
B;138;1412800;31;20040901 11:25;;;13;DIANA AVE;ROSELANDS;2196;461.6;M;20040729;20040818;540000;A;R;RESIDENCE;;AP;;0;AA905339;
C;138;1412800;31;20040901 11:25;133/27979;
D;138;1412800;31;20040901 11:25;P;;;;;;
D;138;1412800;31;20040901 11:25;V;;;;;;
D;138;1412800;31;20040901 11:25;V;;;;;;
B;138;1413574;32;20040901 11:25;;4;96;DUKE ST;CAMPSIE;2194;;;20040707;20040812;228000;;R;RESIDENCE;4;;;0;AA898328;
C;138;1413574;32;20040901 11:25;4/SP 18832;
D;138;1413574;32;20040901 11:25;P;;;;;;
D;138;1413574;32;20040901 11:25;V;;;;;;
D;138;1413574;32;20040901 11:25;V;;;;;;
B;138;1414227;33;20040901 11:25;;10;59;EIGHTH AVE;CAMPSIE;2194;;;20040616;20040728;258000;;R;RESIDENCE;10;;;0;AA868605;
C;138;1414227;33;20040901 11:25;10/SP 30548;
D;138;1414227;33;20040901 11:25;P;;;;;;
D;138;1414227;33;20040901 11:25;P;;;;;;
D;138;1414227;33;20040901 11:25;V;;;;;;
B;138;1416423;34;20040901 11:25;;;12;FINLAYS AVE;EARLWOOD;2206;;;20040617;20040729;625000;A;R;RESIDENCE;;XD;;0;AA873279;
C;138;1416423;34;20040901 11:25;101/13914;
D;138;1416423;34;20040901 11:25;P;;;;;;
D;138;1416423;34;20040901 11:25;P;;;;;;
D;138;1416423;34;20040901 11:25;V;;;;;;
D;138;1416423;34;20040901 11:25;V;;;;;;
B;138;1416462;35;20040901 11:25;;27;33;FIRST AVE;CAMPSIE;2194;;;20040621;20040730;240000;;R;RESIDENCE;27;;;0;AA883044;
C;138;1416462;35;20040901 11:25;27/SP 6831;
D;138;1416462;35;20040901 11:25;P;;;;;;
D;138;1416462;35;20040901 11:25;V;;;;;;
B;138;1416828;36;20040901 11:25;;;17;FLEET AVE;EARLWOOD;2206;;;20040619;20040730;607000;A;R;RESIDENCE;;AK;;0;AA877711;
C;138;1416828;36;20040901 11:25;94/13091;
D;138;1416828;36;20040901 11:25;P;;;;;;
D;138;1416828;36;20040901 11:25;V;;;;;;
D;138;1416828;36;20040901 11:25;V;;;;;;
B;138;1417077;37;20040901 11:25;;1;42;FLORA ST;LAKEMBA;2195;;;20040505;20040630;472000;;R;RESIDENCE;1;;;0;AA896816;
C;138;1417077;37;20040901 11:25;1/SP 62915;
D;138;1417077;37;20040901 11:25;P;;;;;;
D;138;1417077;37;20040901 11:25;V;;;;;;
D;138;1417077;37;20040901 11:25;V;;;;;;
B;138;1418820;38;20040901 11:25;;;224;GEORGES RIVER RD;CROYDON PARK;2133;151.8;M;20031115;20040129;433000;B;3;RETAIL;;BQ;;0;AA871431;
C;138;1418820;38;20040901 11:25;B/421345;
D;138;1418820;38;20040901 11:25;P;;;;;;
D;138;1418820;38;20040901 11:25;V;;;;;;
D;138;1418820;38;20040901 11:25;V;;;;;;
B;138;1418837;39;20040901 11:25;;;280;GEORGES RIVER RD;CROYDON PARK;2133;;;20040612;20040813;446000;A;R;RESIDENCE;;MR;;0;AA891084;
C;138;1418837;39;20040901 11:25;3/5/853;
D;138;1418837;39;20040901 11:25;P;;;;;;
D;138;1418837;39;20040901 11:25;P;;;;;;
D;138;1418837;39;20040901 11:25;V;;;;;;
B;138;1419890;40;20040901 11:25;;;80;GUEUDECOURT AVE;EARLWOOD;2206;;;20031208;20040407;1065000;A;R;RESIDENCE;;XE;;0;AA868723;
C;138;1419890;40;20040901 11:25;24/14127;
D;138;1419890;40;20040901 11:25;P;;;;;;
D;138;1419890;40;20040901 11:25;P;;;;;;
D;138;1419890;40;20040901 11:25;V;;;;;;
D;138;1419890;40;20040901 11:25;V;;;;;;
D;138;1419890;40;20040901 11:25;V;;;;;;
B;138;1420235;41;20040901 11:25;;;188;HALDON ST;LAKEMBA;2195;;;20040810;20040810;340000;B;3;SHOP;;BL;;0;AA868523;
C;138;1420235;41;20040901 11:25;15/7187;
D;138;1420235;41;20040901 11:25;P;;;;;;
D;138;1420235;41;20040901 11:25;P;;;;;;
D;138;1420235;41;20040901 11:25;P;;;;;;
D;138;1420235;41;20040901 11:25;V;;;;;;
B;138;1420741;42;20040901 11:25;;;12;HAMPDEN ST;HURLSTONE PARK;2193;594.3;M;20040511;20040811;635000;A;R;RESIDENCE;;XC;;0;AA904677;
C;138;1420741;42;20040901 11:25;1/124152;
D;138;1420741;42;20040901 11:25;P;;;;;;
D;138;1420741;42;20040901 11:25;P;;;;;;
D;138;1420741;42;20040901 11:25;V;;;;;;
B;138;1421079;43;20040901 11:25;;;15;HARP ST;BELMORE;2192;;;20031211;20040306;1300000;A;3;FACTORY;;ZA;;0;AA870686;
C;138;1421079;43;20040901 11:25;1/313230;
