A;114;20040901 11:24;PDANN;
B;114;1222449;1;20040901 11:24;;;3;ARTHUR ST;DUBBO;2830;493.2;M;20040622;20040803;257500;A;R;RESIDENCE;;AG;;0;AA892840;
C;114;1222449;1;20040901 11:24;A/437150 1/996354;
D;114;1222449;1;20040901 11:24;P;;;;;;
D;114;1222449;1;20040901 11:24;V;;;;;;
B;114;1222529;2;20040901 11:24;;;13;BAILEY ST;DUBBO;2830;;;20040611;20040723;168000;A;R;RESIDENCE;;AD;;0;AA876281;
C;114;1222529;2;20040901 11:24;26/27903;
D;114;1222529;2;20040901 11:24;P;;;;;;
D;114;1222529;2;20040901 11:24;V;;;;;;
D;114;1222529;2;20040901 11:24;V;;;;;;
B;114;1223146;3;20040901 11:24;;;14;BENT ST;DUBBO;2830;518.5;M;20040624;20040804;142500;A;3;;;AU;;0;AA877597;
C;114;1223146;3;20040901 11:24;2/24578;
D;114;1223146;3;20040901 11:24;P;;;;;;
D;114;1223146;3;20040901 11:24;P;;;;;;
D;114;1223146;3;20040901 11:24;V;;;;;;
B;114;1223414;4;20040901 11:24;;;13;BISHOP ST;DUBBO;2830;;;20040610;20040728;178000;A;R;RESIDENCE;;AE;;0;AA875032;
C;114;1223414;4;20040901 11:24;3/3/2978;
D;114;1223414;4;20040901 11:24;P;;;;;;
D;114;1223414;4;20040901 11:24;P;;;;;;
D;114;1223414;4;20040901 11:24;V;;;;;;
B;114;1223553;5;20040901 11:24;;;13 A;BORONIA PL;DUBBO;2830;485.6;M;20040621;20040730;172350;A;R;RESIDENCE;;AH;;0;AA901025;
C;114;1223553;5;20040901 11:24;161/854126;
D;114;1223553;5;20040901 11:24;P;;;;;;
D;114;1223553;5;20040901 11:24;V;;;;;;
D;114;1223553;5;20040901 11:24;V;;;;;;
B;114;1224594;6;20040901 11:24;;;81 L;BURRAWAY RD;DUBBO;2830;10.44;H;20040616;20040702;320000;R;R;RESIDENCE;;HA;;0;AA822257;
C;114;1224594;6;20040901 11:24;13/259359;
D;114;1224594;6;20040901 11:24;P;;;;;;
D;114;1224594;6;20040901 11:24;P;;;;;;
D;114;1224594;6;20040901 11:24;V;;;;;;
D;114;1224594;6;20040901 11:24;V;;;;;;
B;114;1224851;7;20040901 11:24;;;1;CASTLEREAGH AVE;DUBBO;2830;870.8;M;20040526;20040526;225000;A;R;RESIDENCE;;EC;;0;AA898312;
C;114;1224851;7;20040901 11:24;26/857906;
D;114;1224851;7;20040901 11:24;P;;;;;;
D;114;1224851;7;20040901 11:24;P;;;;;;
D;114;1224851;7;20040901 11:24;V;;;;;;
B;114;1225954;8;20040901 11:24;;;22;DALTON ST;DUBBO;2830;841;M;20040629;20040811;131000;A;R;RESIDENCE;;AD;;0;AA887532;
C;114;1225954;8;20040901 11:24;2/36388;
D;114;1225954;8;20040901 11:24;P;;;;;;
D;114;1225954;8;20040901 11:24;V;;;;;;
B;114;1225971;9;20040901 11:24;;;56;DALTON ST;DUBBO;2830;651.3;M;20040525;20040714;180000;A;R;RESIDENCE;;AB;;0;AA836554;
C;114;1225971;9;20040901 11:24;1/506032;
D;114;1225971;9;20040901 11:24;P;;;;;;
D;114;1225971;9;20040901 11:24;P;;;;;;
D;114;1225971;9;20040901 11:24;V;;;;;;
D;114;1225971;9;20040901 11:24;V;;;;;;
B;114;1226682;10;20040901 11:24;;;19 R;DUNEDOO RD;DUBBO;2830;14.99;H;20040401;20040513;415000;A;R;RESIDENCE;;CE;;0;AA818139;
C;114;1226682;10;20040901 11:24;11/550877;
D;114;1226682;10;20040901 11:24;P;;;;;;
D;114;1226682;10;20040901 11:24;P;;;;;;
D;114;1226682;10;20040901 11:24;V;;;;;;
D;114;1226682;10;20040901 11:24;V;;;;;;
B;114;1226715;11;20040901 11:24;;;27 R;DURRAWEEN LANE;DUBBO;2830;10.25;H;20040430;20040611;275000;R;R;RESIDENCE;;HC;;0;AA780771;
C;114;1226715;11;20040901 11:24;20/250347;
D;114;1226715;11;20040901 11:24;P;;;;;;
D;114;1226715;11;20040901 11:24;V;;;;;;
B;114;1226816;12;20040901 11:24;;;42;EDEN PARK AVE;DUBBO;2830;807.5;M;20030924;20031023;250000;A;R;RESIDENCE;;AL;;0;AA881477;
C;114;1226816;12;20040901 11:24;27/840869;
D;114;1226816;12;20040901 11:24;P;;;;;;
D;114;1226816;12;20040901 11:24;P;;;;;;
D;114;1226816;12;20040901 11:24;V;;;;;;
B;114;1227320;13;20040901 11:24;;9;246;FITZROY ST;DUBBO;2830;301.2;M;20040716;20040806;206000;A;R;RESIDENCE;;AE;;0;AA879348;
C;114;1227320;13;20040901 11:24;3/270232;
D;114;1227320;13;20040901 11:24;P;;;;;;
D;114;1227320;13;20040901 11:24;V;;;;;;
D;114;1227320;13;20040901 11:24;V;;;;;;
B;114;1227355;14;20040901 11:24;;1;190;FITZROY ST;DUBBO;2830;;;20031020;20031027;150000;;R;RESIDENCE;1;;;0;AA879642;
C;114;1227355;14;20040901 11:24;1/SP 54232;
D;114;1227355;14;20040901 11:24;P;;;;;;
D;114;1227355;14;20040901 11:24;V;;;;;;
B;114;1227637;15;20040901 11:24;;;18;FURLONG ST;DUBBO;2830;964.8;M;20040624;20040805;157000;A;R;RESIDENCE;;AM;;0;AA906130;
C;114;1227637;15;20040901 11:24;37/804984;
D;114;1227637;15;20040901 11:24;P;;;;;;
D;114;1227637;15;20040901 11:24;V;;;;;;
B;114;1228058;16;20040901 11:24;;;2;GOODE ST;DUBBO;2830;820.01;M;20040707;20040804;165000;A;R;RESIDENCE;;AE;AC;0;AA870995;
C;114;1228058;16;20040901 11:24;4/14940;
D;114;1228058;16;20040901 11:24;P;;;;;;
D;114;1228058;16;20040901 11:24;P;;;;;;
D;114;1228058;16;20040901 11:24;V;;;;;;
D;114;1228058;16;20040901 11:24;V;;;;;;
B;114;1228932;17;20040901 11:24;;;4 R;JANDRA RD;DUBBO;2830;1.629;H;20040628;20040809;345000;A;R;RESIDENCE;;CF;;0;AA900979;
C;114;1228932;17;20040901 11:24;96/285134;
D;114;1228932;17;20040901 11:24;P;;;;;;
D;114;1228932;17;20040901 11:24;P;;;;;;
D;114;1228932;17;20040901 11:24;V;;;;;;
D;114;1228932;17;20040901 11:24;V;;;;;;
B;114;1229011;18;20040901 11:24;;;6 B;JOHN GLEN PL;DUBBO;2830;494.1;M;20040621;20040726;245000;A;R;RESIDENCE;;AM;;0;AA847129;
C;114;1229011;18;20040901 11:24;331/835072;
D;114;1229011;18;20040901 11:24;P;;;;;;
D;114;1229011;18;20040901 11:24;P;;;;;;
D;114;1229011;18;20040901 11:24;V;;;;;;
B;114;1229012;19;20040901 11:24;;;6 A;JOHN GLEN PL;DUBBO;2830;585.6;M;20040621;20040726;245000;A;R;RESIDENCE;;AM;;0;AA847129;
C;114;1229012;19;20040901 11:24;330/835072;
D;114;1229012;19;20040901 11:24;P;;;;;;
D;114;1229012;19;20040901 11:24;P;;;;;;
D;114;1229012;19;20040901 11:24;V;;;;;;
B;114;1229245;20;20040901 11:24;;;3;KENNEDY ST S;DUBBO;2830;442.6;M;20040531;20040730;140000;A;R;RESIDENCE;;AG;;0;AA868061;
C;114;1229245;20;20040901 11:24;7/7936;
D;114;1229245;20;20040901 11:24;P;;;;;;
D;114;1229245;20;20040901 11:24;V;;;;;;
D;114;1229245;20;20040901 11:24;V;;;;;;
B;114;1229308;21;20040901 11:24;;;12;KESTREL CL;DUBBO;2830;732.4;M;20040428;20040719;195000;A;R;RESIDENCE;;EB;AC;0;AA873517;
C;114;1229308;21;20040901 11:24;117/836154;
D;114;1229308;21;20040901 11:24;P;;;;;;
D;114;1229308;21;20040901 11:24;V;;;;;;
D;114;1229308;21;20040901 11:24;V;;;;;;
