A;526;20041001 11:14;PDANN;
B;526;422630;1;20041001 11:14;;;97;GOULBURN ST;CROOKWELL;2583;354.1;M;20040825;20040913;134000;B;3;SHOP;;BA;;0;AA962315;
C;526;422630;1;20041001 11:14;1/956045;
D;526;422630;1;20041001 11:14;P;;;;;;
D;526;422630;1;20041001 11:14;P;;;;;;
D;526;422630;1;20041001 11:14;V;;;;;;
D;526;422630;1;20041001 11:14;V;;;;;;
B;526;423487;2;20041001 11:14;;;;PH GRABBEN GULLEN;CROOKWELL;2583;9.49;H;20040620;20040826;370000;R;V;VACANT LAND;;VF;;0;AA971545;
C;526;423487;2;20041001 11:14;224, 225/754115;
D;526;423487;2;20041001 11:14;P;;;;;;
D;526;423487;2;20041001 11:14;V;;;;;;
D;526;423487;2;20041001 11:14;V;;;;;;
B;526;424336;3;20041001 11:14;;;;PH TYRL TYRL;ROSLYN;2580;321.4;H;20040624;20040816;1500000;R;3;FARM;;GD;;0;AA889715;
C;526;424336;3;20041001 11:14;40/665003 40/665004 11, 35, 46, 54, 151, 193, 198/753058 . Enclosure P;
C;526;424336;3;20041001 11:14;ermit 27530;
D;526;424336;3;20041001 11:14;P;;;;;;
D;526;424336;3;20041001 11:14;V;;;;;;
B;526;424355;4;20041001 11:14;;;;PH TYRL TYRL;ROSLYN;2580;206.4;H;20040624;20040816;1500000;R;3;FARM;;GD;;0;AA889715;
C;526;424355;4;20041001 11:14;52, 85, 86, 138, 139, 167/753058;
D;526;424355;4;20041001 11:14;P;;;;;;
D;526;424355;4;20041001 11:14;V;;;;;;
B;526;424504;5;20041001 11:14;;;;BARRY DR;WHEEO;2583;56.25;H;20040518;20040630;139000;R;V;VACANT LAND;;RE;;0;AA966361;
C;526;424504;5;20041001 11:14;18/754146;
D;526;424504;5;20041001 11:14;P;;;;;;
D;526;424504;5;20041001 11:14;P;;;;;;
D;526;424504;5;20041001 11:14;V;;;;;;
B;526;438904;6;20041001 11:14;;;6;GOULBURN ST;COLLECTOR;2581;1753;M;20040811;20040909;298500;Z;R;RESIDENCE;;ZF;;0;AA973684;
C;526;438904;6;20041001 11:14;13/727525;
D;526;438904;6;20041001 11:14;P;;;;;;
D;526;438904;6;20041001 11:14;V;;;;;;
B;526;447313;7;20041001 11:14;;;1268;BRAYTON RD;BIG HILL;2579;18.47;H;20040909;20040909;520000;R;R;RESIDENCE;;JC;;0;AA978559;
C;526;447313;7;20041001 11:14;1/563054 Road Permit 25/3;
D;526;447313;7;20041001 11:14;P;;;;;;
D;526;447313;7;20041001 11:14;P;;;;;;
D;526;447313;7;20041001 11:14;V;;;;;;
D;526;447313;7;20041001 11:14;V;;;;;;
B;526;2936010;8;20041001 11:14;;;700;JERRONG RD;WOMBEYAN CAVES;2580;24.28;H;20040809;20040922;116000;R;V;VACANT LAND;;JA;;0;AA982796;
C;526;2936010;8;20041001 11:14;37/753062;
D;526;2936010;8;20041001 11:14;P;;;;;;
D;526;2936010;8;20041001 11:14;P;;;;;;
D;526;2936010;8;20041001 11:14;V;;;;;;
D;526;2936010;8;20041001 11:14;V;;;;;;
B;526;3105460;9;20041001 11:14;;;;NORTH ST;CROOKWELL;2583;949.7;M;20040402;20040525;40000;;V;VACANT LAND;;;;0;AA690568;
C;526;3105460;9;20041001 11:14;21/4/1809;
D;526;3105460;9;20041001 11:14;P;;;;;;
D;526;3105460;9;20041001 11:14;V;;;;;;
D;526;3105460;9;20041001 11:14;V;;;;;;
B;526;3110277;10;20041001 11:14;;;;CULLEN ST;CROOKWELL;2583;4.009;H;20040719;20040820;203760;;V;VACANT LAND;;;;0;AA931693;
C;526;3110277;10;20041001 11:14;1, 2/1071107;
D;526;3110277;10;20041001 11:14;P;;;;;;
D;526;3110277;10;20041001 11:14;P;;;;;;
D;526;3110277;10;20041001 11:14;V;;;;;;
D;526;3110277;10;20041001 11:14;V;;;;;;
D;526;3110277;10;20041001 11:14;V;;;;;;
B;526;3115969;11;20041001 11:14;;;LOT2;BEVENDALE RD;CROOKWELL;2583;;;20040629;20040910;200000;;V;VACANT LAND;;;;0;AA961504;
C;526;3115969;11;20041001 11:14;2/1068955;
D;526;3115969;11;20041001 11:14;P;;;;;;
D;526;3115969;11;20041001 11:14;P;;;;;;
D;526;3115969;11;20041001 11:14;V;;;;;;
Z;60;11;12;35;
